id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
51830	2005010372366	2004-12-13 00:00:00	2004-11-29 00:00:00	ALO	Waterloo Municipal Airport		Passenger Property Loss	Checkpoint	50.0	Supplies	Canceled	0.0	
57433	2005031578292	2005-02-16 00:00:00	2005-01-25 00:00:00	ALO	Waterloo Municipal Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	4300.0	Watches & Jewelry	Denied	0.0	Deny
74228	2005102895340	2005-10-21 00:00:00	2005-09-16 00:00:00	ALO	Waterloo Municipal Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Denied	0.0	Deny
79827	2006020701026	2006-01-31 00:00:00	2005-12-15 00:00:00	ALO	Waterloo Municipal Airport		Passenger Property Loss	Checked Baggage	79.94	Cosmetics	Approved	79.94	Approve in Full
80336	2006021401523	2006-02-07 00:00:00	2006-01-20 00:00:00	ALO	Waterloo Municipal Airport		Passenger Property Loss	Checked Baggage	10.0	Other	Denied	0.0	Deny
101829	2007032823147	2007-03-26 00:00:00	2007-02-26 00:00:00	ALO	Waterloo Municipal Airport	KLM Royal Dutch Airlines	Passenger Property Loss	Checked Baggage	8.55	Tools & Machines	Approved	8.55	Approve in Full
132778	2009012154659	2009-01-12 00:00:00	2008-12-12 00:00:00	ALO	Waterloo Municipal Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	32.44	Tools & Machines	Denied	0.0	Deny
168647	2012033092301	2012-02-22 00:00:00	2012-02-16 06:50:00	ALO	Waterloo Municipal Airport	Delta Air Lines	Passenger Property Loss	Checkpoint		Other		0.0	Deny
174810	2012120799153	2012-10-01 00:00:00	2012-09-12 15:30:00	ALO	Waterloo Municipal Airport	American Airlines	Passenger Property Loss	Checkpoint		Watches & Jewelry		110.0	Approve in Full
181920	2013071905297	2013-06-28 00:00:00	2013-06-27 00:00:00	ALO	Waterloo Municipal Airport	UAL	Passenger Property Loss	Checked Baggage		Other		0.0	Deny
186391	2013123010303	2013-12-16 00:00:00	2013-10-03 15:15:00	ALO	Waterloo Municipal Airport	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories			
195634	2015122327830	2015-12-10 00:00:00	2015-11-23 00:00:00	ALO	Waterloo Municipal Airport	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories		0.0	Deny
195635	2016010528115	2015-12-21 00:00:00	2015-12-17 00:00:00	ALO	Waterloo Municipal Airport	China Eastern Airlines	Passenger Property Loss	Checked Baggage		Electronics			
