id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
48214	2004121469080	2004-10-25 00:00:00	2004-09-06 00:00:00	ALW	Walla Walla Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage	369.95	Other	Settled	129.48	Settle
74836	2005111095966	2005-11-01 00:00:00	2005-10-10 00:00:00	ALW	Walla Walla Regional Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	81.19	Clothing & Accessories	Denied	0.0	Deny
105144	2007060626379	2007-06-01 00:00:00	2007-04-11 00:00:00	ALW	Walla Walla Regional Airport	Horizon Air	Passenger Property Loss	Checked Baggage	122.65	Electronics,Electronics	Denied	0.0	Deny
128447	2008092250240	2008-09-18 00:00:00	2008-08-21 00:00:00	ALW	Walla Walla Regional Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	943.54	Electronics,Electronics	Denied	0.0	Deny
128990	2008100650805	2008-10-02 00:00:00	2008-09-20 00:00:00	ALW	Walla Walla Regional Airport	Horizon Air	Passenger Property Loss	Checked Baggage	446.0	Other,Outdoors Supplies	Denied	0.0	Deny
134759	2009032656926	2009-03-06 00:00:00	2009-02-08 00:00:00	ALW	Walla Walla Regional Airport	Horizon Air	Passenger Property Loss	Checked Baggage	485.0	Electronics	Canceled	0.0	
138251	2009062360514	2009-06-10 00:00:00	2009-06-05 00:00:00	ALW	Walla Walla Regional Airport	Horizon Air	Passenger Property Loss	Checked Baggage	450.0	Electronics	Denied	0.0	Deny
138632	2009062660686	2009-06-22 00:00:00	2009-06-10 00:00:00	ALW	Walla Walla Regional Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	18.19	Food & Drink	Denied	0.0	Deny
144356	2009093064169	2009-12-07 00:00:00	2009-08-09 00:00:00	ALW	Walla Walla Regional Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	213.97	Other	Approved	213.97	Approve in Full
177389	2013020701189	2013-01-14 00:00:00	2012-12-17 00:00:00	ALW	Walla Walla Regional Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage		Outdoors Supplies		59.95	Approve in Full
195636	2015020220336	2015-02-02 00:00:00	2014-12-11 00:00:00	ALW	Walla Walla Regional Airport	Horizon Air	Passenger Property Loss	Checked Baggage		Cosmetics,Cosmetics,Cosmetics,Cosmetics,Cosmetics,Cosmetics,Other,Other		0.0	Deny
195637	2015080424551	2015-08-03 00:00:00	2015-07-18 00:00:00	ALW	Walla Walla Regional Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage		Cosmetics,Cosmetics		0.0	Deny
204299	2016071932778	2016-06-22 00:00:00	2016-04-13 00:00:00	ALW	Walla Walla Regional Airport Walla Walla Regional Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry,Electronics		0.0	Deny
204300	2016062832448	2016-06-10 00:00:00	2016-06-06 18:00:00	ALW	Walla Walla Regional Airport Walla Walla Regional Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage		Food & Drink		0.0	Deny
212502	2017061340591	2017-04-28 00:00:00	2017-04-23 00:00:00	ALW	 Walla Walla Regional Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage		Food & Drink		0.0	Deny
