id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
56344	2005031177734	2005-02-03 00:00:00	2005-01-13 00:00:00	ASE	Aspen Pitkin County Sardy Field		Passenger Property Loss	Checked Baggage	12.0	Tools & Machines	Locks	Approved	12.0	Approve in Full
58708	2005032379490	2005-03-07 00:00:00	2005-02-24 00:00:00	ASE	Aspen Pitkin County Sardy Field		Passenger Property Loss	Checked Baggage	175.28	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	87.64	Settle
72512	2005093093553	2005-09-21 00:00:00	2005-06-05 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
78715	2006012099905	2006-01-12 00:00:00	2006-01-01 00:00:00	ASE	Aspen Pitkin County Sardy Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	610.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
83114	2006041004299	2006-03-30 00:00:00	2006-03-18 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	160.73	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
83522	2006041904727	2006-04-07 00:00:00	2006-03-21 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
83699	2006042404986	2006-04-11 00:00:00	2006-03-26 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	2329.77	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
88936	2006072710137	2006-07-25 00:00:00	2006-07-07 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	199.9	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	139.36	Settle
95804	2006121417064	2006-12-06 00:00:00	2006-11-21 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	200.0	Food & Drink	Alcoholic beverages	Settled	80.0	Settle
98960	2007020120034	2007-01-29 00:00:00	2006-10-20 00:00:00	ASE	Aspen Pitkin County Sardy Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	5538.75	Watches & Jewelry,Watches & Jewelry	Jewelry - Costume*Jewelry - Fine	Denied	0.0	Deny
99403	2007021220660	2007-02-06 00:00:00	2006-01-23 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checkpoint	200.0	Watches & Jewelry	Jewelry - Fine	Approved	200.0	Approve in Full
99497	2007020820489	2007-02-06 00:00:00	2007-01-30 00:00:00	ASE	Aspen Pitkin County Sardy Field		Passenger Property Loss	Checked Baggage	74.15	Outdoors Supplies	Tools - Manual (not in a vehicle)	Settled	37.08	Settle
99780	2007021420935	2007-02-12 00:00:00	2007-01-22 00:00:00	ASE	Aspen Pitkin County Sardy Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	2830.0	Food & Drink,Clothing & Accessories,Watches & Jewelry,Outdoors Supplies	Alcoholic beverages*Eyeglasses - (including contact lenses)*Jewelry - Fine*Sporting Equipment & Supplies (footballs, parachutes, etc.)	Settled	1402.48	Settle
99887	2007021621053	2007-02-13 00:00:00	2007-02-03 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	2932.68	Electronics	Computer - Laptop	Denied	0.0	Deny
100705	2007030521860	2007-03-02 00:00:00	2007-02-17 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	1240.17	Electronics,Other	Computer - Laptop*Other	Settled	467.61	Settle
101197	2007031622419	2007-03-13 00:00:00	2006-03-05 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	1200.0	Other	Other	Denied	0.0	Deny
102640	2007041323896	2007-04-10 00:00:00	2007-03-04 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	48676.0	Electronics,Watches & Jewelry,Other	Computer - Laptop*Jewelry - Fine*Other	Denied	0.0	Deny
108431	2007080629689	2007-08-02 00:00:00	2007-06-17 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	210.34	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	190.66	Settle
109081	2007081730401	2007-08-15 00:00:00	2007-07-30 00:00:00	ASE	Aspen Pitkin County Sardy Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	89.99	Cosmetics,Clothing & Accessories,Other	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Eyeglasses - (including contact lenses)*Other	Denied	0.0	Deny
110101	2007090631477	2007-09-04 00:00:00	2007-08-31 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checkpoint	4095.83	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
112702	2007102934061	2007-10-25 00:00:00	2007-08-22 00:00:00	ASE	Aspen Pitkin County Sardy Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Cosmetics,Clothing & Accessories	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Eyeglasses - (including contact lenses)	Denied	0.0	Deny
116958	2008012438509	2008-01-17 00:00:00	2008-01-06 00:00:00	ASE	Aspen Pitkin County Sardy Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	249.0	Electronics	MP3 Players-(iPods, etc)	Denied	0.0	Deny
118679	2008022740245	2008-02-21 00:00:00	2008-02-08 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Electronics	Computer - Laptop	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
126040	2008073147815	2008-07-25 00:00:00	2008-07-16 00:00:00	ASE	Aspen Pitkin County Sardy Field	Frontier Airlines	Passenger Property Loss	Checked Baggage	144.5	Clothing & Accessories,Watches & Jewelry,Other	Clothing - Shoes, belts, accessories, etc.*Jewelry - Costume*Other	Denied	0.0	Deny
130658	2008112052576	2008-11-14 00:00:00	2008-11-05 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	1616.0	Clothing & Accessories,Cosmetics,Watches & Jewelry,Watches & Jewelry	Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Jewelry - Costume*Jewelry - Fine	Denied	0.0	Deny
132694	2009011554570	2009-01-09 00:00:00	2009-01-06 00:00:00	ASE	Aspen Pitkin County Sardy Field	Frontier Airlines	Passenger Property Loss	Checked Baggage	800.0	Other	Currency	Denied	0.0	Deny
133802	2009022155708	2009-02-06 00:00:00	2008-12-29 00:00:00	ASE	Aspen Pitkin County Sardy Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	185.47	Outdoors Supplies	Sporting Equipment & Supplies (footballs, parachutes, etc.)	Denied	0.0	Deny
141072	2009082763029	2009-08-26 00:00:00	2009-08-20 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage	1325.0	Electronics	Cameras - Digital	Denied	0.0	Deny
143811	2009112765769	2009-11-19 00:00:00	2009-09-12 00:00:00	ASE	Aspen Pitkin County Sardy Field	Frontier Airlines	Passenger Property Loss	Checked Baggage	44.99	Other	Other	Approved	44.99	Approve in Full
145140	2010010667239	2010-01-04 00:00:00	2010-01-02 15:00:00	ASE	Aspen Pitkin County Sardy Field	Frontier Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
146117	2010030669137	2010-02-25 00:00:00	2010-02-11 09:00:00	ASE	Aspen Pitkin County Sardy Field	Frontier Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		14.99	Approve in Full
146603	2010031769662	2010-03-11 00:00:00	2010-03-07 00:00:00	ASE	Aspen Pitkin County Sardy Field	Frontier Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
154891	2010100876802	2010-11-19 00:00:00	2010-09-25 00:00:00	ASE	Aspen Pitkin County Sardy Field		Passenger Property Loss	Checked Baggage		Electronics	Personal Electronics		0.0	Deny
158540	2011040782023	2011-03-21 00:00:00	2011-03-12 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		5.0	Approve in Full
162469	2011072785559	2011-07-27 00:00:00	2011-07-07 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		225.91	Settle
162704	2011081986300	2011-08-03 00:00:00	2011-07-26 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		10.85	Approve in Full
163154	2011090686741	2011-08-17 00:00:00	2011-07-25 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Household Items	Household Items		24.0	Approve in Full
164230	2011101287780	2011-09-23 00:00:00	2011-08-05 13:00:00	ASE	Aspen Pitkin County Sardy Field	Frontier Airlines	Passenger Property Loss	Checkpoint		Electronics	Personal Electronics		129.0	Approve in Full
171728	2012072695752	2012-06-12 00:00:00	2012-03-27 00:00:00	ASE	Aspen Pitkin County Sardy Field	Frontier Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
176765	2013012500395	2012-12-19 00:00:00	2012-11-06 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Other	Other		0.0	Deny
192575	2014090516441	2014-08-19 00:00:00	2014-08-10 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		0.0	Deny
195673	2015010719671	2015-01-07 00:00:00	2014-12-30 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
195674	2015011219792	2015-01-12 00:00:00	2015-01-08 00:00:00	ASE	Aspen Pitkin County Sardy Field	American Airlines	Passenger Property Loss	Checked Baggage		Containers	Baggage/Cases/Purses		445.0	Settle
195676	2015062923516	2015-06-23 00:00:00	2015-01-05 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
195677	2015081124812	2015-08-11 00:00:00	2015-07-19 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
204331	2016032229980	2016-03-07 00:00:00	2016-02-21 00:00:00	ASE	Aspen Pitkin County Sardy Field	Delta Air Lines	Passenger Property Loss	Checked Baggage		Office Supplies	Books, Magazines & Other		67.12	Approve in Full
204333	2016022529128	2016-02-03 00:00:00	2016-01-31 00:00:00	ASE	Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Electronics	Computer & Accessories		0.0	Deny
212541	2017041438574	2017-02-13 00:00:00	2017-01-29 00:00:00	ASE	 Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checkpoint		Clothing & Accessories	Clothing			In Review
212542	2017083042524	2017-08-23 00:00:00	2017-08-17 00:00:00	ASE	 Aspen Pitkin County Sardy Field	UAL	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches			In Review
