id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
10	2004102965797	2002-06-25 00:00:00	2002-05-04 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport		Passenger Property Loss	Checkpoint	4457.29	Watches & Jewelry	Jewelry - Fine	Denied		Deny
482	19218	2002-12-03 00:00:00	2002-10-02 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	499.0	Electronics	PDA - Personal Data Assistants	Settled	280.48	Settle
510	21591	2002-12-06 00:00:00	2002-11-18 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	240.0	Other	Currency	Approved	240.0	Approve in Full
709	21604	2002-12-16 00:00:00	2002-11-16 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	300.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	300.0	Approve in Full
788	1218004L	2002-12-18 00:00:00	2002-11-23 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint		Containers	Luggage (all types including footlockers)	Canceled	0.0	
1009	0617708L	2002-12-30 00:00:00	2002-11-08 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	71830.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
1322	21948	2003-01-13 00:00:00	2002-12-02 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	UAL	Passenger Property Loss	Checkpoint	150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	118.5	Settle
1349	0114004L	2003-01-14 00:00:00	2002-11-28 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport		Passenger Property Loss	Other	300.0	Other	Other	Canceled		
1613	0617696L	2003-01-21 00:00:00	2003-01-01 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	150.0	Settle
1725	0617607L	2003-01-22 00:00:00	2002-11-21 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	2300.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
1889	0127042L	2003-01-27 00:00:00	2002-12-18 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	2513.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	2513.0	Deny
1903	0127043L	2003-01-27 00:00:00	2002-12-16 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	925.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	861.17	Settle
1990	0129033L-B	2003-01-29 00:00:00	2003-01-16 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport		Passenger Property Loss	Checkpoint	150.0	Electronics	Cell Phones	Canceled		
2151	0203078L	2003-02-03 00:00:00	2002-12-27 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport		Passenger Property Loss	Checkpoint	200.0	Other	Other	Canceled		
2325	0206017L	2003-02-06 00:00:00	2002-11-20 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	62.95	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
2415	0211101L	2003-02-11 00:00:00	2003-01-05 00:00:00	ATL	Hartsfield-Jackson Atlanta International Airport		Passenger Property Loss	Checked Baggage	19.0	Other	Other	Approved	19.0	Approve in Full
