id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
2313	0206036L	2003-02-06 00:00:00	2003-01-19 00:00:00	AUS	Austin-Bergstrom International Airport		Passenger Property Loss	Checkpoint	54.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	54.0	Approve in Full
3941	0319002L	2003-03-19 00:00:00	2003-03-05 00:00:00	AUS	Austin-Bergstrom International Airport	American Airlines	Passenger Property Loss	Checked Baggage	2441.99	Electronics	Computer - Laptop	Settled	250.0	Settle
5139	0416090L	2003-04-16 00:00:00	2003-03-07 00:00:00	AUS	Austin-Bergstrom International Airport	American Airlines	Passenger Property Loss	Checked Baggage	31.52	Other	Other	Approved	31.52	Approve in Full
6952	0527044L	2003-05-27 00:00:00	2003-05-10 00:00:00	AUS	Austin-Bergstrom International Airport	American Airlines	Passenger Property Loss	Checked Baggage	30.0	Other	Other	Approved	30.0	Approve in Full
7284	0529110L	2003-05-29 00:00:00	2003-05-05 00:00:00	AUS	Austin-Bergstrom International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	183.0	Other	Other	Settled	91.5	Settle
7859	0605006L	2003-06-05 00:00:00	2003-05-20 00:00:00	AUS	Austin-Bergstrom International Airport		Passenger Property Loss	Checked Baggage	69.8	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	34.9	Settle
10502	0714525M	2003-07-09 00:00:00	2003-03-08 00:00:00	AUS	Austin-Bergstrom International Airport	American Airlines	Passenger Property Loss	Checked Baggage	100.0	Watches & Jewelry	Jewelry - Fine	Settled	50.0	Settle
10603	0711023M	2003-07-11 00:00:00	2003-03-26 00:00:00	AUS	Austin-Bergstrom International Airport		Passenger Property Loss	Checked Baggage	535.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	267.0	Settle
11372	0721032M	2003-07-21 00:00:00	2003-07-06 00:00:00	AUS	Austin-Bergstrom International Airport	Frontier Airlines	Passenger Property Loss	Checked Baggage	400.0	Electronics	Cameras - Digital	Settled	200.0	Settle
12036	0729130M	2003-07-29 00:00:00	2003-07-11 00:00:00	AUS	Austin-Bergstrom International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	403.31	Other	Other	Settled	250.0	Settle
