id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
2251	0204037L	2003-02-04 00:00:00	2003-01-10 00:00:00	AVL	Asheville Regional Airport	USAir	Passenger Property Loss	Checked Baggage	234.97	Clothing & Accessories	Settled	117.5	Settle
11262	0721120M	2003-07-21 00:00:00	2003-07-11 00:00:00	AVL	Asheville Regional Airport		Passenger Property Loss	Checked Baggage	180.19	Electronics	Approved	180.19	Approve in Full
30845	2004051752587	2004-03-18 00:00:00	2004-03-07 00:00:00	AVL	Asheville Regional Airport	USAir	Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Settled	100.0	Settle
33904	2004051251229	2004-05-03 00:00:00	2004-01-12 00:00:00	AVL	Asheville Regional Airport	USAir	Passenger Property Loss	Checkpoint	912.0	Other	Denied	912.0	Deny
35494	2004061455589	2004-05-19 00:00:00	2004-04-21 00:00:00	AVL	Asheville Regional Airport	USAir	Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Approved	300.0	Approve in Full
36011	2004062156632	2004-05-27 00:00:00	2004-04-18 00:00:00	AVL	Asheville Regional Airport	USAir	Passenger Property Loss	Checked Baggage	36.0	Other	Approved	36.0	Approve in Full
38170	2004070658355	2004-06-17 00:00:00	2004-06-09 00:00:00	AVL	Asheville Regional Airport		Passenger Property Loss	Checked Baggage	698.03	Electronics	Settled	468.99	Settle
39927	2004080960857	2004-07-12 00:00:00	2004-06-25 00:00:00	AVL	Asheville Regional Airport		Passenger Property Loss	Checked Baggage	525.0	Other	Denied	0.0	Deny
40613	2004081061071	2004-07-20 00:00:00	2004-06-13 00:00:00	AVL	Asheville Regional Airport	USAir	Passenger Property Loss	Checked Baggage	50.0	Other	Denied	50.0	Deny
40855	2004082661391	2004-07-23 00:00:00	2004-06-26 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Other	Denied	0.0	Deny
50769	2004122771099	2004-11-26 00:00:00	2004-11-10 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	55.0	Clothing & Accessories	Denied		Deny
53180	2005012173892	2004-12-28 00:00:00	2004-12-17 00:00:00	AVL	Asheville Regional Airport	USAir	Passenger Property Loss	Checked Baggage	506.65	Electronics	Settled	382.38	Settle
55922	2005022376670	2005-01-28 00:00:00	2005-01-02 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	145.0	Clothing & Accessories	Settled	101.5	Settle
60282	2005040181028	2005-03-29 00:00:00	2005-03-12 00:00:00	AVL	Asheville Regional Airport	USAir	Passenger Property Loss	Checked Baggage	900.0	Other	Denied	0.0	Deny
66125	2005062887647	2005-06-14 00:00:00	2005-05-24 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	490.0	Watches & Jewelry	Canceled	0.0	
66129	2005092393173	2005-06-14 00:00:00	2005-05-24 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	490.0	Watches & Jewelry	Canceled	0.0	
66559	2005062887452	2005-06-21 00:00:00	2005-06-12 00:00:00	AVL	Asheville Regional Airport	Comair Inc	Passenger Property Loss	Checked Baggage	35.41	Electronics	Approved	35.41	Approve in Full
67545	2005071188612	2005-07-06 00:00:00	2005-01-19 00:00:00	AVL	Asheville Regional Airport		Passenger Property Loss	Checked Baggage	18.95	Tools & Machines	Denied	0.0	Deny
68844	2005072889844	2005-07-26 00:00:00	2005-03-16 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	20470.0	Clothing & Accessories	Denied	0.0	Deny
68959	2005080490047	2005-07-27 00:00:00	2005-07-14 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	21.65	Tools & Machines	Approved	21.65	Approve in Full
70193	2005082391199	2005-08-16 00:00:00	2005-07-20 00:00:00	AVL	Asheville Regional Airport		Passenger Property Loss	Checked Baggage	505.79	Electronics	Denied	0.0	Deny
75194	2005112196292	2005-11-09 00:00:00	2005-10-23 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	311.46	Other	Denied	0.0	Deny
77855	2006010699031	2006-01-02 00:00:00	2005-12-29 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	129.0	Electronics	Denied	0.0	Deny
78967	2006012400205	2006-01-18 00:00:00	2005-12-06 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	70.99	Other	Approved	70.99	Approve in Full
80411	2006021401548	2006-02-08 00:00:00	2005-12-08 00:00:00	AVL	Asheville Regional Airport	USAir	Passenger Property Loss	Checked Baggage	25.0	Other	Denied	0.0	Deny
84670	2006051206210	2006-05-02 00:00:00	2006-05-01 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.75	Containers	Approved	10.75	Approve in Full
84770	2006051005881	2006-05-03 00:00:00	2006-04-23 00:00:00	AVL	Asheville Regional Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	417.96	Electronics	Denied	0.0	Deny
86701	2006061407916	2006-06-13 00:00:00	2006-04-20 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	441.66	Clothing & Accessories	Denied	0.0	Deny
87258	2006062308481	2006-06-22 00:00:00	2006-06-04 00:00:00	AVL	Asheville Regional Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	19.99	Outdoors Supplies	Settled	10.0	Settle
87348	2006062708602	2006-06-26 00:00:00	2006-06-23 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	57.76	Other	Denied	0.0	Deny
87458	2006062908696	2006-06-28 00:00:00	2006-06-17 00:00:00	AVL	Asheville Regional Airport	USAir	Passenger Property Loss	Checked Baggage	315.75	Other	Denied	0.0	Deny
91824	2006092513187	2006-09-20 00:00:00	2006-08-10 00:00:00	AVL	Asheville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	5.0	Tools & Machines	Approved	5.0	Approve in Full
