id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
51943	2005010472457	2004-12-14 00:00:00	2004-11-17 00:00:00	AZO	Kalamazoo/Battle Creek International		Passenger Property Loss	Checked Baggage	12.99	Locks	Approved	12.99	Approve in Full
70009	2005083191937	2005-08-12 00:00:00	2005-08-25 00:00:00	AZO	Kalamazoo/Battle Creek International	Delta Air Lines	Passenger Property Loss	Checked Baggage	287.96	Eyeglasses - (including contact lenses)	Approved	287.96	Approve in Full
73173	2005101294437	2005-10-04 00:00:00	2005-09-25 00:00:00	AZO	Kalamazoo/Battle Creek International	American Airlines	Passenger Property Loss	Checked Baggage	6.77	Locks	Approved	6.77	Approve in Full
73912	2005102495057	2005-10-17 00:00:00	2005-09-30 00:00:00	AZO	Kalamazoo/Battle Creek International	Northwest Airlines	Passenger Property Loss	Checked Baggage	569.79	Other	Denied	0.0	Deny
74120	2005102795226	2005-10-19 00:00:00	2005-10-14 00:00:00	AZO	Kalamazoo/Battle Creek International	Northwest Airlines	Passenger Property Loss	Checked Baggage	689.0	Clothing - Shoes, belts, accessories, etc.*Eyeglasses - (including contact lenses)*Jewelry - Fine*Luggage (all types including footlockers)*Luggage (all types including footlockers)	Denied	0.0	Deny
74636	2005110895774	2005-10-28 00:00:00	2005-04-15 00:00:00	AZO	Kalamazoo/Battle Creek International	UAL	Passenger Property Loss	Checked Baggage	228.18	Cameras - Digital	Denied	0.0	Deny
81094	2006022702215	2006-02-23 00:00:00	2006-01-30 00:00:00	AZO	Kalamazoo/Battle Creek International	Delta Air Lines	Passenger Property Loss	Checked Baggage	493.98	Cameras - Digital	Denied	0.0	Deny
85633	2006052406888	2006-05-22 00:00:00	2006-05-06 00:00:00	AZO	Kalamazoo/Battle Creek International		Passenger Property Loss	Checked Baggage	8.0	Locks	Denied	0.0	Deny
91134	2006091212359	2006-09-06 00:00:00	2006-08-25 00:00:00	AZO	Kalamazoo/Battle Creek International	Northwest Airlines	Passenger Property Loss	Checked Baggage	3500.0	Cameras - Digital*Computer - Laptop	Denied	0.0	Deny
92834	2006101213895	2006-10-11 00:00:00	2006-08-25 00:00:00	AZO	Kalamazoo/Battle Creek International	Northwest Airlines	Passenger Property Loss	Checked Baggage	3500.0	Cameras - Digital*Computer - Laptop*Other	Canceled	0.0	
97266	2007010418346	2007-01-03 00:00:00	2006-12-26 00:00:00	AZO	Kalamazoo/Battle Creek International	Northwest Airlines	Passenger Property Loss	Checked Baggage	495.0	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*MP3 Players-(iPods, etc)	Denied	0.0	Deny
105292	2007061326817	2007-06-04 00:00:00	2007-05-04 00:00:00	AZO	Kalamazoo/Battle Creek International	Northwest Airlines	Passenger Property Loss	Checked Baggage	74.2	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
107890	2007072629147	2007-07-25 00:00:00	2007-07-17 00:00:00	AZO	Kalamazoo/Battle Creek International	American Airlines	Passenger Property Loss	Checked Baggage	961.37	Cameras - Digital*GPS - Global Positioning System	Denied	0.0	Deny
116966	2008012538575	2008-01-17 00:00:00	2007-08-15 00:00:00	AZO	Kalamazoo/Battle Creek International	American Airlines	Passenger Property Loss	Checked Baggage	180.0	Cell Phones*Jewelry - Costume*Jewelry - Fine	Denied	0.0	Deny
121644	2008042443294	2008-04-21 00:00:00	2008-04-13 00:00:00	AZO	Kalamazoo/Battle Creek International	Northwest Airlines	Passenger Property Loss	Checked Baggage	75.0	Clocks - Inexpensive ($75.00 or less)	Denied	0.0	Deny
129974	2008110451787	2008-10-28 00:00:00	2008-09-18 00:00:00	AZO	Kalamazoo/Battle Creek International	UAL	Passenger Property Loss	Checked Baggage	175.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Jewelry - Costume	Denied	0.0	Deny
135236	2009041057276	2009-03-18 00:00:00	2009-02-11 00:00:00	AZO	Kalamazoo/Battle Creek International	Northwest Airlines	Passenger Property Loss	Checked Baggage	183.0	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
149190	2010060872477	2010-06-01 00:00:00	2010-01-08 19:30:00	AZO	Kalamazoo/Battle Creek International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing		169.6	Approve in Full
149795	2010062473043	2010-06-21 00:00:00	2010-06-06 00:00:00	AZO	Kalamazoo/Battle Creek International	American Airlines	Passenger Property Loss	Checked Baggage		Cosmetics & Grooming		0.0	Deny
152068	2010082775385	2010-08-24 00:00:00	2010-08-21 00:00:00	AZO	Kalamazoo/Battle Creek International	American Airlines	Passenger Property Loss	Checked Baggage		Clothing		0.0	Deny
156997	2011022380338	2011-01-27 00:00:00	2010-12-16 17:00:00	AZO	Kalamazoo/Battle Creek International	American Airlines	Passenger Property Loss	Checked Baggage		Cameras*Computer & Accessories*Personal Electronics		0.0	Deny
158420	2011040781994	2011-03-16 00:00:00	2011-02-27 10:00:00	AZO	Kalamazoo/Battle Creek International	Direct Air	Passenger Property Loss	Checked Baggage		Sporting Equipment & Supplies (footballs, parachutes, etc.)		0.0	Deny
168080	2012031691760	2012-02-02 00:00:00	2011-03-15 00:00:00	AZO	Kalamazoo/Battle Creek International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cameras*Other		0.0	Deny
171336	2012062694958	2012-05-30 00:00:00	2012-03-09 00:00:00	AZO	Kalamazoo/Battle Creek International	American Airlines	Passenger Property Loss	Checked Baggage		Hunting & Fishing Items		0.0	Deny
177115	2013013000666	2013-01-04 00:00:00	2012-12-16 00:00:00	AZO	Kalamazoo/Battle Creek International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing		0.0	Deny
179883	2013050703545	2013-04-15 00:00:00	2011-10-01 13:00:00	AZO	Kalamazoo/Battle Creek International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cosmetics & Grooming		125.99	Approve in Full
191994	2014081315845	2014-08-01 00:00:00	2014-07-28 00:00:00	AZO	Kalamazoo/Battle Creek International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other		8.53	Approve in Full
196111	2015041721969	2015-04-17 00:00:00	2015-03-27 00:00:00	AZO	Kalamazoo/Battle Creek International	American Airlines	Passenger Property Loss	Checked Baggage		Other		160.0	Settle
204753	2016102835323	2016-09-26 00:00:00	2016-09-26 12:15:00	AZO	Kalamazoo/Battle Creek International	Delta Air Lines	Passenger Property Loss	Checkpoint		Cameras			In Review
212998	2017121846056	2017-11-30 00:00:00	2017-11-25 00:00:00	AZO	Kalamazoo/Battle Creek International	UAL	Passenger Property Loss	Checked Baggage		Travel Accessories			In Review
