id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
395	0616768L	2002-11-25 00:00:00	2002-09-27 00:00:00	BDL	Bradley International Airport		Passenger Property Loss	Checkpoint	100.0	Other	Other	Settled	92.63	Settle
1401	0703519M	2003-01-14 00:00:00	2003-01-06 00:00:00	BDL	Bradley International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	350.0	Other	Currency	Denied	0.0	Deny
2694	0221007L	2003-02-21 00:00:00	2003-01-24 00:00:00	BDL	Bradley International Airport	America West	Passenger Property Loss	Checked Baggage	85.0	Other	Other	Denied	0.0	Deny
5135	0416079L	2003-04-16 00:00:00	2003-03-20 00:00:00	BDL	Bradley International Airport		Passenger Property Loss	Checked Baggage	35.0	Watches & Jewelry	Jewelry - Fine	Approved	35.0	Approve in Full
5142	0416104L	2003-04-16 00:00:00	2003-03-08 00:00:00	BDL	Bradley International Airport		Passenger Property Loss	Checkpoint	35.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	35.0	Approve in Full
6661	0520096L	2003-05-20 00:00:00	2003-04-16 00:00:00	BDL	Bradley International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	105.47	Other	Other	Approved	105.47	Approve in Full
7132	0528007L	2003-05-28 00:00:00	2003-05-05 00:00:00	BDL	Bradley International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	140.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	70.0	Settle
8001	0609059L	2003-06-09 00:00:00	2003-05-01 00:00:00	BDL	Bradley International Airport	USAir	Passenger Property Loss	Checkpoint	212.51	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
8275	0610111L	2003-06-10 00:00:00	2003-05-18 00:00:00	BDL	Bradley International Airport		Passenger Property Loss	Checked Baggage	90.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	45.0	Settle
8292	0610158L	2003-06-10 00:00:00	2003-04-03 00:00:00	BDL	Bradley International Airport		Passenger Property Loss	Checked Baggage	25.0	Other	Other	Settled	12.5	Settle
8392	0612072L	2003-06-12 00:00:00	2003-05-09 00:00:00	BDL	Bradley International Airport		Passenger Property Loss	Checked Baggage	14.95	Other	Other	Approved	15.0	Approve in Full
8571	0616093L	2003-06-16 00:00:00	2003-05-26 00:00:00	BDL	Bradley International Airport		Passenger Property Loss	Checked Baggage	259.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
