id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
31682	2004051351804	2004-03-30 00:00:00	2004-03-03 00:00:00	BGR	Bangor International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	439.46	Cameras - Digital	Settled	219.73	Settle
36945	2004070858885	2004-06-03 00:00:00	2004-05-16 00:00:00	BGR	Bangor International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	30.0	Locks	Denied	0.0	Deny
61477	2005041482560	2005-04-12 00:00:00	2004-11-11 00:00:00	BGR	Bangor International Airport	American Airlines	Passenger Property Loss	Checked Baggage	220.0	Jewelry - Fine	Approved	220.0	Approve in Full
69087	2005072989889	2005-07-29 00:00:00	2005-07-08 00:00:00	BGR	Bangor International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	13.27	Locks	Approved	13.27	Approve in Full
69809	2005081890832	2005-08-09 00:00:00	2005-07-22 00:00:00	BGR	Bangor International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	63.9	Other	Denied	0.0	Deny
70679	2005083091858	2005-08-23 00:00:00	2005-08-17 00:00:00	BGR	Bangor International Airport	Comair Inc	Passenger Property Loss	Checked Baggage	112.81	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
72979	2005100594032	2005-09-29 00:00:00	2005-09-10 00:00:00	BGR	Bangor International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	39.95	Locks	Settled	19.97	Settle
76418	2005121297539	2005-12-02 00:00:00	2005-09-24 00:00:00	BGR	Bangor International Airport	American Airlines	Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
76810	2005121497843	2005-12-08 00:00:00	2005-11-28 00:00:00	BGR	Bangor International Airport	UAL	Passenger Property Loss	Checked Baggage	750.0	Other	Denied	0.0	Deny
80404	2006021401551	2006-02-08 00:00:00	2005-08-03 00:00:00	BGR	Bangor International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	44.52	Locks	Approved	44.52	Approve in Full
80541	2006022101757	2006-02-10 00:00:00	2006-01-23 00:00:00	BGR	Bangor International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	533.37	Cameras - Digital	Denied	0.0	Deny
87019	2006062008287	2006-06-19 00:00:00	2006-06-11 00:00:00	BGR	Bangor International Airport	USAir	Passenger Property Loss	Checked Baggage	900.0	Other	Denied	0.0	Deny
88635	2006072009854	2006-07-19 00:00:00	2006-07-15 00:00:00	BGR	Bangor International Airport	American Airlines	Passenger Property Loss	Checked Baggage	209.95	Other	Denied	0.0	Deny
89410	2006081010736	2006-08-03 00:00:00	2006-06-30 00:00:00	BGR	Bangor International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	671.97	Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*Video Recordings (blank & commercial)	Settled	182.85	Settle
89413	2006080910612	2006-08-04 00:00:00	2006-06-09 00:00:00	BGR	Bangor International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	15.45	Locks	Approved	15.45	Approve in Full
92022	2006092613291	2006-09-22 00:00:00	2006-09-15 00:00:00	BGR	Bangor International Airport	American Airlines	Passenger Property Loss	Checked Baggage	92.22	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
94582	2006111715796	2006-11-13 00:00:00	2006-11-06 00:00:00	BGR	Bangor International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Bags - Fabric, plastic, etc. (not purses)*Cell Phones*DVD/CD Players*Jewelry - Costume	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
105644	2007061426921	2007-06-11 00:00:00	2007-02-10 00:00:00	BGR	Bangor International Airport		Passenger Property Loss	Checked Baggage	200.0	MP3 Players-(iPods, etc)*Other	Denied	0.0	Deny
106954	2007071328324	2007-07-09 00:00:00	2007-07-02 00:00:00	BGR	Bangor International Airport	USAir	Passenger Property Loss	Checked Baggage	350.0	Cameras - Digital	Canceled	0.0	
121271	2008041842871	2008-04-14 00:00:00	2008-04-02 00:00:00	BGR	Bangor International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	317.7	Other	Denied	0.0	Deny
121791	2008042543424	2008-04-23 00:00:00	2008-03-29 00:00:00	BGR	Bangor International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.6	Locks	Denied	0.0	Deny
129856	2008110351682	2008-10-24 00:00:00	2008-08-11 00:00:00	BGR	Bangor International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	8175.0	Jewelry - Costume*Jewelry - Fine*Luggage (all types including footlockers)	Denied	0.0	Deny
138618	2009062560637	2009-06-22 00:00:00	2009-05-13 00:00:00	BGR	Bangor International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	350.0	Dental Equipment and Instruments	Denied	0.0	Deny
139284	2009071661295	2009-07-09 00:00:00	2009-06-30 00:00:00	BGR	Bangor International Airport	USAir	Passenger Property Loss	Checked Baggage	298.0	Computer - Laptop*Toys (game systems, cartridges, radio controlled cars, etc.)	Denied	0.0	Deny
143129	2009110565167	2009-10-29 00:00:00	2009-10-29 08:00:00	BGR	Bangor International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	200.0	GPS - Global Positioning System	Denied	0.0	Deny
