id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
57494	2005031578320	2005-02-16 00:00:00	2004-12-31 00:00:00	BIS	Bismarck Municipal	Northwest International Airways Ltd	Passenger Property Loss	Checked Baggage		Jewelry - Fine	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		Deny
59468	2005032980337	2005-03-16 00:00:00	2005-02-17 00:00:00	BIS	Bismarck Municipal	Southwest Airlines	Passenger Property Loss	Checked Baggage	424.0	Currency	Denied	0.0	Deny
74127	2005102795242	2005-10-20 00:00:00	2005-10-10 00:00:00	BIS	Bismarck Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	26.95	Other	Approved	26.95	Approve in Full
79204	2006012500355	2006-01-20 00:00:00	2006-01-12 00:00:00	BIS	Bismarck Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	323.98	Cameras - Digital	Canceled	0.0	
81551	2006030702694	2006-03-02 00:00:00	2006-02-27 00:00:00	BIS	Bismarck Municipal	UAL	Passenger Property Loss	Checked Baggage	381.43	PDA - Personal Data Assistants	Settled	166.81	Settle
107739	2007072529048	2007-07-23 00:00:00	2007-07-18 00:00:00	BIS	Bismarck Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	20.0	Locks	Denied	0.0	Deny
108862	2007081430223	2007-08-10 00:00:00	2007-08-03 00:00:00	BIS	Bismarck Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	737.94	Game Equipment (poker chips, checker sets, chess etc.)*Other	Denied	0.0	Deny
110133	2007091131643	2007-09-04 00:00:00	2007-07-30 00:00:00	BIS	Bismarck Municipal	Allegiant Air	Passenger Property Loss	Checked Baggage	300.0	MP3 Players-(iPods, etc)*Watches - Expensive more than $100	Denied	0.0	Deny
111921	2007101533414	2007-10-09 00:00:00	2007-07-27 00:00:00	BIS	Bismarck Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	215.0	Cameras - Digital	Denied	0.0	Deny
125143	2008071546953	2008-07-07 00:00:00	2008-06-23 00:00:00	BIS	Bismarck Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	350.0	Jewelry - Costume	Denied	0.0	Deny
130585	2008111952463	2008-11-13 00:00:00	2008-11-12 00:00:00	BIS	Bismarck Municipal		Passenger Property Loss	Checked Baggage	50.0	Alcoholic beverages	Denied	0.0	Deny
135117	2009032757010	2009-03-16 00:00:00	2009-02-28 00:00:00	BIS	Bismarck Municipal	Allegiant Air	Passenger Property Loss	Checked Baggage	100.0	Watches - Inexpensive $100 or less	Denied	0.0	Deny
141690	2009091763769	2009-09-14 00:00:00	2009-08-21 00:00:00	BIS	Bismarck Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	174.87	Barber Supplies - Scissors, shears, elecric razors, etc.*Cameras - Digital*Medicines	Denied	0.0	Deny
147152	2010033170254	2010-03-30 00:00:00	2010-03-14 13:00:00	BIS	Bismarck Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage		Baggage/Cases/Purses		0.0	Deny
153816	2010102377218	2010-10-15 00:00:00	2010-09-27 00:00:00	BIS	Bismarck Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cameras*Hunting & Fishing Items*Sporting Equipment & Supplies (footballs, parachutes, etc.)		0.0	Deny
161516	2011070685034	2011-06-27 00:00:00	2011-06-13 15:30:00	BIS	Bismarck Municipal	Allegiant Air	Passenger Property Loss	Checked Baggage		Travel Accessories		15.67	Approve in Full
173405	2012092497103	2012-08-13 00:00:00	2012-07-20 00:00:00	BIS	Bismarck Municipal	Allegiant Air	Passenger Property Loss	Checked Baggage		Cosmetics & Grooming		98.32	Approve in Full
178984	2013032102686	2013-03-11 00:00:00	2013-02-27 00:00:00	BIS	Bismarck Municipal	UAL	Passenger Property Loss	Checked Baggage		Personal Accessories		0.0	Deny
196174	2015072024005	2015-07-10 00:00:00	2015-06-30 00:00:00	BIS	Bismarck Municipal	UAL	Passenger Property Loss	Checked Baggage		Personal Accessories		393.03	Approve in Full
196175	2015081724908	2015-08-13 00:00:00	2015-06-03 00:00:00	BIS	Bismarck Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage		Jewelry & Watches		0.0	Deny
204819	2017020337251	2016-12-23 00:00:00	2016-12-21 06:00:00	BIS	Bismarck Municipal Bismarck Municipal	Delta Air Lines	Passenger Property Loss	Checkpoint		Computer & Accessories			In Review
213054	2017033038298	2017-02-01 00:00:00	2017-01-07 00:00:00	BIS	Bismarck Municipal Bismarck Municipal	Allegiant Air	Passenger Property Loss	Checked Baggage		Cosmetics & Grooming			Closed: Canceled
