id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
100699	2007030922023	2007-03-02 00:00:00	2006-12-24 00:00:00	BJI	Bemidji, MN		Passenger Property Loss	Checkpoint	43.0	Electronics	Denied	0.0	Deny
120161	2008022740249	2008-03-25 00:00:00	2008-02-05 00:00:00	BJI	Bemidji, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	120.0	Electronics	Denied	0.0	Deny
139444	2009071761387	2009-07-14 00:00:00	2009-07-06 00:00:00	BJI	Bemidji, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	234.28	Tools & Machines	Approved	234.28	Approve in Full
161929	2011072785510	2011-07-12 00:00:00	2011-06-18 07:00:00	BJI	Bemidji, MN		Passenger Property Loss	Checked Baggage		Clothing & Accessories		0.0	Deny
169215	2012042093088	2012-03-14 00:00:00	2012-03-06 00:00:00	BJI	Bemidji, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other		0.0	Deny
172667	2012082996389	2012-07-17 00:00:00	2012-06-16 10:45:00	BJI	Bemidji, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other		0.0	Deny
180536	2013061904538	2013-05-09 00:00:00	2012-10-19 00:00:00	BJI	Bemidji, MN	Delta Air Lines	Passenger Property Loss	Checkpoint		Watches & Jewelry			
181594	2013080705745	2013-06-17 00:00:00	2012-10-15 00:00:00	BJI	Bemidji, MN	Delta Air Lines	Passenger Property Loss	Checkpoint		Watches & Jewelry		278.93	Settle
184874	2013110708826	2013-10-17 00:00:00	2013-09-13 00:00:00	BJI	Bemidji, MN	Delta Air Lines	Passenger Property Loss	Checkpoint		Watches & Jewelry		50.0	Approve in Full
187289	2014012211041	2014-01-15 00:00:00	2013-01-03 00:00:00	BJI	Bemidji, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other			
192193	2014081916047	2014-08-01 00:00:00	2014-07-28 00:00:00	BJI	Bemidji, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories			
193822	2014101617712	2014-10-07 00:00:00	2014-09-14 00:00:00	BJI	Bemidji, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Containers			
196177	2015032621513	2015-03-26 00:00:00	2015-02-28 00:00:00	BJI	Bemidji, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories		56.0	Settle
