id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
54420	2005012874789	2005-01-12 00:00:00	2003-01-06 00:00:00	BLI	Bellingham International		Passenger Property Loss	Checked Baggage	400.0	Cameras - Digital	Settled	164.19	Settle
67262	2005070688305	2005-06-30 00:00:00	2005-06-19 00:00:00	BLI	Bellingham International	Horizon Air	Passenger Property Loss	Checkpoint	30.0	Currency	Denied	0.0	Deny
71392	2005091492479	2005-09-06 00:00:00	2005-06-10 00:00:00	BLI	Bellingham International	Alaska Airlines	Passenger Property Loss	Checked Baggage	499.0	Other	Denied	0.0	Deny
74550	2005110795680	2005-10-27 00:00:00	2005-10-09 00:00:00	BLI	Bellingham International	Allegiant Air	Passenger Property Loss	Checked Baggage	14.74	Locks	Denied	0.0	Deny
77620	2006010498748	2005-12-27 00:00:00	2005-12-02 00:00:00	BLI	Bellingham International	Alaska Airlines	Passenger Property Loss	Checked Baggage	115.74	Other	Approved	115.74	Approve in Full
77858	2006010698976	2006-01-03 00:00:00	2005-12-20 00:00:00	BLI	Bellingham International		Passenger Property Loss	Checkpoint	100.0	Luggage (all types including footlockers)	Approved	100.0	Approve in Full
92302	2006100313560	2006-09-28 00:00:00	2006-09-15 00:00:00	BLI	Bellingham International	Delta Air Lines	Passenger Property Loss	Checked Baggage	650.0	Currency	Settled	325.0	Settle
93669	2006110114923	2006-10-26 00:00:00	2006-07-29 00:00:00	BLI	Bellingham International	Delta Air Lines	Passenger Property Loss	Checked Baggage	76.42	Clothing - Shoes, belts, accessories, etc.	Approved	76.42	Approve in Full
94834	2006112816281	2006-11-17 00:00:00	2006-10-20 00:00:00	BLI	Bellingham International	Alaska Airlines	Passenger Property Loss	Checked Baggage	130.07	Professional Equipment	Denied	0.0	Deny
99890	2007021621077	2007-02-13 00:00:00	2007-02-02 00:00:00	BLI	Bellingham International	Alaska Airlines	Passenger Property Loss	Checked Baggage	159.0	Cell Phones	Denied	0.0	Deny
103476	2007042724632	2007-04-26 00:00:00	2007-04-17 00:00:00	BLI	Bellingham International		Passenger Property Loss	Checked Baggage	18.54	Locks	Settled	9.99	Settle
104479	2007051925715	2007-05-18 00:00:00	2007-05-14 00:00:00	BLI	Bellingham International	Horizon Air	Passenger Property Loss	Checked Baggage	31.3	Luggage (all types including footlockers)	Approved	31.3	Approve in Full
105484	2007061126711	2007-06-07 00:00:00	2007-04-25 00:00:00	BLI	Bellingham International	Alaska Airlines	Passenger Property Loss	Checked Baggage	245.0	Cameras - Digital*Watches - Inexpensive $100 or less	Denied	0.0	Deny
107273	2007071928617	2007-07-13 00:00:00	2007-06-03 00:00:00	BLI	Bellingham International	Allegiant Air	Passenger Property Loss	Checked Baggage	25.24	Calculators - Adding machines, hand calculators, etc.	Denied	0.0	Deny
108038	2007073029331	2007-07-27 00:00:00	2007-06-08 00:00:00	BLI	Bellingham International	Alaska Airlines	Passenger Property Loss	Checked Baggage	399.0	Cameras - Digital*Other	Denied	0.0	Deny
113052	2007110234416	2007-11-01 00:00:00	2007-10-28 00:00:00	BLI	Bellingham International	Horizon Air	Passenger Property Loss	Checked Baggage	150.0	Jewelry - Costume	Canceled	0.0	
116340	2008011638027	2008-01-08 00:00:00	2008-01-03 00:00:00	BLI	Bellingham International	Horizon Air	Passenger Property Loss	Checked Baggage	150.5	Watches - Expensive more than $100	Canceled	0.0	
118057	2008021939735	2008-02-08 00:00:00	2007-12-17 00:00:00	BLI	Bellingham International	Horizon Air	Passenger Property Loss	Checkpoint	400.0	Currency	Denied	0.0	Deny
119667	2008032041330	2008-03-13 00:00:00	2007-11-27 00:00:00	BLI	Bellingham International	Alaska Airlines	Passenger Property Loss	Checked Baggage	458.99	Cameras - Digital	Denied	0.0	Deny
122788	2008051944477	2008-05-14 00:00:00	2007-12-14 00:00:00	BLI	Bellingham International	Alaska Airlines	Passenger Property Loss	Checked Baggage	14.99	Other	Denied	0.0	Deny
122826	2008051944473	2008-05-15 00:00:00	2008-04-04 00:00:00	BLI	Bellingham International		Passenger Property Loss	Checked Baggage	49.89	Other	Denied	0.0	Deny
