id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
115	17356	2002-10-22 00:00:00	2002-08-28 00:00:00	BNA	Nashville International	USAir	Passenger Property Loss	Checkpoint	1000.0	Watches & Jewelry	Jewelry - Fine	Approved	1000.0	Approve in Full
1849	0127040L	2003-01-27 00:00:00	2002-12-15 00:00:00	BNA	Nashville International	USAir	Passenger Property Loss	Checkpoint	20.0	Other	Other	Approved	20.0	Approve in Full
2489	0211067L	2003-02-11 00:00:00	2003-01-22 00:00:00	BNA	Nashville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	667.98	Electronics	Stereo Items & Accessories	Settled	333.99	Settle
3543	0311108L	2003-03-11 00:00:00	2003-02-05 00:00:00	BNA	Nashville International		Passenger Property Loss	Checkpoint	160.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	144.0	Settle
3825	0318006L	2003-03-18 00:00:00	2003-02-27 00:00:00	BNA	Nashville International		Passenger Property Loss	Checked Baggage	32.85	Other	Other	Denied	0.0	Deny
4481	0401003L	2003-04-01 00:00:00	2003-02-15 00:00:00	BNA	Nashville International	Southwest Airlines	Passenger Property Loss	Checked Baggage	59.99	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	30.0	Settle
4780	0408097L	2003-04-08 00:00:00	2003-03-18 00:00:00	BNA	Nashville International	UAL	Passenger Property Loss	Checked Baggage	621.28	Electronics	Cameras - Digital	Denied	0.0	Deny
5532	0422047L	2003-04-22 00:00:00	2003-01-12 00:00:00	BNA	Nashville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1600.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	809.32	Settle
5715	0428088L	2003-04-28 00:00:00	2003-03-16 00:00:00	BNA	Nashville International		Passenger Property Loss	Checked Baggage	115.0	Other	Other	Canceled		
6133	0506065L	2003-05-06 00:00:00	2003-03-28 00:00:00	BNA	Nashville International		Passenger Property Loss	Checkpoint	465.0	Electronics	PDA - Personal Data Assistants	Denied	0.0	Deny
