id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1337	0617649L	2003-01-14 00:00:00	2002-12-11 00:00:00	BOI	Boise Air Terminal/Gowen Field	Delta Air Lines	Passenger Property Loss	Checkpoint	250.0	Eyeglasses - (including contact lenses)	Approved	250.0	Approve in Full
1372	23706	2003-01-14 00:00:00	2002-12-11 00:00:00	BOI	Boise Air Terminal/Gowen Field		Passenger Property Loss	Other	250.0	Luggage (all types including footlockers)	Canceled		
1598	0617531L	2003-01-21 00:00:00	2003-06-01 00:00:00	BOI	Boise Air Terminal/Gowen Field	America West	Passenger Property Loss	Checked Baggage	60.0	Luggage (all types including footlockers)	Settled	30.0	Settle
2210	0204038L	2003-02-04 00:00:00	2003-01-11 00:00:00	BOI	Boise Air Terminal/Gowen Field	America West	Passenger Property Loss	Checkpoint	200.0	Currency	Approved	200.0	Approve in Full
2856	0225087L	2003-02-25 00:00:00	2003-02-01 00:00:00	BOI	Boise Air Terminal/Gowen Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	5.0	Locks	Approved	5.0	Approve in Full
6673	0520147L	2003-05-20 00:00:00	2003-04-18 00:00:00	BOI	Boise Air Terminal/Gowen Field		Passenger Property Loss	Checked Baggage	187.0	Other	Approved	187.0	Approve in Full
6896	0522027L	2003-05-22 00:00:00	2003-04-27 00:00:00	BOI	Boise Air Terminal/Gowen Field	Frontier Airlines	Passenger Property Loss	Checked Baggage	180.0	Clothing - Shoes, belts, accessories, etc.	Approved	180.0	Approve in Full
7863	0605012L	2003-06-05 00:00:00	2003-05-12 00:00:00	BOI	Boise Air Terminal/Gowen Field	UAL	Passenger Property Loss	Checked Baggage	59.25	Other	Settled	29.63	Settle
8171	0610213L	2003-06-10 00:00:00	2003-03-28 00:00:00	BOI	Boise Air Terminal/Gowen Field	Southwest Airlines	Passenger Property Loss	Checked Baggage	785.34	Jewelry - Fine	Canceled	0.0	
8896	0618018L	2003-06-18 00:00:00	2003-05-28 00:00:00	BOI	Boise Air Terminal/Gowen Field		Passenger Property Loss	Checked Baggage	106.85	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	53.44	Settle
10540	0710031M	2003-07-10 00:00:00	2003-06-17 00:00:00	BOI	Boise Air Terminal/Gowen Field	Southwest Airlines	Passenger Property Loss	Checked Baggage	157.0	Currency	Settled	78.0	Settle
11611	0723145M	2003-07-23 00:00:00	2003-06-15 00:00:00	BOI	Boise Air Terminal/Gowen Field		Passenger Property Loss	Checked Baggage	400.0	Jewelry - Fine	Denied	0.0	Deny
11632	0723034M	2003-07-23 00:00:00	2003-06-28 00:00:00	BOI	Boise Air Terminal/Gowen Field		Passenger Property Loss	Checkpoint	450.0	Cameras - Digital	Settled	346.48	Settle
12049	0729187M	2003-07-29 00:00:00	2003-06-18 00:00:00	BOI	Boise Air Terminal/Gowen Field		Passenger Property Loss	Checked Baggage	269.0	Eyeglasses - (including contact lenses)	Settled	135.0	Settle
