id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
89	19239	2002-10-15 00:00:00	2002-09-20 00:00:00	BOS	Boston (Logan) International Airport	American Airlines	Passenger Property Loss	Checkpoint	65.0	Supplies	Approved	65.0	Approve in Full
303	0715535M	2002-11-20 00:00:00	2002-09-29 00:00:00	BOS	Boston (Logan) International Airport		Passenger Property Loss	Checkpoint	300.0	Watches & Jewelry	Approved	300.0	Approve in Full
608	0616832L	2002-12-13 00:00:00	2002-09-23 00:00:00	BOS	Boston (Logan) International Airport		Passenger Property Loss	Checkpoint	75.0	Clothing & Accessories	Approved	75.0	Approve in Full
626	19534	2002-12-13 00:00:00	2002-10-12 00:00:00	BOS	Boston (Logan) International Airport	UAL	Passenger Property Loss	Checkpoint	50.0	Clothing & Accessories	Approved	50.0	Approve in Full
660	0715526M	2002-12-13 00:00:00	2002-08-14 00:00:00	BOS	Boston (Logan) International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	1800.0	Other	Denied	0.0	Deny
720	0715525M	2002-12-16 00:00:00	2002-11-26 00:00:00	BOS	Boston (Logan) International Airport	UAL	Passenger Property Loss	Checkpoint	2500.0	Watches & Jewelry	Canceled		
1105	22795	2003-01-02 00:00:00	2002-12-08 00:00:00	BOS	Boston (Logan) International Airport	American Airlines	Passenger Property Loss	Checkpoint	110.7	Other	Settled	99.75	Settle
1400	0703505M	2003-01-14 00:00:00	2002-10-14 00:00:00	BOS	Boston (Logan) International Airport	American Airlines	Passenger Property Loss	Checkpoint	300.0	Watches & Jewelry	Denied	0.0	Deny
1651	21555	2003-01-22 00:00:00	2002-11-12 00:00:00	BOS	Boston (Logan) International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	300.0	Other	Approved	300.0	Approve in Full
1685	0616531L	2003-01-22 00:00:00	2002-12-26 00:00:00	BOS	Boston (Logan) International Airport	Continental Airlines	Passenger Property Loss	Checkpoint		Electronics	Canceled	0.0	
1704	24919	2003-01-22 00:00:00	2002-11-04 00:00:00	BOS	Boston (Logan) International Airport	America West	Passenger Property Loss	Other	275.0	Containers	Canceled		
1724	0617554L	2003-01-22 00:00:00	2002-08-03 00:00:00	BOS	Boston (Logan) International Airport	American Airlines	Passenger Property Loss	Other	359.94	Electronics	Denied	0.0	Deny
1756	0617545L	2003-01-22 00:00:00	2002-12-27 00:00:00	BOS	Boston (Logan) International Airport	American Airlines	Passenger Property Loss	Checkpoint	130.0	Clothing & Accessories	Settled	126.0	Settle
1997	22238	2003-01-29 00:00:00	2002-12-10 00:00:00	BOS	Boston (Logan) International Airport	American Airlines	Passenger Property Loss	Checkpoint	215.0	Clothing & Accessories	Canceled		
1999	0129033L-A	2003-01-29 00:00:00	2002-11-08 00:00:00	BOS	Boston (Logan) International Airport		Passenger Property Loss	Checkpoint	400.0	Containers	Closed as a contractor claim		
2035	0129056L	2003-01-29 00:00:00	2002-12-14 00:00:00	BOS	Boston (Logan) International Airport		Passenger Property Loss	Checkpoint	508.2	Electronics	Settled	278.25	Settle
2308	0206011L	2003-02-06 00:00:00	2002-12-19 00:00:00	BOS	Boston (Logan) International Airport		Passenger Property Loss	Checkpoint	100.0	Other	Approved	100.0	Approve in Full
2449	0211024L	2003-02-11 00:00:00	2002-12-19 00:00:00	BOS	Boston (Logan) International Airport		Passenger Property Loss	Checkpoint	1404.0	Electronics	Denied	0.0	Deny
2539	0212060L	2003-02-12 00:00:00	2003-11-09 00:00:00	BOS	Boston (Logan) International Airport	American Airlines	Passenger Property Loss	Checkpoint	170.0	Clothing & Accessories	Approved	170.0	Approve in Full
