id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
465	21519	2002-12-03 00:00:00	2002-11-15 00:00:00	BUF	Buffalo Niagara International	Delta Air Lines	Passenger Property Loss	Checkpoint	66.5	Watches & Jewelry	Approved	67.0	Approve in Full
1097	0616543L	2003-01-02 00:00:00	2002-12-21 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	30.0	Containers	Settled	15.0	Settle
1787	0123017L	2003-01-23 00:00:00	2003-01-05 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	200.0	Other	Approved	200.0	Approve in Full
2199	0204007L	2003-02-04 00:00:00	2003-01-03 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Property Loss	Checked Baggage	45.0	Clothing & Accessories	Approved	45.0	Approve in Full
2271	0205047L	2003-02-05 00:00:00	2003-01-12 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	43.15	Other	Approved	43.15	Approve in Full
2632	0220014L	2003-02-20 00:00:00	2003-01-06 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Approved	200.0	Approve in Full
3250	0305069L	2003-03-05 00:00:00	2003-01-06 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	149.0	Clothing & Accessories,Tools & Machines	Approved	149.0	Approve in Full
3502	0311179L	2003-03-11 00:00:00	2003-01-18 00:00:00	BUF	Buffalo Niagara International	Northwest Airlines	Passenger Property Loss	Checked Baggage	153.0	Other	Denied	0.0	Deny
3559	0311166L	2003-03-11 00:00:00	2003-01-06 00:00:00	BUF	Buffalo Niagara International	Continental Airlines	Passenger Property Loss	Checked Baggage	459.99	Electronics	Settled	148.73	Settle
3617	0313025L	2003-03-13 00:00:00	2003-01-13 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Property Loss	Checked Baggage	1195.0	Watches & Jewelry	Denied	0.0	Deny
3873	0318016L	2003-03-18 00:00:00	2003-02-22 00:00:00	BUF	Buffalo Niagara International	Jet Blue	Passenger Property Loss	Checked Baggage	240.0	Other	Settled	140.0	Settle
3923	0319015L	2003-03-19 00:00:00	2003-02-28 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Clothing & Accessories	Approved	25.0	Approve in Full
4308	0328022L	2003-03-28 00:00:00	2003-02-28 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checkpoint	7.02	Other	Approved	7.0	Approve in Full
5778	0428082L	2003-04-28 00:00:00	2003-04-16 00:00:00	BUF	Buffalo Niagara International	Northwest Airlines	Passenger Property Loss	Checked Baggage	2056.76	Electronics	Settled	1039.99	Settle
5896	0430014L	2003-04-30 00:00:00	2003-12-30 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	240.0	Clothing & Accessories	Settled	120.0	Settle
6161	0506075L	2003-05-06 00:00:00	2003-03-25 00:00:00	BUF	Buffalo Niagara International	Jet Blue	Passenger Property Loss	Checked Baggage		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
6307	0513014L	2003-05-13 00:00:00	2003-04-12 00:00:00	BUF	Buffalo Niagara International	American Airlines	Passenger Property Loss	Checked Baggage	17.22	Other	Approved	17.22	Approve in Full
6429	0514141L	2003-05-14 00:00:00	2003-03-28 00:00:00	BUF	Buffalo Niagara International	Jet Blue	Passenger Property Loss	Checked Baggage	500.0	Electronics	Approved	500.0	Approve in Full
6657	0520086L	2003-05-20 00:00:00	2003-05-01 00:00:00	BUF	Buffalo Niagara International	AirTran Airlines	Passenger Property Loss	Checked Baggage	244.26	Clothing & Accessories	Approved	244.26	Approve in Full
6697	0520237L	2003-05-20 00:00:00	2003-04-13 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	649.5	Cosmetics	Approved	649.5	Approve in Full
6842	0520117L	2003-05-20 00:00:00	2003-04-14 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	86.0	Clothing & Accessories	Settled	43.0	Settle
7235	0529105L	2003-05-29 00:00:00	2003-05-03 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	120.0	Electronics	Denied	0.0	Deny
7265	0529050L	2003-05-29 00:00:00	2003-04-15 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	70.19	Other	Settled	32.5	Settle
8938	0619042L	2003-06-19 00:00:00	2003-06-11 00:00:00	BUF	Buffalo Niagara International	AirTran Airlines	Passenger Property Loss	Checked Baggage	8.72	Other	Approved	8.72	Approve in Full
8946	0619065L	2003-06-19 00:00:00	2003-05-26 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Property Loss	Checked Baggage	231.0	Other	Approved	231.0	Approve in Full
9037	0620005M	2003-06-20 00:00:00	2003-05-30 00:00:00	BUF	Buffalo Niagara International	American Airlines	Passenger Property Loss	Checked Baggage	706.0	Other	Settled	353.0	Settle
9738	0701064M	2003-07-01 00:00:00	2003-02-04 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	1500.0	Electronics	Denied	0.0	Deny
10075	0707077M	2003-07-07 00:00:00	2003-06-20 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checkpoint	40.0	Other	Approved	40.0	Approve in Full
10207	0708080M	2003-07-08 00:00:00	2003-06-16 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	60.9	Clothing & Accessories	Approved	60.9	Approve in Full
10557	0711040M	2003-07-11 00:00:00	2003-06-07 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Property Loss	Checked Baggage	148.57	Clothing & Accessories	Approved	148.57	Approve in Full
10560	0711058M	2003-07-11 00:00:00	2003-06-18 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Property Loss	Checked Baggage	10.92	Other	Approved	10.92	Approve in Full
10682	0714132M	2003-07-14 00:00:00	2003-06-25 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	325.0	Other	Canceled		
10783	0714153M	2003-07-14 00:00:00	2003-06-25 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	7.0	Other	Settled	3.5	Settle
10835	0715195M	2003-07-15 00:00:00	2003-06-19 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checkpoint	237.0	Other	Approved	237.0	Approve in Full
11610	0723128M	2003-07-23 00:00:00	2003-07-02 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	42.32	Tools & Machines	Denied	0.0	Deny
12136	0731006M	2003-07-31 00:00:00	2003-06-30 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Approved	50.0	Approve in Full
12323	0801067M	2003-08-01 00:00:00	2003-04-12 00:00:00	BUF	Buffalo Niagara International	UAL	Passenger Property Loss	Checked Baggage	170.0	Other	Approved	170.0	Approve in Full
12467	0804058M	2003-08-04 00:00:00	2003-04-06 00:00:00	BUF	Buffalo Niagara International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1790.34	Other	Settled	895.17	Settle
12484	0805003M	2003-08-05 00:00:00	2003-05-27 00:00:00	BUF	Buffalo Niagara International	Jet Blue	Passenger Property Loss	Checkpoint	38.0	Clothing & Accessories	Approved	38.0	Approve in Full
12946	0812046M	2003-08-12 00:00:00	2003-06-10 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	57.49	Other	Approved	57.49	Approve in Full
13927	0821195M	2003-08-21 00:00:00	2003-07-20 00:00:00	BUF	Buffalo Niagara International	UAL	Passenger Property Loss	Checked Baggage	21.55	Other	Canceled		
14597	0828040M	2003-08-28 00:00:00	2003-07-14 00:00:00	BUF	Buffalo Niagara International	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Other	Denied	0.0	Deny
15078	0905063M	2003-09-05 00:00:00	2003-06-10 00:00:00	BUF	Buffalo Niagara International	Northwest Airlines	Passenger Property Loss	Checked Baggage	2.5	Other	Approved	2.5	Approve in Full
16797	0925410M	2003-09-25 00:00:00	2003-08-05 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	30.0	Other	Settled	15.0	Settle
17250	1003001M	2003-10-03 00:00:00	2003-09-12 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	32.0	Other	Settled	16.0	Settle
17981	1016049M	2003-10-16 00:00:00	2003-10-01 00:00:00	BUF	Buffalo Niagara International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Canceled		
18349	1021197M	2003-10-21 00:00:00	2003-05-30 00:00:00	BUF	Buffalo Niagara International	American Airlines	Passenger Property Loss	Checked Baggage	706.0	Other	Denied	0.0	Deny
18988	1022425M	2003-10-22 00:00:00	2003-06-27 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	45.0	Other	Settled	22.5	Settle
19324	1105114M	2003-11-05 00:00:00	2003-10-14 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
19488	1106029M	2003-11-06 00:00:00	2003-10-21 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	1500.0	Watches & Jewelry	Denied	0.0	Deny
20489	1117113M	2003-11-17 00:00:00	2001-10-31 00:00:00	BUF	Buffalo Niagara International	Northwest Airlines	Passenger Property Loss	Checked Baggage	33.55	Other	Settled	16.78	Settle
23431	1222049M	2003-12-22 00:00:00	2003-10-07 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	113.52	Other	Settled	60.0	Settle
23496	1222281M	2003-12-22 00:00:00	2003-10-25 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Property Loss	Checkpoint	100.0	Other	Settled	54.07	Settle
24241	0107611M	2004-01-07 00:00:00	2003-12-18 00:00:00	BUF	Buffalo Niagara International	American Airlines	Passenger Property Loss	Checked Baggage	267.35	Electronics	Approved	267.35	Approve in Full
25663	0129036M	2004-01-29 00:00:00	2004-01-05 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Property Loss	Checked Baggage	22.8	Other	Approved	22.8	Approve in Full
26288	0202375M	2004-02-02 00:00:00	2003-12-27 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
29928	2004050550561	2004-03-11 00:00:00	2003-12-23 00:00:00	BUF	Buffalo Niagara International	Delta Air Lines	Passenger Property Loss	Checked Baggage	120.0	Other	Approved	120.0	Approve in Full
30474	2004051150991	2004-03-15 00:00:00	2004-01-26 00:00:00	BUF	Buffalo Niagara International	Northwest Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Denied	0.0	Deny
30674	2004072660028	2004-03-18 00:00:00	2004-02-19 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checkpoint	120.0	Other	Canceled		
31212	2004053053894	2004-03-24 00:00:00	2004-02-03 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Approved	60.0	Approve in Full
31304	2004051552299	2004-03-24 00:00:00	2004-03-09 00:00:00	BUF	Buffalo Niagara International	Northwest Airlines	Passenger Property Loss	Checked Baggage	522.54	Clothing & Accessories	Denied	0.0	Deny
32836	2004052853764	2004-04-21 00:00:00	2004-03-14 00:00:00	BUF	Buffalo Niagara International	American Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
33112	2004060153925	2004-04-21 00:00:00	2004-03-21 00:00:00	BUF	Buffalo Niagara International	Continental Airlines	Passenger Property Loss	Checked Baggage	782.0	Watches & Jewelry	Denied	0.0	Deny
33400	2004060354526	2004-04-21 00:00:00	2003-02-17 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	264.0	Clothing & Accessories	Settled	158.4	Settle
34030	2004060354420	2004-05-03 00:00:00	2004-04-09 00:00:00	BUF	Buffalo Niagara International	Continental Airlines	Passenger Property Loss	Checked Baggage	2709.98	Watches & Jewelry	Settled	2159.98	Settle
35412	2004051752582	2004-05-14 00:00:00	2004-02-20 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	249.99	Electronics	Settled	125.0	Settle
37311	2004062857622	2004-06-08 00:00:00	2004-06-01 00:00:00	BUF	Buffalo Niagara International	Jet Blue	Passenger Property Loss	Checked Baggage	130.52	Clothing & Accessories	Approved	130.52	Approve in Full
38708	2004071259017	2004-06-28 00:00:00	2004-05-27 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	5.31	Other	Approved	5.31	Approve in Full
39445	2004072059827	2004-07-07 00:00:00	2004-06-25 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	955.0	Electronics	Settled	550.18	Settle
39856	2004070758672	2004-07-10 00:00:00	2004-06-04 00:00:00	BUF	Buffalo Niagara International	Delta Air Lines	Passenger Property Loss	Checked Baggage	49.0	Other	Approved	49.0	Approve in Full
40632	2004090161868	2004-07-20 00:00:00	2004-06-20 00:00:00	BUF	Buffalo Niagara International	Continental Airlines	Passenger Property Loss	Checked Baggage	1174.0	Watches & Jewelry	Denied	0.0	Deny
40809	2004082661409	2004-07-23 00:00:00	2004-06-14 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	106.63	Watches & Jewelry	Approved	106.63	Approve in Full
41006	2004080360384	2004-07-27 00:00:00	2004-06-16 00:00:00	BUF	Buffalo Niagara International	UAL	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Approved	50.0	Approve in Full
42062	2004090862353	2004-08-09 00:00:00	2004-08-02 00:00:00	BUF	Buffalo Niagara International	USAir	Passenger Property Loss	Checked Baggage	95.0	Other	Denied	0.0	Deny
42339	2004092763870	2004-08-10 00:00:00	2004-04-20 00:00:00	BUF	Buffalo Niagara International	Continental Airlines	Passenger Property Loss	Checkpoint	842.44	Other	Denied	359.2	Deny
42503	2004100564596	2004-08-11 00:00:00	2004-07-12 00:00:00	BUF	Buffalo Niagara International	Jet Blue	Passenger Property Loss	Checked Baggage	238.99	Clothing & Accessories	Settled	203.14	Settle
42511	2004091362793	2004-08-12 00:00:00	2004-06-25 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Clothing & Accessories	Approved	25.0	Approve in Full
42652	2004092363680	2004-08-13 00:00:00	2004-01-24 00:00:00	BUF	Buffalo Niagara International	Southwest Airlines	Passenger Theft	Checked Baggage	770.0	Other	Settled	385.0	Settle
42674	2004092463858	2004-08-16 00:00:00	2004-07-06 00:00:00	BUF	Buffalo Niagara International		Passenger Property Loss	Checked Baggage	35.0	Other	Approved	35.0	Approve in Full
42937	2004092964237	2004-08-19 00:00:00	2004-05-17 00:00:00	BUF	Buffalo Niagara International	Delta Air Lines	Passenger Property Loss	Checked Baggage	75.0	Other	Settled	50.0	Settle
