id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
380	28375	2002-11-25 00:00:00	2002-11-09 00:00:00	BUR	Bob Hope		Passenger Property Loss	Checkpoint	48.0	Clothing & Accessories	Approved	48.0	Approve in Full
707	20977	2002-12-16 00:00:00	2002-11-02 00:00:00	BUR	Bob Hope	American Airlines	Passenger Property Loss	Checkpoint	135.0	Other	Approved	135.0	Approve in Full
1763	0617611L	2003-01-22 00:00:00	2003-01-04 00:00:00	BUR	Bob Hope	UAL	Passenger Property Loss	Checked Baggage	210.0	Electronics	Settled	105.0	Settle
2090	0131018L	2003-01-31 00:00:00	2002-12-09 00:00:00	BUR	Bob Hope	Southwest Airlines	Passenger Property Loss	Checkpoint	238.58	Watches & Jewelry	Approved	239.0	Approve in Full
2696	0221010L	2003-02-21 00:00:00		BUR	Bob Hope		Passenger Property Loss	Checkpoint	377.16	Containers	Denied	0.0	Deny
2717	0221048L	2003-02-21 00:00:00	2003-01-11 00:00:00	BUR	Bob Hope		Passenger Property Loss	Checked Baggage	65.0	Other	Settled	32.5	Settle
4719	0408063L	2003-04-08 00:00:00	2003-03-30 00:00:00	BUR	Bob Hope	Southwest Airlines	Passenger Property Loss	Checkpoint	20.0	Other	Approved	20.0	Approve in Full
7303	0530011-L	2003-05-30 00:00:00	2003-05-06 00:00:00	BUR	Bob Hope	Alaska Airlines	Passenger Property Loss	Checked Baggage	16.0	Electronics	Canceled		
9838	0701099M	2003-07-01 00:00:00	2003-06-17 00:00:00	BUR	Bob Hope	Alaska Airlines	Passenger Property Loss	Checked Baggage	80.0	Electronics	Settled	40.0	Settle
10335	0708051M	2003-07-08 00:00:00	2003-06-19 00:00:00	BUR	Bob Hope	American Airlines	Passenger Property Loss	Checked Baggage	292.25	Cosmetics	Settled	146.22	Settle
11816	0728071M	2003-07-28 00:00:00	2003-06-29 00:00:00	BUR	Bob Hope	Alaska Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Settled	25.0	Settle
