id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
27	16759	2002-08-21 00:00:00	2002-07-12 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Southwest Airlines	Passenger Property Loss	Checkpoint	21.44	Other	Approved	21.0	Approve in Full
34	2004050550501	2002-09-11 00:00:00	2002-08-05 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall		Passenger Property Loss	Checkpoint	1200.0	Other	Denied		Deny
66	21134	2002-09-27 00:00:00	2002-08-03 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	USAir	Passenger Property Loss	Checkpoint	379.9	Clothing & Accessories	Settled	364.07	Settle
514	0702511M	2002-12-09 00:00:00	2002-10-11 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Southwest Airlines	Passenger Property Loss	Checkpoint	910.0	Watches & Jewelry	Approved	910.0	Approve in Full
649	121300ML	2002-12-13 00:00:00	2002-09-23 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Southwest Airlines	Passenger Property Loss	Checkpoint	1695.0	Clothing & Accessories	Canceled		
930	20232	2002-12-27 00:00:00	2002-10-30 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall		Passenger Property Loss	Checkpoint	140.9	Other	Approved	141.0	Approve in Full
1045	19267	2002-12-31 00:00:00	2002-10-02 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Southwest Airlines	Passenger Property Loss	Other	145.62	Supplies	Canceled		
1125	0105595M	2003-01-05 00:00:00	2003-12-15 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall		Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry	Settled	75.0	Settle
1340	0617683L	2003-01-14 00:00:00	2002-12-25 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Southwest Airlines	Passenger Property Loss	Checkpoint	241.48	Electronics	Approved	241.0	Approve in Full
1883	0127005L	2003-01-27 00:00:00	2002-12-03 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall		Passenger Property Loss	Checkpoint	400.0	Watches & Jewelry	Denied	0.0	Deny
2009	0129024L	2003-01-29 00:00:00	2002-12-24 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	America West	Passenger Property Loss	Checked Baggage	898.0	Electronics	Denied	0.0	Deny
2147	0203043L	2003-02-03 00:00:00	2002-12-01 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall		Passenger Property Loss	Checkpoint	1925.0	Watches & Jewelry	Canceled		
2472	0211017L	2003-02-11 00:00:00	2003-01-14 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Delta Air Lines	Passenger Property Loss	Checked Baggage	266.99	Electronics	Settled	134.0	Settle
2523	0212007L	2003-02-12 00:00:00	2003-01-27 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	UAL	Passenger Property Loss	Checked Baggage	75.0	Other	Approved	75.0	Approve in Full
2971	0226016L	2003-02-26 00:00:00	2003-01-08 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	USAir	Passenger Property Loss	Checked Baggage	620.36	Other	Approved	620.36	Approve in Full
3218	0304037L	2003-03-04 00:00:00	2003-02-18 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	USAir	Passenger Property Loss	Checked Baggage	700.0	Clothing & Accessories,Electronics	Settled	350.0	Settle
3335	0306030L	2003-03-06 00:00:00	2003-02-01 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Delta Air Lines	Passenger Theft	Checked Baggage	130.0	Other	Settled	65.0	Settle
3537	0311080L	2003-03-11 00:00:00	2003-02-25 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Delta Air Lines	Passenger Property Loss	Checked Baggage	354.1	Electronics	Settled	177.05	Settle
3696	0314048L	2003-03-14 00:00:00	2003-02-14 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Southwest Airlines	Passenger Property Loss	Checked Baggage	90.0	Cosmetics	Settled	45.0	Settle
3755	0317031L	2003-03-17 00:00:00	2003-02-23 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Northwest Airlines	Passenger Property Loss	Checked Baggage	698.22	Electronics	Settled	315.0	Settle
4102	0325152L	2003-03-25 00:00:00	2003-02-24 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	AirTran Airlines	Passenger Property Loss	Checked Baggage	46.0	Clothing & Accessories	Approved	46.0	Approve in Full
4118	0325024L	2003-03-25 00:00:00	2003-03-10 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Delta Air Lines	Passenger Property Loss	Checked Baggage	2940.0	Containers	Denied	0.0	Deny
4157	0325012L	2003-03-25 00:00:00	2003-01-20 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	American Airlines	Passenger Property Loss	Checked Baggage	1494.0	Other	Settled	409.6	Settle
4233	0326074L	2003-03-26 00:00:00	2003-03-04 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall		Passenger Property Loss	Checked Baggage	55.0	Clothing & Accessories	Approved	55.0	Approve in Full
4239	0326087L	2003-03-26 00:00:00	2003-01-10 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	British Airways	Passenger Property Loss	Checked Baggage	119.98	Clothing & Accessories	Approved	119.98	Approve in Full
4319	0328056L	2003-03-28 00:00:00	2003-01-04 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Southwest Airlines	Passenger Property Loss	Checked Baggage	610.0	Watches & Jewelry	Approved	610.0	Approve in Full
4321	0905812M	2003-03-28 00:00:00	2003-02-25 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	Southwest Airlines	Passenger Property Loss	Checked Baggage	7.0	Other	Approved	7.0	Approve in Full
4705	0408024L	2003-04-08 00:00:00	2003-01-12 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	American Airlines	Passenger Property Loss	Checked Baggage	52.49	Clothing & Accessories	Approved	52.49	Approve in Full
4830	0408094L	2003-04-08 00:00:00	2003-03-12 00:00:00	BWI	Baltimore/Washington Intl Thurgood Marshall	American Airlines	Passenger Property Loss	Checked Baggage	450.95	Electronics	Settled	226.0	Settle
