id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
27617	0210263M	2004-02-10 00:00:00	2003-11-22 00:00:00	BZN	Gallatin Field	Delta Air Lines	Passenger Property Loss	Checkpoint	500.0	Watches & Jewelry	Settled	250.0	Settle
30619	2004052653580	2004-03-18 00:00:00	2004-02-06 00:00:00	BZN	Gallatin Field		Passenger Property Loss	Checked Baggage	550.0	Watches & Jewelry	Approved	550.0	Approve in Full
31238	2004053053893	2004-03-24 00:00:00	2004-03-19 00:00:00	BZN	Gallatin Field		Passenger Property Loss	Checked Baggage	70.0	Clothing & Accessories	Canceled	0.0	
37188	2004070658370	2004-06-06 00:00:00	2004-05-12 00:00:00	BZN	Gallatin Field	Delta Air Lines	Passenger Property Loss	Checkpoint		Watches & Jewelry	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
40101	2004080460582	2004-07-13 00:00:00	2004-06-21 00:00:00	BZN	Gallatin Field		Passenger Property Loss	Checked Baggage	599.65	Other	Denied	0.0	Deny
40449	2004080960763	2004-07-19 00:00:00	2003-12-08 00:00:00	BZN	Gallatin Field		Passenger Property Loss	Checked Baggage	74.84	Clothing & Accessories	Approved	74.84	Approve in Full
41450	2004092263502	2004-08-03 00:00:00	2004-07-24 00:00:00	BZN	Gallatin Field		Passenger Property Loss	Checkpoint	36.0	Other	Approved	36.0	Approve in Full
41978	2004090862303	2004-08-09 00:00:00	2004-07-27 00:00:00	BZN	Gallatin Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	45.0	Other	Approved	45.0	Approve in Full
45421	2004101965160	2004-09-20 00:00:00	2004-08-24 00:00:00	BZN	Gallatin Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Denied	0.0	Deny
46298	2004111667107	2004-09-29 00:00:00	2004-09-18 00:00:00	BZN	Gallatin Field		Passenger Property Loss	Other	223.0	Other	Denied		Deny
46873	2004112167541	2004-10-06 00:00:00	2004-08-26 00:00:00	BZN	Gallatin Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	621.59	Electronics	Denied		Deny
48241	2004121469147	2004-10-26 00:00:00	2004-10-10 00:00:00	BZN	Gallatin Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
50248	2005010572867	2004-11-18 00:00:00	2004-09-28 00:00:00	BZN	Gallatin Field		Passenger Property Loss	Checked Baggage	126.0	Other	Denied	0.0	Deny
52310	2005010773164	2004-12-17 00:00:00	2004-08-17 00:00:00	BZN	Gallatin Field	Delta Air Lines	Passenger Property Loss	Checkpoint	65.0	Watches & Jewelry	Approved	65.0	Approve in Full
53093	2005011973773	2004-12-28 00:00:00	2004-11-22 00:00:00	BZN	Gallatin Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	675.0	Watches & Jewelry	Denied	0.0	Deny
53229	2005012173844	2004-12-30 00:00:00	2004-10-17 00:00:00	BZN	Gallatin Field	Skywest Airlines Inc USA	Passenger Property Loss	Checked Baggage	34.85	Other	Approved	34.85	Approve in Full
54023	2006011799630	2005-01-10 00:00:00	2005-10-14 00:00:00	BZN	Gallatin Field	Alaska Airlines	Passenger Property Loss	Checked Baggage	550.0	Electronics	Settled	139.59	Settle
57295	2005031578215	2005-02-16 00:00:00	2005-02-03 00:00:00	BZN	Gallatin Field	Northwest Airlines	Passenger Property Loss	Checkpoint	406.93	Other	Approved	406.93	Approve in Full
57463	2005031578393	2005-02-16 00:00:00	2004-12-20 00:00:00	BZN	Gallatin Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	480.0	Other	Denied	0.0	Deny
58134	2005032279235	2005-03-01 00:00:00	2005-12-23 00:00:00	BZN	Gallatin Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Settled	25.0	Settle
58282	2005032279310	2005-03-04 00:00:00	2005-02-05 00:00:00	BZN	Gallatin Field		Passenger Property Loss	Checkpoint	15.5	Other	Approved	15.5	Approve in Full
59093	2005030977351	2005-03-09 00:00:00	2005-01-11 00:00:00	BZN	Gallatin Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	640.0	Other	Settled	267.5	Settle
60982	2005040881953	2005-04-06 00:00:00	2005-02-25 00:00:00	BZN	Gallatin Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Approved	100.0	Approve in Full
61953	2005042082910	2005-04-19 00:00:00	2005-02-28 00:00:00	BZN	Gallatin Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	101.51	Other	Approved	101.51	Approve in Full
