id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
28397	2004050550514	2004-02-19 00:00:00	2004-01-04 00:00:00	CAE	Columbia Metropolitan	Continental Airlines	Passenger Property Loss	Checked Baggage	288.75	Other	Settled	144.38	Settle
42477	2004091062546	2004-08-11 00:00:00	2004-05-01 00:00:00	CAE	Columbia Metropolitan	Delta Air Lines	Passenger Property Loss	Checked Baggage	41.41	Other	Approved	41.41	Approve in Full
45093	2004103166013	2004-09-16 00:00:00	2004-08-14 00:00:00	CAE	Columbia Metropolitan		Passenger Property Loss	Checked Baggage	463.0	Electronics	Denied	0.0	Deny
48827	2004122069610	2004-11-02 00:00:00	2004-10-15 00:00:00	CAE	Columbia Metropolitan		Passenger Property Loss	Checkpoint	40.0	Watches & Jewelry	Approved	40.0	Approve in Full
51990	2005030176869	2004-12-14 00:00:00	2004-11-27 00:00:00	CAE	Columbia Metropolitan	Independence Air	Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
52316	2005010572793	2004-12-17 00:00:00	2004-11-17 00:00:00	CAE	Columbia Metropolitan		Passenger Property Loss	Checkpoint	200.0	Other	Denied	0.0	Deny
52384	2005010673148	2004-12-18 00:00:00	2004-11-03 00:00:00	CAE	Columbia Metropolitan	Delta Air Lines	Passenger Property Loss	Checked Baggage	42.0	Watches & Jewelry	Approved	42.0	Approve in Full
52747	2005011073296	2004-12-21 00:00:00	2004-12-10 00:00:00	CAE	Columbia Metropolitan	USAir	Passenger Property Loss	Checked Baggage	309.45	Other	Settled	94.85	Settle
53415	2005012574280	2005-01-04 00:00:00	2004-11-20 00:00:00	CAE	Columbia Metropolitan		Passenger Property Loss	Checked Baggage	321.39	Electronics	Approved	321.39	Approve in Full
54202	2005020275399	2005-01-11 00:00:00	2004-12-28 00:00:00	CAE	Columbia Metropolitan		Passenger Property Loss	Checkpoint	180.0	Other	Denied	0.0	Deny
54760	2005020175232	2005-01-18 00:00:00	2004-12-10 00:00:00	CAE	Columbia Metropolitan	US Express	Passenger Property Loss	Checked Baggage	730.0	Clothing & Accessories	Denied		Deny
61398	2005041282321	2005-04-12 00:00:00	2005-03-13 00:00:00	CAE	Columbia Metropolitan	USAir	Passenger Property Loss	Checked Baggage	25.0	Clothing & Accessories	Approved	25.0	Approve in Full
61403	2005041282331	2005-04-12 00:00:00	2005-03-21 00:00:00	CAE	Columbia Metropolitan	Northwest Airlines	Passenger Property Loss	Checked Baggage	31.0	Other	Approved	31.0	Approve in Full
64798	2005060385764	2005-05-31 00:00:00	2005-05-15 00:00:00	CAE	Columbia Metropolitan	Delta Air Lines	Passenger Property Loss	Checked Baggage	88.65	Clothing & Accessories	Approved	88.65	Approve in Full
64872	2005060385782	2005-05-31 00:00:00	2005-04-11 00:00:00	CAE	Columbia Metropolitan	Independence Air	Passenger Property Loss	Checked Baggage	225.0	Watches & Jewelry	Canceled	0.0	
65096	2005061086189	2005-05-31 00:00:00	2005-05-14 00:00:00	CAE	Columbia Metropolitan	Delta Air Lines	Passenger Property Loss	Checked Baggage	60.0	Other	Settled	30.0	Settle
65996	2005062386969	2005-06-13 00:00:00	2005-05-25 00:00:00	CAE	Columbia Metropolitan	Delta Air Lines	Passenger Property Loss	Checked Baggage	25.0	Tools & Machines	Approved	25.0	Approve in Full
67582	2005071188619	2005-07-06 00:00:00	2005-06-12 00:00:00	CAE	Columbia Metropolitan	Delta Air Lines	Passenger Property Loss	Checked Baggage	526.82	Clothing & Accessories	Settled	344.19	Settle
68365	2005072189405	2005-07-20 00:00:00	2005-06-29 00:00:00	CAE	Columbia Metropolitan		Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Approved	20.0	Approve in Full
68577	2005072589639	2005-07-22 00:00:00	2005-07-12 00:00:00	CAE	Columbia Metropolitan	UAL	Passenger Property Loss	Checked Baggage	42.0	Clothing & Accessories	Approved	42.0	Approve in Full
69275	2005081290449	2005-08-02 00:00:00	2005-07-17 00:00:00	CAE	Columbia Metropolitan	Delta Air Lines	Passenger Property Loss	Checked Baggage	18.95	Tools & Machines	Approved	18.95	Approve in Full
