id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
6	2005032479636	2002-02-18 00:00:00	2005-02-17 00:00:00	CAK	Akron-Canton Regional	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	459.01	Other	Other	Settled	227.0	Settle
5686	0428063L	2003-04-28 00:00:00	2003-04-12 00:00:00	CAK	Akron-Canton Regional		Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry	Jewelry - Fine	Approved	150.0	Approve in Full
6667	0520120L	2003-05-20 00:00:00	2003-05-09 00:00:00	CAK	Akron-Canton Regional		Passenger Property Loss	Checked Baggage	138.95	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	138.95	Approve in Full
8773	0617061L	2003-06-17 00:00:00	2003-06-04 00:00:00	CAK	Akron-Canton Regional		Passenger Property Loss	Checked Baggage	35.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	17.5	Settle
10897	0715057M	2003-07-15 00:00:00	2003-06-22 00:00:00	CAK	Akron-Canton Regional	UAL	Passenger Property Loss	Checked Baggage	366.02	Electronics	DVD/CD Players	Denied	0.0	Deny
11774	0728026M	2003-07-28 00:00:00	2003-07-20 00:00:00	CAK	Akron-Canton Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
32281	2004051752602	2004-04-06 00:00:00	2004-03-03 00:00:00	CAK	Akron-Canton Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	542.0	Other	Other	Settled	209.0	Settle
33382	2004060354465	2004-04-21 00:00:00	2004-04-05 00:00:00	CAK	Akron-Canton Regional		Passenger Property Loss	Checked Baggage	36.0	Other	Other	Settled	18.0	Settle
35840	2004061956359	2004-05-26 00:00:00	2004-05-07 00:00:00	CAK	Akron-Canton Regional	AirTran Airlines	Passenger Property Loss	Checked Baggage	600.0	Other	Other	Settled	125.0	Settle
37905	2004070658502	2004-06-16 00:00:00	2004-05-05 00:00:00	CAK	Akron-Canton Regional	USAir	Passenger Property Loss	Checked Baggage	80.0	Electronics	Cameras - Digital	Approved	80.0	Approve in Full
38442	2004071559520	2004-06-22 00:00:00	2004-06-14 00:00:00	CAK	Akron-Canton Regional	UAL	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Locks	Approved	10.0	Approve in Full
39815	2004080360492	2004-07-09 00:00:00	2004-05-29 00:00:00	CAK	Akron-Canton Regional	AirTran Airlines	Passenger Property Loss	Checked Baggage	225.88	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	112.94	Settle
43576	2004092063199	2004-08-30 00:00:00	2004-08-06 00:00:00	CAK	Akron-Canton Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	1439.1	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
43632	2004100564584	2004-08-31 00:00:00	2004-07-30 00:00:00	CAK	Akron-Canton Regional		Passenger Property Loss	Checked Baggage	11.44	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	11.44	Approve in Full
