id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
43597	2004090962434	2004-08-31 00:00:00	2004-05-09 00:00:00	CHO	Charlottesville / Albemarle	USAir	Passenger Property Loss	Checkpoint	250.0	Watches & Jewelry	Jewelry - Fine	Approved	250.0	Approve in Full
44328	2004110266127	2004-09-09 00:00:00	2004-08-17 00:00:00	CHO	Charlottesville / Albemarle	American Airlines	Passenger Property Loss	Checkpoint	1200.0	Electronics	Cameras - Digital	Denied		Deny
44368	2004101364872	2004-09-09 00:00:00	2003-12-29 00:00:00	CHO	Charlottesville / Albemarle		Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Jewelry - Fine	Settled	158.69	Settle
44817	2004092763891	2004-09-14 00:00:00	2004-07-09 00:00:00	CHO	Charlottesville / Albemarle		Passenger Property Loss	Checkpoint	950.0	Watches & Jewelry	Jewelry - Fine	Settled	204.31	Settle
46598	2004111967398	2004-10-05 00:00:00	2004-08-15 00:00:00	CHO	Charlottesville / Albemarle	USAir	Passenger Property Loss	Checked Baggage	39.95	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	39.95	Approve in Full
49148	2004122069397	2004-11-04 00:00:00	2004-10-08 00:00:00	CHO	Charlottesville / Albemarle	USAir	Passenger Property Loss	Checked Baggage	86.0	Other	Currency	Denied	0.0	Deny
53968	2005012774627	2005-01-10 00:00:00	2004-12-27 00:00:00	CHO	Charlottesville / Albemarle		Passenger Property Loss	Checked Baggage	300.0	Electronics	Cameras - Digital	Denied	0.0	Deny
56451	2005030877198	2005-02-04 00:00:00	2005-01-26 00:00:00	CHO	Charlottesville / Albemarle	Northwest Airlines	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Locks	Approved	20.0	Approve in Full
62587	2005042783482	2005-04-26 00:00:00	2005-04-14 00:00:00	CHO	Charlottesville / Albemarle	Northwest Airlines	Passenger Property Loss	Other	74.87	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
62707	2005042983681	2005-04-27 00:00:00	2005-03-30 00:00:00	CHO	Charlottesville / Albemarle	UAL	Passenger Property Loss	Checked Baggage	801.51	Electronics	Cameras - Digital	Denied	0.0	Deny
