id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
66960	2005070188105	2005-06-27 00:00:00	2005-06-09 00:00:00	CIC	Chico Municipal	US Express	Passenger Property Loss	Checked Baggage	342.51	Cameras - Digital	Denied	0.0	Deny
72215	2005093093538	2005-09-19 00:00:00	2005-08-25 00:00:00	CIC	Chico Municipal	US Express	Passenger Property Loss	Checked Baggage	12.0	Locks	Approved	12.0	Approve in Full
77732	2006010598859	2005-12-28 00:00:00	2005-11-11 00:00:00	CIC	Chico Municipal	UAL	Passenger Property Loss	Checked Baggage	800.0	Jewelry - Fine	Denied	0.0	Deny
81907	2006031403067	2006-03-09 00:00:00	2005-06-30 00:00:00	CIC	Chico Municipal	UAL	Passenger Property Loss	Checked Baggage	10.0	Locks	Approved	10.0	Approve in Full
88643	2006072109879	2006-07-19 00:00:00	2006-05-05 00:00:00	CIC	Chico Municipal	UAL	Passenger Property Loss	Checked Baggage	705.0	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*Toys (game systems, cartridges, radio controlled cars, etc.)	Denied	0.0	Deny
102008	2007033023268	2007-03-28 00:00:00	2006-11-24 00:00:00	CIC	Chico Municipal	UAL	Passenger Property Loss	Checked Baggage	430.0	Dental Equipment and Instruments	Denied	0.0	Deny
126468	2008080748188	2008-08-05 00:00:00	2007-06-07 00:00:00	CIC	Chico Municipal	UAL	Passenger Property Loss	Checked Baggage	400.0	Watches - Expensive more than $100	Denied	0.0	Deny
130195	2008110652020	2008-11-03 00:00:00	2008-10-15 00:00:00	CIC	Chico Municipal	UAL	Passenger Property Loss	Checked Baggage	400.0	Cameras - Digital*Eyeglasses - (including contact lenses)	Denied	0.0	Deny
131143	2008120152972	2008-11-28 00:00:00	2008-11-03 00:00:00	CIC	Chico Municipal	UAL	Passenger Property Loss	Checked Baggage	407.53	GPS - Global Positioning System	Denied	0.0	Deny
180216	2013060704031	2013-04-26 00:00:00	2013-03-19 00:00:00	CIC	Chico Municipal	UAL	Passenger Property Loss	Checked Baggage		Other			
