id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
1093	0617689L	2003-01-02 00:00:00	2002-12-07 00:00:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage	4338.84	Electronics	DVD/CD Players	Denied	0.0	Deny
51063	2004122971533	2004-12-02 00:00:00	2004-10-31 00:00:00	CLL	Easterwood/College Station, TX	Continental Airlines	Passenger Property Loss	Checked Baggage	325.67	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	325.67	Approve in Full
55720	2005022276597	2005-01-27 00:00:00	2004-12-19 00:00:00	CLL	Easterwood/College Station, TX		Passenger Property Loss	Checked Baggage	3.95	Tools & Machines	Locks	Approved	3.95	Approve in Full
67687	2005071188638	2005-07-08 00:00:00	2005-06-17 00:00:00	CLL	Easterwood/College Station, TX		Passenger Property Loss	Checked Baggage	47.63	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
72387	2005100393748	2005-09-20 00:00:00	2005-08-17 00:00:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage	9.73	Tools & Machines	Locks	Approved	9.73	Approve in Full
110819	2007091832179	2007-09-17 00:00:00	2007-08-20 00:00:00	CLL	Easterwood/College Station, TX	Continental Airlines	Passenger Property Loss	Checkpoint	270.61	Electronics	MP3 Players-(iPods, etc)	Denied	0.0	Deny
113337	2007111635107	2007-11-06 00:00:00	2007-10-15 00:00:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage	200.0	Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
114514	2007120436007	2007-11-30 00:00:00	2007-11-16 00:00:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage	216.48	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
131869	2008122353734	2008-12-17 00:00:00	2008-12-07 00:00:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage	1268.47	Outdoors Supplies	Sporting Equipment & Supplies (footballs, parachutes, etc.)	Denied	0.0	Deny
132412	2009010954302	2009-01-05 00:00:00	2008-12-06 00:00:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage	132.48	Supplies	Pet Supplies (food/water dish, kennel, cage, leash, collar, etc.)	Approved	132.48	Approve in Full
144742	2009122366768	2009-12-17 00:00:00	2009-12-08 06:08:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage	30.0	Tools & Machines	Locks	Approved	30.0	Approve in Full
146785	2010032269816	2010-03-17 00:00:00	2010-03-14 00:00:00	CLL	Easterwood/College Station, TX	Continental Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		80.0	Approve in Full
153280	2010100676726	2010-09-28 00:00:00	2010-07-09 09:32:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage		Electronics	Computer & Accessories			
157913	2011032881412	2011-03-01 00:00:00	2011-01-28 15:33:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming		21.77	Settle
158170	2011022880618	2011-03-09 00:00:00	2011-01-28 00:00:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		43.54	Approve in Full
165255	2011120789412	2011-10-27 00:00:00	2011-10-11 11:00:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage		Outdoors Supplies,Watches & Jewelry	Hunting & Fishing Items*Jewelry & Watches		0.0	Deny
166488	2012020890776	2011-12-12 00:00:00	2011-12-05 00:00:00	CLL	Easterwood/College Station, TX	Continental Airlines	Passenger Property Loss	Checked Baggage		Other	Other		0.0	Deny
166529	2012011190115	2011-12-13 00:00:00	2011-10-08 07:20:00	CLL	Easterwood/College Station, TX	Continental Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
185093	2013110708823	2013-10-23 00:00:00	2013-10-11 09:42:00	CLL	Easterwood/College Station, TX	UAL	Passenger Property Loss	Checkpoint		Other	Other		0.0	Deny
186226	2013121310055	2013-12-09 00:00:00	2013-12-06 14:00:00	CLL	Easterwood/College Station, TX	UAL	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories			
188175	2014022411945	2014-02-18 00:00:00	2014-02-07 00:00:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage		Scientific Intruments	Medical/Science		0.0	Deny
191677	2014073115522	2014-07-15 00:00:00	2014-07-10 00:00:00	CLL	Easterwood/College Station, TX	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories,Cosmetics	Clothing*Cosmetics & Grooming		0.0	Deny
196767	2015102026123	2015-09-28 00:00:00	2015-09-17 00:00:00	CLL	Easterwood/College Station, TX	UAL	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
