id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1721	0616647L	2003-01-22 00:00:00	2002-12-06 00:00:00	CLT	Charlotte/Douglas International Airport	USAir	Passenger Property Loss	Checkpoint	190.29	Clothing & Accessories	Denied	0.0	Deny
2083	0131000L	2003-01-31 00:00:00	2002-09-10 00:00:00	CLT	Charlotte/Douglas International Airport	USAir	Passenger Property Loss	Checkpoint	954.0	Electronics	Approved	954.0	Approve in Full
4566	0402052L	2003-04-02 00:00:00	2003-03-03 00:00:00	CLT	Charlotte/Douglas International Airport		Passenger Property Loss	Checkpoint	600.0	Watches & Jewelry	Denied	0.0	Deny
4840	0408135L	2003-04-08 00:00:00	2003-02-18 00:00:00	CLT	Charlotte/Douglas International Airport	USAir	Passenger Property Loss	Checked Baggage	100.0	Watches & Jewelry	Settled	50.0	Settle
6325	0513078L	2003-05-13 00:00:00	2003-02-03 00:00:00	CLT	Charlotte/Douglas International Airport	USAir	Passenger Property Loss	Checked Baggage	299.97	Electronics	Approved	299.97	Approve in Full
6554	0514165L	2003-05-14 00:00:00	2003-01-09 00:00:00	CLT	Charlotte/Douglas International Airport	USAir	Passenger Property Loss	Checked Baggage	3540.0	Electronics	Settled	1701.7	Settle
7156	0528106L	2003-05-28 00:00:00	2003-01-20 00:00:00	CLT	Charlotte/Douglas International Airport	USAir	Passenger Property Loss	Checked Baggage	115.0	Watches & Jewelry	Settled	57.5	Settle
7447	0603062L	2003-06-03 00:00:00	2003-04-22 00:00:00	CLT	Charlotte/Douglas International Airport	USAir	Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
8121	0610109L	2003-06-10 00:00:00	2003-05-27 00:00:00	CLT	Charlotte/Douglas International Airport		Passenger Property Loss	Checked Baggage	17.09	Other	Approved	17.09	Approve in Full
8733	0617088L	2003-06-17 00:00:00	2003-05-16 00:00:00	CLT	Charlotte/Douglas International Airport		Passenger Property Loss	Checked Baggage	148.0	Containers	Denied	0.0	Deny
8810	0617162L	2003-06-17 00:00:00	2003-05-27 00:00:00	CLT	Charlotte/Douglas International Airport		Passenger Property Loss	Checked Baggage	87.6	Electronics	Settled	44.0	Settle
9561	0627026M	2003-06-27 00:00:00	2003-06-16 00:00:00	CLT	Charlotte/Douglas International Airport	USAir	Passenger Property Loss	Checked Baggage	90.0	Clothing & Accessories	Approved	90.0	Approve in Full
9655	0701016M	2003-07-01 00:00:00	2003-06-12 00:00:00	CLT	Charlotte/Douglas International Airport	USAir	Passenger Property Loss	Checked Baggage	426.94	Other	Approved	426.94	Approve in Full
9918	0702028M	2003-07-02 00:00:00	2003-03-09 00:00:00	CLT	Charlotte/Douglas International Airport		Passenger Property Loss	Checked Baggage	17850.0	Watches & Jewelry	Denied	0.0	Deny
10224	0708127M	2003-07-08 00:00:00	2003-06-16 00:00:00	CLT	Charlotte/Douglas International Airport	America Trans Air	Passenger Property Loss	Checked Baggage	37.5	Clothing & Accessories	Approved	37.5	Approve in Full
