id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
119	0315800N	2002-10-23 00:00:00	2002-07-31 00:00:00	CMH	Port Columbus International		Passenger Property Loss	Checkpoint	2.5	Other	Canceled		
1835	28780	2003-01-24 00:00:00	2002-10-19 00:00:00	CMH	Port Columbus International	Southwest Airlines	Passenger Property Loss	Other	6500.0	Watches & Jewelry	Settled	1000.0	Settle
1843	0127018L	2003-01-27 00:00:00	2003-01-12 00:00:00	CMH	Port Columbus International		Passenger Property Loss	Checkpoint	125.0	Clothing & Accessories	Approved	125.0	Approve in Full
1878	0127030L	2003-01-27 00:00:00	2002-08-18 00:00:00	CMH	Port Columbus International		Passenger Property Loss	Checked Baggage	172.0	Tools & Machines	Closed as a contractor claim		
4615	0402096L	2003-04-02 00:00:00	2003-03-20 00:00:00	CMH	Port Columbus International		Passenger Property Loss	Checked Baggage	37.19	Cosmetics	Settled	18.6	Settle
10535	0710018M	2003-07-10 00:00:00	2003-06-22 00:00:00	CMH	Port Columbus International	Northwest Airlines	Passenger Property Loss	Checked Baggage	80.0	Other	Settled	40.0	Settle
10851	0715242M	2003-07-15 00:00:00	2003-06-12 00:00:00	CMH	Port Columbus International	USAir	Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Approved	100.0	Approve in Full
11901	0729225M	2003-07-29 00:00:00	2003-07-19 00:00:00	CMH	Port Columbus International		Passenger Property Loss	Checkpoint		Containers	Canceled		
12543	0805088M	2003-08-05 00:00:00	2003-06-25 00:00:00	CMH	Port Columbus International		Passenger Property Loss	Checkpoint	3000.0	Electronics	Denied	0.0	Deny
13225	0814026M	2003-08-14 00:00:00	2003-07-21 00:00:00	CMH	Port Columbus International	Northwest Airlines	Passenger Property Loss	Checked Baggage	56.7	Clothing & Accessories	Approved	56.7	Approve in Full
13662	0818067M	2003-08-18 00:00:00	2003-05-26 00:00:00	CMH	Port Columbus International	America West	Passenger Property Loss	Checked Baggage	262.58	Electronics	Settled	196.36	Settle
13821	0819156M	2003-08-19 00:00:00	2003-08-11 00:00:00	CMH	Port Columbus International		Passenger Property Loss	Checked Baggage	90.0	Other	Settled	45.0	Settle
14050	0821173M	2003-08-21 00:00:00	2003-08-01 00:00:00	CMH	Port Columbus International		Passenger Property Loss	Checked Baggage	320.0	Other	Settled	150.0	Settle
17728	1009204M	2003-10-09 00:00:00	2003-08-29 00:00:00	CMH	Port Columbus International	UAL	Passenger Property Loss	Checked Baggage	851.0	Clothing & Accessories	Denied	0.0	Deny
21906	1205197M	2003-12-05 00:00:00	2003-10-04 00:00:00	CMH	Port Columbus International	USAir	Passenger Property Loss	Checked Baggage	106.74	Electronics	Settled	53.37	Settle
22099	1208172M	2003-12-08 00:00:00	2003-11-28 00:00:00	CMH	Port Columbus International	American Airlines	Passenger Property Loss	Checked Baggage	350.0	Electronics	Approved	350.0	Approve in Full
22622	1217306M	2003-12-17 00:00:00	2003-10-28 00:00:00	CMH	Port Columbus International	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Approved	50.0	Approve in Full
24512	0107301M	2004-01-07 00:00:00	2003-12-25 00:00:00	CMH	Port Columbus International		Passenger Property Loss	Other	25.0	Other	Settled	12.5	Settle
24798	0114562M	2004-01-14 00:00:00	2003-12-28 00:00:00	CMH	Port Columbus International	America West	Passenger Property Loss	Checkpoint	675.0	Electronics	Canceled		
25619	0120158M	2004-01-20 00:00:00	2003-12-30 00:00:00	CMH	Port Columbus International	Delta Air Lines	Passenger Property Loss	Checked Baggage	107.42	Other	Settled	53.76	Settle
27242	0205079M	2004-02-05 00:00:00	2003-12-18 00:00:00	CMH	Port Columbus International	Delta Air Lines	Passenger Property Loss	Checked Baggage	167.58	Other	Settled	83.79	Settle
27305	0212012M	2004-02-05 00:00:00	2004-01-09 00:00:00	CMH	Port Columbus International	Northwest Airlines	Passenger Property Loss	Checked Baggage	1500.0	Electronics	Settled	164.39	Settle
28156	2005020375625	2004-02-19 00:00:00	2004-01-09 00:00:00	CMH	Port Columbus International	Northwest Airlines	Passenger Property Loss	Checked Baggage	1500.0	Electronics	Canceled	0.0	
28681	0308800M	2004-02-24 00:00:00	2004-02-08 00:00:00	CMH	Port Columbus International		Passenger Property Loss	Checkpoint	25.0	Other	Denied	25.0	Deny
30004	2004060254236	2004-03-11 00:00:00	2004-02-23 00:00:00	CMH	Port Columbus International	Delta Air Lines	Passenger Property Loss	Checkpoint	64.09	Clothing & Accessories	Approved	64.09	Approve in Full
31446	2004052453253	2004-03-24 00:00:00	2004-02-22 00:00:00	CMH	Port Columbus International	Delta Air Lines	Passenger Property Loss	Checked Baggage	454.02	Electronics	Settled	227.01	Settle
