id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
4793	0408137L	2003-04-08 00:00:00	2003-03-10 00:00:00	CRP	Corpus Christi International	Continental Airlines	Passenger Property Loss	Checked Baggage	940.44	Electronics	Denied	940.44	Deny
23780	0105132M	2004-01-05 00:00:00	2003-10-09 00:00:00	CRP	Corpus Christi International		Passenger Property Loss	Checkpoint	2500.0	Watches & Jewelry	Denied	0.0	Deny
24102	0107056M	2004-01-07 00:00:00	2003-10-21 00:00:00	CRP	Corpus Christi International		Passenger Property Loss	Checked Baggage	140.67	Containers	Approved	140.67	Approve in Full
36609	2004070658518	2004-05-28 00:00:00	2004-03-12 00:00:00	CRP	Corpus Christi International	Southwest Airlines	Passenger Property Loss	Checked Baggage	900.0	Watches & Jewelry	Denied	0.0	Deny
36908	2004062357205	2004-06-03 00:00:00	2004-05-13 00:00:00	CRP	Corpus Christi International		Passenger Property Loss	Checked Baggage	290.0	Clothing & Accessories	Denied	0.0	Deny
39833	2004081161099	2004-07-09 00:00:00	2004-07-11 00:00:00	CRP	Corpus Christi International	Southwest Airlines	Passenger Theft	Checked Baggage	105.0	Other	Settled	50.0	Settle
40685	2004081061033	2004-07-20 00:00:00	2004-06-19 00:00:00	CRP	Corpus Christi International	Continental Airlines	Passenger Property Loss	Checked Baggage	393.42	Electronics	Settled	177.08	Settle
42110	2004090862296	2004-08-09 00:00:00	2004-06-11 00:00:00	CRP	Corpus Christi International		Passenger Property Loss	Checkpoint	253.25	Other	Settled	140.68	Settle
46154	2004110966793	2004-09-29 00:00:00	2004-08-21 00:00:00	CRP	Corpus Christi International	Continental Airlines	Passenger Property Loss	Checked Baggage	20.0	Other	Approved	20.0	Approve in Full
49417	2004122871192	2004-11-08 00:00:00	2004-10-23 00:00:00	CRP	Corpus Christi International	Continental Airlines	Passenger Property Loss	Checked Baggage	80.0	Clothing & Accessories	Approved	80.0	Approve in Full
49459	2004122971716	2004-11-08 00:00:00	2004-10-17 00:00:00	CRP	Corpus Christi International	Continental Airlines	Passenger Property Loss	Checked Baggage	443.64	Watches & Jewelry	Denied		Deny
50142	2004122871134	2004-11-18 00:00:00	2004-10-31 00:00:00	CRP	Corpus Christi International	Southwest Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
50596	2004122871269	2004-11-23 00:00:00	2004-09-14 00:00:00	CRP	Corpus Christi International	Southwest Airlines	Passenger Property Loss	Checked Baggage	900.0	Watches & Jewelry	Denied	0.0	Deny
