id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
621	18922	2002-12-13 00:00:00	2002-09-22 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checkpoint	203.52	Eyeglasses - (including contact lenses)	Approved	204.0	Approve in Full
794	0714560M	2002-12-18 00:00:00	2002-10-24 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checkpoint	55.0	Other	Denied	0.0	Deny
1828	26063	2003-01-24 00:00:00	2002-12-31 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	184.0	Other	Denied	0.0	Deny
2980	0226040L	2003-02-26 00:00:00	2003-01-24 00:00:00	CVG	Cincinnati/Northern Kentucky International	UAL	Passenger Property Loss	Checked Baggage	490.95	Eyeglasses - (including contact lenses)	Approved	490.95	Approve in Full
3453	0311005L	2003-03-11 00:00:00	2002-12-24 00:00:00	CVG	Cincinnati/Northern Kentucky International		Passenger Property Loss	Checked Baggage	180.0	Jewelry - Fine	Denied	0.0	Deny
3844	0318107L	2003-03-18 00:00:00	2002-11-29 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	4000.0	Other	Denied	0.0	Deny
3949	0319018L	2003-03-19 00:00:00	2003-03-05 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1190.65	Other	Settled	809.0	Settle
4976	0411011L	2003-04-11 00:00:00	2003-02-23 00:00:00	CVG	Cincinnati/Northern Kentucky International	Continental Airlines	Passenger Property Loss	Checked Baggage	91.5	Other	Approved	90.0	Approve in Full
4989	0411004L	2003-04-11 00:00:00	2003-02-19 00:00:00	CVG	Cincinnati/Northern Kentucky International		Passenger Property Loss	Checked Baggage	1400.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
5366	0421017L	2003-04-21 00:00:00	2003-03-16 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checkpoint	147.5	Other	Denied	0.0	Deny
5446	0422100L	2003-04-22 00:00:00	2003-03-19 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	18.25	Other	Approved	18.25	Approve in Full
5531	0422041L	2003-04-22 00:00:00	2003-03-22 00:00:00	CVG	Cincinnati/Northern Kentucky International		Passenger Property Loss	Checked Baggage	115.0	Jewelry - Fine	Settled	65.0	Settle
5758	0428009L	2003-04-28 00:00:00	2003-04-01 00:00:00	CVG	Cincinnati/Northern Kentucky International		Passenger Property Loss	Checked Baggage	12.75	Luggage (all types including footlockers)	Settled	6.38	Settle
5921	0501001L	2003-05-01 00:00:00	2003-04-12 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	373.35	Clothing - Shoes, belts, accessories, etc.	Settled	186.68	Settle
7819	0605042L	2003-06-05 00:00:00	2003-05-16 00:00:00	CVG	Cincinnati/Northern Kentucky International		Passenger Property Loss	Checked Baggage	115.5	Clothing - Shoes, belts, accessories, etc.	Approved	115.5	Approve in Full
8146	0610186L	2003-06-10 00:00:00	2003-05-31 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	17.98	Clothing - Shoes, belts, accessories, etc.	Approved	17.98	Approve in Full
8321	0611002L	2003-06-11 00:00:00	2003-04-21 00:00:00	CVG	Cincinnati/Northern Kentucky International		Passenger Property Loss	Checked Baggage	259.0	Other	Approved	259.0	Approve in Full
8383	0612023L	2003-06-12 00:00:00	2003-05-09 00:00:00	CVG	Cincinnati/Northern Kentucky International	Northwest Airlines	Passenger Property Loss	Checked Baggage	35.8	Other	Approved	35.8	Approve in Full
8536	0616088L	2003-06-16 00:00:00	2003-06-07 00:00:00	CVG	Cincinnati/Northern Kentucky International		Passenger Property Loss	Checkpoint	150.0	Other	Canceled	0.0	
8673	0617118L	2003-06-17 00:00:00	2003-06-04 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	115.0	Clothing - Shoes, belts, accessories, etc.	Approved	115.0	Approve in Full
8685	0617147L	2003-06-17 00:00:00	2003-06-08 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	20.0	Luggage (all types including footlockers)	Approved	20.0	Approve in Full
9033	0620036M	2003-06-20 00:00:00	2003-05-27 00:00:00	CVG	Cincinnati/Northern Kentucky International	Continental Airlines	Passenger Property Loss	Checked Baggage	90.0	Other	Denied	0.0	Deny
9589	0627007M	2003-06-27 00:00:00	2003-03-21 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1572.0	Cameras - Digital	Settled	393.0	Settle
10088	0707114M	2003-07-07 00:00:00	2003-06-30 00:00:00	CVG	Cincinnati/Northern Kentucky International	USAir	Passenger Property Loss	Checked Baggage	119.16	Other	Approved	119.16	Approve in Full
10093	0707038M	2003-07-07 00:00:00	2003-06-25 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	122.28	Other	Canceled		
10126	0707112M	2003-07-07 00:00:00	2003-04-07 00:00:00	CVG	Cincinnati/Northern Kentucky International		Passenger Property Loss	Checked Baggage	99.0	Other	Denied	0.0	Deny
10185	0708026M	2003-07-08 00:00:00	2003-06-07 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	172.99	Clothing - Shoes, belts, accessories, etc.	Approved	172.99	Approve in Full
10248	0708000M	2003-07-08 00:00:00	2003-04-22 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	85.0	Clothing - Shoes, belts, accessories, etc.	Canceled		
10250	0708074M	2003-07-08 00:00:00	2003-03-27 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checkpoint	3085.1	Luggage (all types including footlockers)	Canceled	0.0	
10581	0711027M	2003-07-11 00:00:00	2003-06-29 00:00:00	CVG	Cincinnati/Northern Kentucky International		Passenger Property Loss	Checkpoint	10.0	Currency	Denied	0.0	Deny
10812	0715105M	2003-07-15 00:00:00	2003-04-28 00:00:00	CVG	Cincinnati/Northern Kentucky International	Delta Air Lines	Passenger Property Loss	Checked Baggage	74.0	Other	Approved	74.0	Approve in Full
