id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
2371	0210000L	2003-02-10 00:00:00	2003-01-02 00:00:00	DAL	Dallas Love Field		Passenger Property Loss	Checked Baggage	213.28	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
22047	2004072660027	2003-12-05 00:00:00	2003-09-21 00:00:00	DAL	Dallas Love Field	Southwest Airlines	Passenger Property Loss	Checked Baggage	60.0	Other	Currency	Settled	30.0	Settle
22658	1217460M	2003-12-17 00:00:00	2003-10-19 00:00:00	DAL	Dallas Love Field	Southwest Airlines	Passenger Property Loss	Checked Baggage	1840.25	Watches & Jewelry	Jewelry - Fine	Approved	1840.25	Approve in Full
23274	1222259M	2003-12-22 00:00:00	2003-11-24 00:00:00	DAL	Dallas Love Field		Passenger Property Loss	Checked Baggage	89.65	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	0.0	Approve in Full
25195	0114668M	2004-01-14 00:00:00	2003-12-21 00:00:00	DAL	Dallas Love Field	Southwest Airlines	Passenger Property Loss	Checkpoint	350.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	175.0	Settle
28911	0226151M	2004-02-26 00:00:00	2003-12-16 00:00:00	DAL	Dallas Love Field		Passenger Property Loss	Checkpoint	275.21	Other	Other	Denied	0.0	Deny
29377	2004052653495	2004-03-05 00:00:00	2004-02-25 00:00:00	DAL	Dallas Love Field		Passenger Property Loss	Checkpoint	59.0	Other	Other	Canceled		
29956	2004051050855	2004-03-11 00:00:00	2004-01-04 00:00:00	DAL	Dallas Love Field		Passenger Property Loss	Checked Baggage	50.0	Other	Currency	Approved	50.0	Approve in Full
33082	2004052753703	2004-04-21 00:00:00	2004-01-10 00:00:00	DAL	Dallas Love Field	American Airlines	Passenger Property Loss	Checked Baggage	1395.0	Other	Other	Denied	1395.0	Deny
33176	2004060354514	2004-04-21 00:00:00	2003-04-02 00:00:00	DAL	Dallas Love Field	Southwest Airlines	Passenger Property Loss	Checked Baggage	220.0	Other	Other	Denied	0.0	Deny
33304	2004052853797	2004-04-21 00:00:00	2004-03-10 00:00:00	DAL	Dallas Love Field	Southwest Airlines	Passenger Property Loss	Checked Baggage	388.58	Electronics	Cameras - Digital	Settled	194.29	Settle
34811	2004060955170	2004-05-10 00:00:00	2004-04-24 00:00:00	DAL	Dallas Love Field	Southwest Airlines	Passenger Property Loss	Checked Baggage	8.99	Other	Other	Approved	8.99	Approve in Full
35170	2004061756068	2004-05-13 00:00:00	2004-04-07 00:00:00	DAL	Dallas Love Field	America West	Passenger Property Loss	Checked Baggage	11.96	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	11.96	Approve in Full
35356	2004061656015	2004-05-13 00:00:00	2004-05-04 00:00:00	DAL	Dallas Love Field		Passenger Property Loss	Checked Baggage	40.0	Other	Other	Settled	20.0	Settle
35360	2004061756078	2004-05-13 00:00:00	2004-04-28 00:00:00	DAL	Dallas Love Field		Passenger Property Loss	Checked Baggage	21.44	Other	Other	Settled	11.0	Settle
35547	2004061856289	2004-05-19 00:00:00	2004-04-18 00:00:00	DAL	Dallas Love Field	Southwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Supplies	Medicines	Approved	300.0	Approve in Full
