id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
2822	0224090L	2003-02-24 00:00:00	2003-02-05 00:00:00	DAY	James M. Cox Dayton International	USAir	Passenger Property Loss	Checked Baggage	238.0	Containers	Settled	112.5	Settle
18594	1022317M	2003-10-22 00:00:00	2003-08-10 00:00:00	DAY	James M. Cox Dayton International		Passenger Property Loss	Checked Baggage	80.0	Other	Approved	80.0	Approve in Full
23352	1222190M	2003-12-22 00:00:00	2003-12-11 00:00:00	DAY	James M. Cox Dayton International	Delta Air Lines	Passenger Property Loss	Checkpoint	1000.0	Electronics	Denied	0.0	Deny
38085	2004070658434	2004-06-16 00:00:00	2004-05-25 00:00:00	DAY	James M. Cox Dayton International	American Eagle	Passenger Property Loss	Checked Baggage	95.0	Cosmetics	Settled	47.5	Settle
38721	2004071359128	2004-06-28 00:00:00	2004-02-06 00:00:00	DAY	James M. Cox Dayton International		Passenger Property Loss	Checked Baggage	420.0	Watches & Jewelry	Approved	420.0	Approve in Full
39032	2004071559485	2004-06-29 00:00:00	2004-06-13 00:00:00	DAY	James M. Cox Dayton International		Passenger Property Loss	Checked Baggage	383.36	Cosmetics	Settled	191.68	Settle
39192	2004071659624	2004-07-06 00:00:00	2004-04-17 00:00:00	DAY	James M. Cox Dayton International		Passenger Property Loss	Checkpoint	500.0	Clothing & Accessories	Denied	0.0	Deny
41245	2004111967375	2004-07-27 00:00:00	2004-07-03 00:00:00	DAY	James M. Cox Dayton International		Passenger Property Loss	Checked Baggage	126.28	Other	Settled	50.65	Settle
41727	2004090962477	2004-08-05 00:00:00	2004-05-12 00:00:00	DAY	James M. Cox Dayton International	UAL	Passenger Property Loss	Checkpoint	23.75	Other	Approved	23.75	Approve in Full
41733	2004090962496	2004-08-05 00:00:00	2004-06-10 00:00:00	DAY	James M. Cox Dayton International	American Airlines	Passenger Property Loss	Checked Baggage	42.0	Other	Approved	42.0	Approve in Full
41897	2004090261980	2004-08-05 00:00:00	2004-07-09 00:00:00	DAY	James M. Cox Dayton International	USAir	Passenger Property Loss	Checked Baggage	450.0	Clothing & Accessories	Settled	266.55	Settle
42996	2004092964135	2004-08-23 00:00:00	2004-08-05 00:00:00	DAY	James M. Cox Dayton International	AirTran Airlines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Denied	10.0	Deny
44021	2004090962535	2004-09-08 00:00:00	2004-03-18 00:00:00	DAY	James M. Cox Dayton International	Delta Air Lines	Passenger Property Loss	Checkpoint	335.0	Electronics	Denied	0.0	Deny
44377	2004101465028	2004-09-09 00:00:00	2004-08-24 00:00:00	DAY	James M. Cox Dayton International	Continental Airlines	Passenger Property Loss	Checkpoint	432.0	Watches & Jewelry	Settled	216.0	Settle
44988	2004092363758	2004-09-16 00:00:00	2004-08-28 00:00:00	DAY	James M. Cox Dayton International		Passenger Property Loss	Checked Baggage	75.0	Clothing & Accessories	Approved	75.0	Approve in Full
45763	2004110766599	2004-09-23 00:00:00	2004-08-25 00:00:00	DAY	James M. Cox Dayton International	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Denied	0.0	Deny
45822	2004103065847	2004-09-23 00:00:00	2004-09-15 00:00:00	DAY	James M. Cox Dayton International	American Airlines	Passenger Property Loss	Checked Baggage	76.99	Supplies	Settled	38.5	Settle
46136	2004110366195	2004-09-29 00:00:00	2004-09-15 00:00:00	DAY	James M. Cox Dayton International	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Approved	10.0	Approve in Full
47209	2004120168140	2004-10-14 00:00:00	2004-09-20 00:00:00	DAY	James M. Cox Dayton International	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	22.54	Electronics	Approved	22.54	Approve in Full
47780	2004120668635	2004-10-20 00:00:00	2004-09-29 00:00:00	DAY	James M. Cox Dayton International	Alaska Airlines	Passenger Property Loss	Checked Baggage	36.0	Other	Approved	36.0	Approve in Full
50510	2004122871181	2004-11-23 00:00:00	2004-11-17 00:00:00	DAY	James M. Cox Dayton International	USAir	Passenger Property Loss	Checked Baggage	8.59	Other	Approved	8.59	Approve in Full
50782	2004122771097	2004-11-26 00:00:00	2004-10-15 00:00:00	DAY	James M. Cox Dayton International	Delta Air Lines	Passenger Property Loss	Checked Baggage	163.46	Supplies	Settled	61.73	Settle
