id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1071	24280	2003-01-02 00:00:00	2002-12-18 00:00:00	DCA	Ronald Reagan Washington National Airport	UAL	Passenger Property Loss	Other	46.2	Clothing & Accessories	Approved	46.0	Approve in Full
1753	0616644L	2003-01-22 00:00:00	2003-01-05 00:00:00	DCA	Ronald Reagan Washington National Airport		Passenger Property Loss	Checked Baggage	165.0	Electronics	Settled	45.0	Settle
2641	0220021L	2003-02-20 00:00:00	2002-12-26 00:00:00	DCA	Ronald Reagan Washington National Airport		Passenger Property Loss	Other		Other	Canceled		
2981	0226041L	2003-02-26 00:00:00	2003-02-02 00:00:00	DCA	Ronald Reagan Washington National Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	336.0	Watches & Jewelry	Approved	336.0	Approve in Full
3161	0304066L	2003-03-04 00:00:00	2003-02-17 00:00:00	DCA	Ronald Reagan Washington National Airport		Passenger Property Loss	Checkpoint	6.0	Electronics	Approved	6.0	Approve in Full
3249	0305068L	2003-03-05 00:00:00	2003-02-12 00:00:00	DCA	Ronald Reagan Washington National Airport	Northwest Airlines	Passenger Theft	Checked Baggage	25.0	Containers	Approved	25.0	Approve in Full
3572	0312012L	2003-03-12 00:00:00	2003-02-26 00:00:00	DCA	Ronald Reagan Washington National Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Approved	200.0	Approve in Full
4152	0905809M	2003-03-25 00:00:00	2003-02-02 00:00:00	DCA	Ronald Reagan Washington National Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	4000.0	Electronics	Denied	0.0	Deny
4663	0404001L	2003-04-04 00:00:00	2003-03-24 00:00:00	DCA	Ronald Reagan Washington National Airport		Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Approved	200.0	Approve in Full
5057	0415014L	2003-04-15 00:00:00	2003-02-27 00:00:00	DCA	Ronald Reagan Washington National Airport	American Airlines	Passenger Property Loss	Checked Baggage	750.83	Clothing & Accessories	Denied	750.83	Deny
6217	0507015L	2003-05-07 00:00:00	2003-03-24 00:00:00	DCA	Ronald Reagan Washington National Airport	American Airlines	Passenger Property Loss	Checked Baggage	120.0	Clothing & Accessories	Approved	120.0	Approve in Full
8689	0617170L	2003-06-17 00:00:00	2003-03-03 00:00:00	DCA	Ronald Reagan Washington National Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	200.0	Other	Approved	200.0	Approve in Full
9113	0624060M	2003-06-24 00:00:00	2003-05-09 00:00:00	DCA	Ronald Reagan Washington National Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	80.81	Watches & Jewelry	Approved	80.81	Approve in Full
9224	0624068M	2003-06-24 00:00:00	2003-04-22 00:00:00	DCA	Ronald Reagan Washington National Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	40.0	Other	Settled	20.0	Settle
