id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
140	21804	2002-10-29 00:00:00	2002-10-02 00:00:00	DFW	Dallas-Fort Worth International Airport	UAL	Passenger Property Loss	Checkpoint	50.0	Electronics	Cameras - Digital	Canceled		
157	21978	2002-11-01 00:00:00	2002-09-24 00:00:00	DFW	Dallas-Fort Worth International Airport		Passenger Property Loss	Checkpoint	200.0	Electronics	Cell Phones	Approved	200.0	Approve in Full
439	0715534M	2002-11-29 00:00:00	2002-11-07 00:00:00	DFW	Dallas-Fort Worth International Airport		Passenger Property Loss	Checkpoint	400.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	368.0	Settle
460	20518	2002-12-03 00:00:00	2002-10-30 00:00:00	DFW	Dallas-Fort Worth International Airport	American Airlines	Passenger Property Loss	Checkpoint	45.99	Watches & Jewelry	Jewelry - Fine	Approved	46.0	Approve in Full
746	0715532M	2002-12-17 00:00:00	2002-12-01 00:00:00	DFW	Dallas-Fort Worth International Airport	American Airlines	Passenger Property Loss	Checkpoint	125.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	125.0	Approve in Full
931	20770	2002-12-27 00:00:00	2002-10-27 00:00:00	DFW	Dallas-Fort Worth International Airport	American Airlines	Passenger Property Loss	Checkpoint	409.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	409.0	Approve in Full
1267	0113009L	2003-01-13 00:00:00	2002-12-12 00:00:00	DFW	Dallas-Fort Worth International Airport		Passenger Property Loss	Checkpoint	108.0	Watches & Jewelry	Jewelry - Fine	Approved	108.0	Approve in Full
1564	0617536L	2003-01-21 00:00:00	2002-12-12 00:00:00	DFW	Dallas-Fort Worth International Airport	American Airlines	Passenger Property Loss	Checked Baggage	930.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
2031	0129041L	2003-01-29 00:00:00	2002-12-06 00:00:00	DFW	Dallas-Fort Worth International Airport		Passenger Property Loss	Checkpoint	250.0	Electronics	Cameras - Digital	Settled	99.0	Settle
2066	0130016L	2003-01-30 00:00:00	2002-12-05 00:00:00	DFW	Dallas-Fort Worth International Airport	American Airlines	Passenger Property Loss	Checkpoint	407.81	Containers	Luggage (all types including footlockers)	Denied	0.0	Deny
2232	0204050L	2003-02-04 00:00:00	2003-01-12 00:00:00	DFW	Dallas-Fort Worth International Airport	American Airlines	Passenger Property Loss	Checked Baggage	50.0	Tools & Machines	Locks	Denied	0.0	Deny
2296	0205025L	2003-02-05 00:00:00	2002-03-12 00:00:00	DFW	Dallas-Fort Worth International Airport	American Airlines	Passenger Property Loss	Checkpoint	4923.5	Other	Other	Settled	4923.5	Settle
