id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
25999	0130064M	2004-01-30 00:00:00	2004-01-07 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	3800.0	Cameras - Digital	Denied	0.0	Deny
31601	2004050550538	2004-03-30 00:00:00	2004-01-27 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	89.99	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
39338	2004072760086	2004-07-07 00:00:00	2004-06-19 00:00:00	DLH	Duluth, MN		Passenger Property Loss	Checked Baggage	135.0	Eyeglasses - (including contact lenses)	Approved	135.0	Approve in Full
46396	2004111767270	2004-10-01 00:00:00	2004-07-21 00:00:00	DLH	Duluth, MN		Passenger Property Loss	Checked Baggage	79.0	Luggage (all types including footlockers)	Approved	79.0	Approve in Full
46526	2004111767261	2004-10-04 00:00:00	2004-09-20 00:00:00	DLH	Duluth, MN		Passenger Property Loss	Checked Baggage	212.0	Other	Settled	100.0	Settle
53860	2005012674402	2005-01-07 00:00:00	2004-12-20 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	272.79	Clothing - Shoes, belts, accessories, etc.	Settled	111.53	Settle
54682	2005020175159	2005-01-18 00:00:00	2004-12-04 00:00:00	DLH	Duluth, MN		Passenger Property Loss	Checked Baggage	27.95	Other	Approved	27.95	Approve in Full
55477	2005021175981	2005-01-26 00:00:00	2005-01-14 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	69.95	Other	Approved	69.95	Approve in Full
59252	2005032980176	2005-03-15 00:00:00	2005-02-23 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	12.45	Other	Approved	12.45	Approve in Full
62152	2005042082922	2005-04-19 00:00:00	2005-04-07 00:00:00	DLH	Duluth, MN	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	300.68	Cameras - Digital	Settled	245.13	Settle
66805	2005062987760	2005-06-23 00:00:00	2005-06-06 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	17.83	Other	Denied	0.0	Deny
70846	2005083091901	2005-08-25 00:00:00	2005-07-26 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	778.0	Jewelry - Fine	Denied	0.0	Deny
72385	2005100393669	2005-09-20 00:00:00	2005-09-06 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.0	Locks	Approved	10.0	Approve in Full
72907	2005100594005	2005-09-29 00:00:00	2005-09-14 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	16.0	Other	Approved	16.0	Approve in Full
73103	2005100694222	2005-10-03 00:00:00	2005-09-21 00:00:00	DLH	Duluth, MN	Northwest International Airways Ltd	Passenger Property Loss	Checked Baggage	80.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
73222	2005100794306	2005-10-04 00:00:00	2005-09-26 00:00:00	DLH	Duluth, MN		Passenger Property Loss	Checked Baggage	474.98	Cameras - Digital	Denied	0.0	Deny
76837	2005121597869	2005-12-08 00:00:00	2005-05-19 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	347.72	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	173.86	Settle
76904	2005121998048	2005-12-12 00:00:00	2005-08-29 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	6.62	Locks	Approved	6.62	Approve in Full
77648	2006010598789	2005-12-27 00:00:00	2005-12-07 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	363.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
87857	2006070709104	2006-07-06 00:00:00	2006-06-16 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	12.5	Other	Denied	0.0	Deny
89563	2006081010713	2006-08-08 00:00:00	2006-07-09 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	35.0	Other	Approved	35.0	Approve in Full
90634	2006083111885	2006-08-28 00:00:00	2006-08-05 00:00:00	DLH	Duluth, MN	Allegiant Air	Passenger Property Loss	Checked Baggage	100.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
92043	2006092613260	2006-09-22 00:00:00	2006-09-01 00:00:00	DLH	Duluth, MN		Passenger Property Loss	Checked Baggage	720.0	Jewelry - Costume*Jewelry - Fine*Jewelry - Fine*Jewelry - Fine*Medicines	Settled	708.0	Settle
93040	2006102314458	2006-10-16 00:00:00	2006-10-04 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	33.0	Electrical and Gas Appliances Minor - $200 or less (humidifiers, tv's, etc)*Other	Approved	33.0	Approve in Full
94046	2006111315527	2006-11-02 00:00:00	2006-08-15 00:00:00	DLH	Duluth, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	95.37	Other	Denied	0.0	Deny
