id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
50723	2004123172035	2004-11-24 00:00:00	2004-10-23 00:00:00	DRO	Durango - La Plata County, CO		Passenger Property Loss	Checkpoint	500.0	Watches & Jewelry	Denied	0.0	Deny
88593	2006071809676	2006-07-18 00:00:00	2006-07-08 00:00:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checked Baggage	350.0	Other	Settled	175.0	Settle
92263	2006100313571	2006-09-28 00:00:00	2006-09-06 00:00:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checked Baggage	90.0	Clothing & Accessories	Approved	90.0	Approve in Full
92273	2006100213517	2006-09-28 00:00:00	2006-09-05 00:00:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checked Baggage	200.0	Electronics	Denied	0.0	Deny
93787	2006110114994	2006-10-27 00:00:00	2006-10-02 00:00:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checked Baggage	929.0	Watches & Jewelry	Settled	464.5	Settle
118704	2008022840316	2008-02-22 00:00:00	2007-12-14 00:00:00	DRO	Durango - La Plata County, CO	USAir	Passenger Property Loss	Checked Baggage	964.04	Other	Denied	0.0	Deny
123354	2008060245091	2008-05-27 00:00:00	2008-04-27 00:00:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checked Baggage	531.43	Clothing & Accessories	Denied	0.0	Deny
126053	2008073147854	2008-07-25 00:00:00	2008-06-21 00:00:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checked Baggage	5.0	Tools & Machines	Denied	0.0	Deny
139431	2009072361692	2009-07-13 00:00:00	2009-06-24 00:00:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checked Baggage	785.0	Weapons & Knives	Denied	0.0	Deny
143062	2009102864900	2009-10-28 00:00:00	2009-10-28 00:00:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checked Baggage	320.0	Electronics,Electronics	Denied	0.0	Deny
180277	2013060303922	2013-04-30 00:00:00	2013-04-22 11:00:00	DRO	Durango - La Plata County, CO	Frontier Airlines	Passenger Property Loss	Checkpoint		Other			
182427	2013082706292	2013-07-16 00:00:00	2013-07-11 11:00:00	DRO	Durango - La Plata County, CO	Frontier Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories		203.4	Settle
184574	2013103008367	2013-09-27 00:00:00	2013-09-04 13:15:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checked Baggage		Electronics			
186276	2013121810146	2013-12-11 00:00:00	2013-11-29 06:45:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checkpoint		Clothing & Accessories			
197525	2015072724246	2015-07-27 00:00:00	2015-07-13 00:00:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checkpoint		Electronics			
197527	2015092425620	2015-09-02 00:00:00	2015-08-22 00:00:00	DRO	Durango - La Plata County, CO	UAL	Passenger Property Loss	Checked Baggage		Electronics		0.0	Deny
206151	2016100634477	2016-08-22 00:00:00	2016-05-24 04:25:00	DRO	Durango - La Plata County, CO Durango - La Plata County, CO	American Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry			In Review
214364	2017091443164	2017-08-07 00:00:00	2017-07-21 00:00:00	DRO	Durango - La Plata County, CO Durango - La Plata County, CO	American Airlines	Passenger Property Loss	Checked Baggage		Food & Drink			In Review
