id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
711	21785	2002-12-16 00:00:00	2002-11-12 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checkpoint	58.04	Other	Approved	58.0	Approve in Full
887	22075	2002-12-24 00:00:00	2002-11-27 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	40.0	Other	Approved	40.0	Approve in Full
970	22430	2002-12-30 00:00:00	2002-11-03 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	10.0	Other	Approved		Approve in Full
1273	0617511L	2003-01-13 00:00:00	2002-12-17 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	108.98	Other	Approved	109.0	Approve in Full
1355	0114030L	2003-01-14 00:00:00	2003-01-01 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	UAL	Passenger Property Loss	Other	391.21	Tools & Machines	Canceled		
1590	0616649L	2003-01-21 00:00:00	2003-01-02 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	779.0	Other	Settled	10.0	Settle
1612	0617695L	2003-01-21 00:00:00	2003-01-06 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	3054.0	Electronics	Settled	1527.0	Settle
1775	0715506M	2003-01-22 00:00:00	2002-10-01 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	1200.0	Watches & Jewelry	Settled	299.99	Settle
1800	0616650L	2003-01-24 00:00:00	2002-11-26 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checkpoint	198.0	Clothing & Accessories	Approved	198.0	Approve in Full
1936	0128011L	2003-01-28 00:00:00	2003-01-07 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	1200.0	Containers	Denied	1200.0	Deny
1977	0129049L	2003-01-29 00:00:00	2003-01-01 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	America West	Passenger Property Loss	Checked Baggage	350.0	Watches & Jewelry	Approved	350.0	Approve in Full
2018	0129060L	2003-01-29 00:00:00	2003-01-11 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	80.0	Other	Denied	0.0	Deny
2107	0131009L	2003-01-31 00:00:00	2003-01-13 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	155.0	Electronics	Settled	77.5	Settle
2127	0203061L	2003-02-03 00:00:00	2002-12-31 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	15.89	Other	Approved	15.89	Approve in Full
2211	0204045L	2003-02-04 00:00:00	2003-01-04 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	40.0	Other	Approved	40.0	Approve in Full
2219	0204043L	2003-02-04 00:00:00		DTW	Detroit Metropolitan Wayne County Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Canceled	0.0	
2347	0207003L	2003-02-07 00:00:00	2003-01-09 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	4695.0	Other	Settled	2055.9	Settle
2406	0211071L	2003-02-11 00:00:00	2003-01-04 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	6.5	Other	Approved	6.5	Approve in Full
2723	0224014L	2003-02-24 00:00:00	2003-01-25 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	61.66	Other	Approved	61.66	Approve in Full
2749	0224072L	2003-02-24 00:00:00	2003-01-12 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Clothing & Accessories	Approved	25.0	Approve in Full
2783	0224031L	2003-02-24 00:00:00	2003-01-18 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	UAL	Passenger Property Loss	Checked Baggage	250.0	Cosmetics	Denied	0.0	Deny
2815	0224037L	2003-02-24 00:00:00	2003-01-18 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	349.77	Electronics	Settled	174.88	Settle
2940	0225042L	2003-02-25 00:00:00	2003-01-01 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	83.74	Cosmetics	Settled	41.5	Settle
2984	0226047L	2003-02-26 00:00:00	2003-01-25 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	14.0	Other	Approved	14.0	Approve in Full
3126	0303031L	2003-03-03 00:00:00	2003-01-13 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	922.99	Clothing & Accessories	Denied	0.0	Deny
3134	0303018L	2003-03-03 00:00:00	2003-02-12 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	985.0	Electronics	Settled	385.0	Settle
3524	0311037L	2003-03-11 00:00:00	2003-02-13 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	America West	Passenger Property Loss	Checked Baggage	34.5	Other	Settled	17.25	Settle
3532	0311060L	2003-03-11 00:00:00	2003-01-22 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	791.8	Electronics	Settled	395.0	Settle
3710	0317037L	2003-03-17 00:00:00	2003-02-21 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	8.43	Containers	Approved	8.0	Approve in Full
4167	0325035L	2003-03-25 00:00:00	2003-03-09 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	84.76	Other	Settled	42.38	Settle
4288	0326028L	2003-03-26 00:00:00	2003-02-14 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	980.0	Other	Settled	400.0	Settle
4295	0326079L	2003-03-26 00:00:00	2003-02-28 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	British Airways	Passenger Property Loss	Checked Baggage	106.99	Other	Settled	54.0	Settle
4594	0402018L	2003-04-02 00:00:00	2003-03-04 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	50.0	Cosmetics	Settled	25.0	Settle
4681	0407014L	2003-04-07 00:00:00	2003-03-12 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	812.0	Watches & Jewelry	Approved	812.0	Approve in Full
4684	0407009L	2003-04-07 00:00:00	2003-02-21 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	American Airlines	Passenger Property Loss	Checked Baggage	1000.0	Other	Canceled		
4734	0408123L	2003-04-08 00:00:00	2003-02-14 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	84.67	Other	Approved	84.67	Approve in Full
4812	0408013L	2003-04-08 00:00:00	2003-01-06 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	320.0	Other	Settled	299.0	Settle
4824	0408074L	2003-04-08 00:00:00	2003-02-10 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Spirit Airlines	Passenger Property Loss	Checked Baggage	72.0	Other	Settled	36.0	Settle
4946	0410004L	2003-04-10 00:00:00	2003-03-03 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	KLM Royal Dutch Airlines	Passenger Property Loss	Checked Baggage	402.0	Other	Denied	0.0	Deny
5003	0411009L	2003-04-11 00:00:00	2003-01-27 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	325.0	Electronics	Settled	162.5	Settle
5010	0411035L-A	2003-04-11 00:00:00	2003-03-10 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Other	421.5	Other	Settled	162.75	Settle
5011	0411035L-B	2003-04-11 00:00:00	2003-03-22 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	105.9	Clothing & Accessories	Settled	53.0	Settle
5058	0415016L	2003-04-15 00:00:00		DTW	Detroit Metropolitan Wayne County Airport	Spirit Airlines	Passenger Property Loss	Other	70.0	Watches & Jewelry	Denied	0.0	Deny
5522	0422025L	2003-04-22 00:00:00	2003-03-13 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	175.0	Cosmetics	Settled	87.5	Settle
5619	0423037L	2003-04-23 00:00:00	2003-02-09 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Clothing & Accessories	Settled	150.0	Settle
5658	0425001L	2003-04-25 00:00:00	2003-04-16 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	255.16	Other	Approved	50.0	Approve in Full
5662	0425005L	2003-04-25 00:00:00	2003-04-16 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	255.16	Other	Denied	0.0	Deny
5666	0425000L	2003-04-25 00:00:00	2003-09-09 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checkpoint	400.0	Other	Settled	200.0	Settle
5737	0428107L	2003-04-28 00:00:00	2003-03-27 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	971.0	Electronics	Denied	0.0	Deny
5763	0428025L	2003-04-28 00:00:00	2003-02-08 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	443.0	Other	Settled	221.5	Settle
5851	0430008L	2003-04-30 00:00:00	2003-02-22 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	60.0	Electronics	Approved	60.0	Approve in Full
5966	0502039L	2003-05-02 00:00:00	2003-04-17 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	185.0	Watches & Jewelry	Settled	92.5	Settle
6167	0506015L	2003-05-06 00:00:00	2003-01-28 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	700.0	Electronics	Settled	350.0	Settle
6296	0512011L	2003-05-12 00:00:00	2003-01-11 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	434.0	Other	Settled	292.26	Settle
6310	0513029L	2003-05-13 00:00:00	2003-02-25 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	12.72	Containers	Approved	12.72	Approve in Full
6531	0514056L	2003-05-14 00:00:00	2003-04-16 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	700.0	Clothing & Accessories	Settled	450.0	Settle
7734	0603284L	2003-06-03 00:00:00	2003-04-18 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	1032.0	Clothing & Accessories	Settled	516.0	Settle
7899	0606000L	2003-06-06 00:00:00	2003-03-15 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checkpoint	350.0	Containers	Canceled		
8008	0609100L	2003-06-09 00:00:00	2003-05-16 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage	40.0	Other	Denied	0.0	Deny
8010	0609108L	2003-06-09 00:00:00	2003-05-20 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Electronics	Denied		Deny
8053	0609056L	2003-06-09 00:00:00	2003-04-18 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	American Airlines	Passenger Property Loss	Checkpoint	485.0	Other	Settled	242.5	Settle
8107	0610050L	2003-06-10 00:00:00	2003-04-05 00:00:00	DTW	Detroit Metropolitan Wayne County Airport		Passenger Property Loss	Checked Baggage		Clothing & Accessories	Approved	222.6	Approve in Full
8179	0610020L	2003-06-10 00:00:00	2003-05-17 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	600.0	Clothing & Accessories	Denied	0.0	Deny
8230	0610067L	2003-06-10 00:00:00	2003-05-19 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
8443	0612042L	2003-06-12 00:00:00	2003-05-08 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Spirit Airlines	Passenger Property Loss	Checked Baggage	303.18	Other	Settled	121.5	Settle
8761	0617019L	2003-06-17 00:00:00	2003-06-01 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Settled	100.0	Settle
8802	0617148L	2003-06-17 00:00:00	2003-03-01 00:00:00	DTW	Detroit Metropolitan Wayne County Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	119.4	Other	Settled	60.0	Settle
