id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
150332	2010071573730	2010-07-06 00:00:00	2010-06-28 17:35:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Clothing		16.99	Approve in Full
152223	2010090375627	2010-08-27 00:00:00	2010-08-10 12:00:00	ECP	Northwest Florida Beaches International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Crafting & Hobby		60.0	Approve in Full
153528	2010101076855	2010-10-06 00:00:00	2010-09-26 00:00:00	ECP	Northwest Florida Beaches International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Hunting & Fishing Items		0.0	Deny
158261	2011040181683	2011-03-11 00:00:00	2011-03-06 00:00:00	ECP	Northwest Florida Beaches International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Automobile Parts & Accessories		0.0	Deny
158542	2011040782025	2011-03-21 00:00:00	2010-11-17 13:00:00	ECP	Northwest Florida Beaches International Airport		Passenger Property Loss	Checkpoint		Currency		0.0	Deny
158615	2011041382169	2011-03-23 00:00:00	2011-03-09 10:30:00	ECP	Northwest Florida Beaches International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint		Currency		0.0	Deny
160097	2011052083604	2011-05-10 00:00:00	2011-04-11 09:00:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Other*Other*Other		0.0	Deny
161069	2011062384584	2011-06-13 00:00:00	2011-06-10 13:45:00	ECP	Northwest Florida Beaches International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint		Jewelry & Watches			
167025	2012020390659	2012-01-03 00:00:00	2011-12-07 00:00:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Clothing		0.0	Deny
168245	2012032291998	2012-02-09 00:00:00	2012-02-03 13:15:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint		Personal Electronics		0.0	Deny
170664	2012052594274	2012-05-07 00:00:00	2012-05-05 00:00:00	ECP	Northwest Florida Beaches International Airport		Passenger Property Loss	Checked Baggage		Medical/Science		0.0	Deny
176136	2013010399502	2012-11-23 00:00:00	2012-10-27 00:00:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Jewelry & Watches		0.0	Deny
181469	2013080505641	2013-06-13 00:00:00	2013-05-22 10:00:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Sporting Equipment & Supplies (footballs, parachutes, etc.)			
183951	2013102708032	2013-09-05 00:00:00	2012-10-20 14:30:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint		Other		120.0	Approve in Full
185551	2013111409361	2013-11-08 00:00:00	2013-10-22 08:30:00	ECP	Northwest Florida Beaches International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Computer & Accessories			
191033	2014062514865	2014-06-19 00:00:00	2014-06-10 00:00:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Clothing		36.72	Approve in Full
193557	2014100717441	2014-09-12 00:00:00	2014-09-08 00:00:00	ECP	Northwest Florida Beaches International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Hunting & Fishing Items			
197615	2015111926997	2015-11-03 00:00:00	2015-10-13 00:00:00	ECP	Northwest Florida Beaches International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Clothing		63.0	Approve in Full
206273	2016101334630	2016-09-07 00:00:00	2016-08-28 00:00:00	ECP	Northwest Florida Beaches International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Travel Accessories		20.6	Approve in Full
206276	2016100534403	2016-08-25 00:00:00	2016-07-30 00:00:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint		Personal Accessories			In Review
214489	2017101744457	2017-09-18 00:00:00	2017-07-13 00:00:00	ECP	Northwest Florida Beaches International Airport	UAL	Passenger Property Loss	Checkpoint		Personal Accessories			In Review
214490	2017121946111	2017-11-20 00:00:00	2017-09-23 22:45:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Clothing*Jewelry & Watches			In Review
214492	2017102444659	2017-10-25 00:00:00	2017-07-06 00:00:00	ECP	Northwest Florida Beaches International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint		Personal Accessories			In Review
214493	2017113045674	2017-10-27 00:00:00	2017-10-17 10:00:00	ECP	Northwest Florida Beaches International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing			In Review
