id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
212	19958	2002-11-12 00:00:00	2002-10-22 00:00:00	ELP	El Paso International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	37.0	Clothing - Shoes, belts, accessories, etc.	Approved	37.0	Approve in Full
816	0714552M	2002-12-19 00:00:00	2002-09-15 00:00:00	ELP	El Paso International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	1049.0	Computer - Laptop	Settled	183.74	Settle
1964	0128052L	2003-01-28 00:00:00	2003-01-12 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	670.0	Clothing - Shoes, belts, accessories, etc.	Settled	335.0	Settle
3838	0318095L	2003-03-18 00:00:00	2003-01-31 00:00:00	ELP	El Paso International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	900.0	Jewelry - Fine	Denied	0.0	Deny
3928	0319031L	2003-03-19 00:00:00	2003-03-03 00:00:00	ELP	El Paso International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	151.7	Clothing - Shoes, belts, accessories, etc.	Approved	151.7	Approve in Full
3955	0320001L	2003-03-20 00:00:00	2003-03-03 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	315.32	Clothing - Shoes, belts, accessories, etc.	Approved	315.32	Approve in Full
4148	0325142L	2003-03-25 00:00:00	2003-01-21 00:00:00	ELP	El Paso International Airport	American Airlines	Passenger Property Loss	Checked Baggage	1018.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
4752	0408077L	2003-04-08 00:00:00	2003-03-28 00:00:00	ELP	El Paso International Airport	UAL	Passenger Property Loss	Checked Baggage	80.0	Clothing - Shoes, belts, accessories, etc.	Canceled		
4928	0410021L	2003-04-10 00:00:00	2003-03-20 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checkpoint	1580.43	Jewelry - Fine	Approved	1580.43	Approve in Full
4973	0410045L	2003-04-10 00:00:00	2003-03-25 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	310.0	Clothing - Shoes, belts, accessories, etc.	Settled	155.0	Settle
5000	0411005L	2003-04-11 00:00:00	2003-03-09 00:00:00	ELP	El Paso International Airport	American Airlines	Passenger Property Loss	Checked Baggage	135.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	67.5	Settle
5017	0414003L	2003-04-14 00:00:00	2003-02-10 00:00:00	ELP	El Paso International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	450.0	Other	Settled	225.0	Settle
5355	0421027L	2003-04-21 00:00:00	2003-03-24 00:00:00	ELP	El Paso International Airport	American Airlines	Passenger Property Loss	Checked Baggage	50.0	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
5427	0422024L	2003-04-22 00:00:00	2003-04-01 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	5.0	Other	Approved	5.0	Approve in Full
5657	0424031L	2003-04-24 00:00:00	2003-03-19 00:00:00	ELP	El Paso International Airport	American Airlines	Passenger Property Loss	Checked Baggage	121.99	Other	Settled	61.0	Settle
6072	0506006L	2003-05-06 00:00:00	2003-04-25 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	80.0	Clothing - Shoes, belts, accessories, etc.	Approved	80.0	Approve in Full
6194	0506101L	2003-05-06 00:00:00	2003-02-13 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	100.0	Jewelry - Fine	Settled	25.0	Settle
7675	0603114L	2003-06-03 00:00:00	2003-05-12 00:00:00	ELP	El Paso International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Currency	Settled	100.0	Settle
7833	0605054L	2003-06-05 00:00:00	2003-05-01 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	49.99	Clothing - Shoes, belts, accessories, etc.	Canceled		
7872	0605033L	2003-06-05 00:00:00	2003-04-20 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	150.0	Cameras - Digital	Settled	75.0	Settle
8719	0617025L	2003-06-17 00:00:00	2003-05-09 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checkpoint	398.0	Cameras - Digital	Denied	0.0	Deny
10233	0708156M	2003-07-08 00:00:00	2003-06-12 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	20.0	Clothing - Shoes, belts, accessories, etc.	Approved	20.0	Approve in Full
10428	0709011M	2003-07-09 00:00:00	2003-06-27 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	5000.0	Jewelry - Fine	Denied	0.0	Deny
11433	0722031M	2003-07-22 00:00:00	2002-07-11 00:00:00	ELP	El Paso International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	86.6	Jewelry - Fine	Approved	86.6	Approve in Full
12015	0729062M	2003-07-29 00:00:00	2003-07-08 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	300.0	Currency	Settled	150.0	Settle
12328	0801083M	2003-08-01 00:00:00	2003-07-29 00:00:00	ELP	El Paso International Airport		Passenger Property Loss	Checked Baggage	28.0	Clothing - Shoes, belts, accessories, etc.	Approved	28.0	Approve in Full
