id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
89007	2006072710136	2006-07-27 00:00:00	2006-07-01 00:00:00	ENV	Wendover Municipal Airport		Passenger Property Loss	Checked Baggage	108.72	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	108.72	Approve in Full
96372	2006122217827	2006-12-18 00:00:00	2006-11-28 00:00:00	ENV	Wendover Municipal Airport		Passenger Property Loss	Checked Baggage	8012.0	Watches & Jewelry,Other,Watches & Jewelry	Jewelry - Fine*Other*Watches - Expensive more than $100	Denied	0.0	Deny
122248	2008050643855	2008-05-02 00:00:00	2008-04-04 00:00:00	ENV	Wendover Municipal Airport		Passenger Property Loss	Checked Baggage	135.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
135704	2009041657661	2009-03-31 00:00:00	2009-03-20 00:00:00	ENV	Wendover Municipal Airport		Passenger Property Loss	Checked Baggage	21.95	Office Supplies	Books - Fiction, paperbacks, magazines, etc.	Denied	0.0	Deny
145131	2010010667199	2009-12-31 00:00:00	2009-12-16 10:00:00	ENV	Wendover Municipal Airport	Xtra Airways	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Locks	Denied	0.0	Deny
147517	2010041370743	2010-04-08 00:00:00	2010-03-17 00:00:00	ENV	Wendover Municipal Airport	Maxair	Passenger Property Loss	Checkpoint		Other	Currency		0.0	Deny
148324	2010051171666	2010-05-03 00:00:00	2010-04-13 11:30:00	ENV	Wendover Municipal Airport	Xtra Airways	Passenger Property Loss	Checked Baggage		Other	Currency		0.0	Deny
162915	2011083086549	2011-08-09 00:00:00	2011-07-26 09:30:00	ENV	Wendover Municipal Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Outdoors Supplies	Hunting & Fishing Items		0.0	Deny
197647	2015011319841	2015-01-13 00:00:00	2014-12-27 00:00:00	ENV	Wendover Municipal Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Other	Other		0.0	Deny
214515	2017081742295	2017-06-26 00:00:00	2017-06-03 00:00:00	ENV	Wendover Municipal Airport Wendover Municipal Airport	Swift Air	Passenger Property Loss	Checked Baggage		Food & Drink	Food & Drink			In Review
