id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
24963	2005011473721	2004-01-14 00:00:00	2004-11-22 00:00:00	ERI	Erie International		Passenger Property Loss	Checkpoint	300.0	Currency	Denied		Deny
32799	2004052553473	2004-04-21 00:00:00	2004-02-06 00:00:00	ERI	Erie International		Passenger Property Loss	Checked Baggage	10.0	Locks	Approved	10.0	Approve in Full
33718	2004061555861	2004-04-23 00:00:00	2004-04-13 00:00:00	ERI	Erie International	Continental Airlines	Passenger Property Loss	Checked Baggage	186.2	Other	Settled	130.34	Settle
41421	2004091562921	2004-08-03 00:00:00	2004-07-23 00:00:00	ERI	Erie International	Northwest Airlines	Passenger Property Loss	Checked Baggage	98.2	Other	Approved	98.2	Approve in Full
45002	2004103065831	2004-09-16 00:00:00	2004-06-08 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	10.0	Medicines	Approved	10.0	Approve in Full
46365	2004111667098	2004-09-29 00:00:00	2004-09-13 00:00:00	ERI	Erie International		Passenger Property Loss	Checked Baggage	300.0	Clothing - Shoes, belts, accessories, etc.	Settled	150.0	Settle
46449	2004111867308	2004-10-01 00:00:00	2004-08-19 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	5096.02	Jewelry - Fine	Settled	2500.0	Settle
53752	2005012674424	2005-01-06 00:00:00	2004-12-04 00:00:00	ERI	Erie International		Passenger Property Loss	Checked Baggage	65.0	Clothing - Shoes, belts, accessories, etc.	Settled	32.5	Settle
54089	2005020375512	2005-01-11 00:00:00	2004-12-06 00:00:00	ERI	Erie International	Northwest Airlines	Passenger Property Loss	Checked Baggage	275.0	Jewelry - Fine	Approved	275.0	Approve in Full
55557	2005021176005	2005-01-26 00:00:00	2004-10-27 00:00:00	ERI	Erie International	Northwest Airlines	Passenger Property Loss	Checked Baggage	7.37	Locks	Denied		Deny
55893	2005022476729	2005-01-28 00:00:00	2004-12-04 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	61.9	Other	Denied	0.0	Deny
57492	2005031578294	2005-02-16 00:00:00	2005-02-05 00:00:00	ERI	Erie International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing - Shoes, belts, accessories, etc.	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
58251	2005032179060	2005-03-03 00:00:00	2005-02-09 00:00:00	ERI	Erie International		Passenger Property Loss	Checked Baggage		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
58323	2005032279151	2005-03-04 00:00:00	2005-01-24 00:00:00	ERI	Erie International	Northwest Airlines	Passenger Property Loss	Checked Baggage	50.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
60696	2005040681692	2005-04-04 00:00:00	2005-03-10 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	101.16	Other	Approved	101.16	Approve in Full
64611	2005060185654	2005-05-24 00:00:00	2005-05-04 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	120.0	Other	Approved	120.0	Approve in Full
67238	2005070588221	2005-06-30 00:00:00	2005-06-12 00:00:00	ERI	Erie International		Passenger Property Loss	Checkpoint	296.0	Jewelry - Fine	Denied	0.0	Deny
70442	2005082591425	2005-08-19 00:00:00	2005-04-02 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	195.0	Jewelry - Fine	Denied	0.0	Deny
72263	2005092893343	2005-09-19 00:00:00	2005-08-19 00:00:00	ERI	Erie International	Continental Airlines	Passenger Property Loss	Checked Baggage	200.0	Jewelry - Fine	Denied	0.0	Deny
74085	2005102595167	2005-10-18 00:00:00	2005-06-20 00:00:00	ERI	Erie International	Delta Air Lines	Passenger Property Loss	Checked Baggage	152.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	76.0	Settle
76009	2005120797211	2005-11-23 00:00:00	2005-11-12 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	120.0	Medicines	Approved	120.0	Approve in Full
80920	2006022402105	2006-02-17 00:00:00	2005-12-07 00:00:00	ERI	Erie International	Continental Airlines	Passenger Property Loss	Checked Baggage	17.99	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
82475	2006032303605	2006-03-20 00:00:00	2006-03-02 00:00:00	ERI	Erie International		Passenger Property Loss	Checked Baggage	485.0	Jewelry - Fine	Denied	0.0	Deny
82863	2006040404019	2006-03-27 00:00:00	2005-12-10 00:00:00	ERI	Erie International	Continental Airlines	Passenger Property Loss	Checked Baggage	300.0	Locks	Denied	0.0	Deny
84427	2006050105492	2006-04-27 00:00:00	2006-03-21 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	20.0	Clothing - Shoes, belts, accessories, etc.	Approved	20.0	Approve in Full
84702	2006051106041	2006-05-02 00:00:00	2006-04-18 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	580.0	Silverplate, Goldplate, Pewter, Stainless Steel, Copperware, Bronzeware	Denied	0.0	Deny
86346	2006060807630	2006-06-06 00:00:00	2006-05-05 00:00:00	ERI	Erie International	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.0	Locks	Approved	10.0	Approve in Full
87310	2006062708578	2006-06-23 00:00:00	2006-05-13 00:00:00	ERI	Erie International		Passenger Property Loss	Checked Baggage	3726.95	Currency*Lighters - (cigar, cigerette, etc.)*Locks*Luggage (all types including footlockers)	Denied	0.0	Deny
94321	2006111515575	2006-11-08 00:00:00	2006-10-17 00:00:00	ERI	Erie International	Northwest Airlines	Passenger Property Loss	Checked Baggage	39.98	Other	Denied	0.0	Deny
96071	2006121517241	2006-12-12 00:00:00	2006-11-21 00:00:00	ERI	Erie International	Northwest Airlines	Passenger Property Loss	Checked Baggage	235.83	Cameras - Digital	Denied	0.0	Deny
100968	2007031422259	2007-03-08 00:00:00	2006-12-25 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	5.47	Locks	Denied	0.0	Deny
101685	2007032622954	2007-03-21 00:00:00	2007-03-17 00:00:00	ERI	Erie International	Delta Air Lines	Passenger Property Loss	Checked Baggage	60.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	30.0	Settle
104243	2007051725585	2007-05-14 00:00:00	2007-04-21 00:00:00	ERI	Erie International	Continental Airlines	Passenger Property Loss	Checked Baggage	229.44	Jewelry - Costume*Watches - Inexpensive $100 or less	Denied	0.0	Deny
108595	2007080929980	2007-08-06 00:00:00	2007-06-09 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	250.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Eyeglasses - (including contact lenses)	Denied	0.0	Deny
111254	2007092632581	2007-09-25 00:00:00	2007-09-20 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	300.0	Bags - Fabric, plastic, etc. (not purses)*Other	Denied	0.0	Deny
114818	2007121036259	2007-12-06 00:00:00	2007-10-29 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	2250.0	Handbags & Purses (leather or fabric)	Denied	0.0	Deny
118645	2008022840285	2008-02-21 00:00:00	2008-01-28 00:00:00	ERI	Erie International	USAir	Passenger Property Loss	Checked Baggage	325.11	MP3 Players-(iPods, etc)	Denied	0.0	Deny
