id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1858	0127057L	2003-01-27 00:00:00	2003-01-05 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	65.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	65.0	Approve in Full
11851	0729111M	2003-07-29 00:00:00	2003-07-11 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field		Passenger Property Loss	Checked Baggage	25.0	Other	Approved	25.0	Approve in Full
28879	0226034M	2004-02-26 00:00:00	2003-12-05 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	678.91	Cameras - Digital	Denied	0.0	Deny
33475	2004060354528	2004-04-23 00:00:00	2004-03-22 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	217.94	Cameras - Digital	Approved	217.94	Approve in Full
37379	2004070158142	2004-06-08 00:00:00	2004-05-17 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field		Passenger Property Loss	Checked Baggage	34.64	Clothing - Shoes, belts, accessories, etc.	Approved	34.64	Approve in Full
39951	2004080360437	2004-07-12 00:00:00	2004-05-07 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field		Passenger Property Loss	Checked Baggage	335.0	Cameras - Digital	Settled	167.5	Settle
40939	2004090962449	2004-07-23 00:00:00	2004-02-23 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field		Passenger Property Loss	Checked Baggage	125.0	Other	Settled	62.5	Settle
47810	2004121469121	2004-10-20 00:00:00	2004-09-15 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	10.0	Locks	Approved	10.0	Approve in Full
50923	2004122771024	2004-11-29 00:00:00	2004-11-05 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field		Passenger Property Loss	Checked Baggage	575.0	Cameras - Digital	Settled	184.64	Settle
52011	2006020801211	2004-12-14 00:00:00	2004-10-30 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	10.72	Locks	Approved	10.72	Approve in Full
52674	2005011073269	2004-12-21 00:00:00	2004-12-15 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field		Passenger Property Loss	Checked Baggage	2000.0	Computer - Laptop	Denied	0.0	Deny
53674	2005012674308	2005-01-06 00:00:00	2004-09-29 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checkpoint	100.0	Other	Approved	100.0	Approve in Full
56308	2005031177783	2005-02-01 00:00:00	2004-11-16 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	American Airlines	Passenger Property Loss	Checked Baggage	300.0	Other	Settled	150.0	Settle
56454	2005030877224	2005-02-04 00:00:00	2004-11-14 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	America West	Passenger Property Loss	Checkpoint	343.0	Eyeglasses - (including contact lenses)	Approved	343.0	Approve in Full
57234	2005031578383	2005-02-11 00:00:00	2005-01-06 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field		Passenger Property Loss	Checked Baggage	122.89	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	30.6	Settle
57815	2005032178967	2005-02-24 00:00:00	2005-01-20 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	American Airlines	Passenger Property Loss	Checked Baggage	54.9	Other	Approved	54.9	Approve in Full
59989	2005033180907	2005-03-23 00:00:00	2005-02-18 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field		Passenger Property Loss	Checked Baggage	599.0	Other	Denied	0.0	Deny
62159	2005042082950	2005-04-19 00:00:00	2005-04-06 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Skywest Airlines Inc USA	Passenger Property Loss	Checked Baggage	111.0	Medicines	Settled	56.5	Settle
62402	2005042583223	2005-04-22 00:00:00	2005-04-12 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	749.92	Cameras - Digital	Settled	169.72	Settle
63869	2005051684745	2005-05-13 00:00:00	2004-12-16 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	16652.5	Other	Denied	0.0	Deny
64586	2005053185540	2005-05-24 00:00:00	2005-05-01 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	14.5	Locks	Approved	14.5	Approve in Full
65087	2005060986051	2005-05-31 00:00:00	2005-05-10 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Korean Airlines	Passenger Property Loss	Checkpoint	211.03	Clothing - Shoes, belts, accessories, etc.	Settled	114.51	Settle
65463	2005062086673	2005-06-03 00:00:00	2005-05-11 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Skywest Airlines Inc USA	Passenger Property Loss	Checked Baggage	25.0	Luggage (all types including footlockers)	Denied	0.0	Deny
65650	2005061786526	2005-06-07 00:00:00	2005-05-07 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Alaska Airlines	Passenger Property Loss	Checked Baggage	275.1	Stereo Items & Accessories	Denied	0.0	Deny
68791	2005072889786	2005-07-26 00:00:00	2005-07-08 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	America West	Passenger Property Loss	Checkpoint	59.99	Computer - Laptop	Approved	59.99	Approve in Full
69111	2005080890193	2005-07-29 00:00:00	2005-05-07 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	109.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
69144	2005081590496	2005-07-29 00:00:00	2005-06-20 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	250.0	Jewelry - Fine	Settled	125.0	Settle
70983	2005090292064	2005-08-29 00:00:00	2005-08-11 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	19.95	Other	Denied	0.0	Deny
71326	2005091392357	2005-09-01 00:00:00	2005-08-14 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	460.0	Other	Settled	165.0	Settle
71350	2005091492471	2005-09-06 00:00:00	2005-08-03 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Horizon Air	Passenger Property Loss	Checked Baggage	50.0	Clothing - Shoes, belts, accessories, etc.	Approved	50.0	Approve in Full
73056	2005100694171	2005-09-30 00:00:00	2005-09-19 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	69.95	Other	Settled	34.98	Settle
73864	2005101994907	2005-10-17 00:00:00	2005-10-01 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	255.0	Luggage (all types including footlockers)	Denied	0.0	Deny
73945	2005102094993	2005-10-17 00:00:00	2005-09-20 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	179.99	Other	Settled	90.0	Settle
76598	2005121497757	2005-12-06 00:00:00	2005-11-28 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Horizon Air	Passenger Property Loss	Checkpoint	53.18	Other	Approved	53.18	Approve in Full
77985	2006010999176	2006-01-04 00:00:00	2005-12-27 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	100.0	Currency	Approved	100.0	Approve in Full
78861	2006012300062	2006-01-17 00:00:00	2005-12-19 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field		Passenger Property Loss	Checkpoint	260.15	Currency	Approved	260.15	Approve in Full
80577	2006022101795	2006-02-13 00:00:00	2006-01-21 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Alaska Airlines	Passenger Property Loss	Checked Baggage	197.87	Other	Approved	197.87	Approve in Full
80864	2006022302042	2006-02-16 00:00:00	2006-01-18 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	America West	Passenger Property Loss	Checked Baggage	744.3	Cameras - Digital	Settled	311.53	Settle
81156	2006022702230	2006-02-23 00:00:00	2005-12-11 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	American West	Passenger Property Loss	Checked Baggage	1530.0	Jewelry - Fine	Settled	765.0	Settle
83890	2006042505197	2006-04-14 00:00:00	2006-04-05 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	149.99	Clothing - Shoes, belts, accessories, etc.	Settled	75.0	Settle
83953	2006042405030	2006-04-17 00:00:00	2006-01-25 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Horizon Air	Passenger Property Loss	Checked Baggage	161.0	Jewelry - Fine	Settled	80.5	Settle
84720	2006051206173	2006-05-02 00:00:00	2006-02-26 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Aloha Airlines	Passenger Property Loss	Checkpoint	3149.14	Jewelry - Fine	Denied	0.0	Deny
85094	2006051506321	2006-05-10 00:00:00	2006-04-11 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	50.0	Jewelry - Costume	Denied	0.0	Deny
85345	2006051906637	2006-05-16 00:00:00	2006-04-12 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	758.81	Jewelry - Fine	Denied	0.0	Deny
86279	2006060707501	2006-06-05 00:00:00	2006-05-31 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	USAir	Passenger Property Loss	Checked Baggage	3600.0	Jewelry - Fine	Denied	0.0	Deny
87138	2006062108322	2006-06-20 00:00:00	2006-05-02 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Alaska Airlines	Passenger Property Loss	Checked Baggage	60.0	Books - Other (Hardcover non-fiction)*Handbags & Purses (leather or fabric)	Settled	30.0	Settle
89453	2006080910661	2006-08-04 00:00:00	2006-03-17 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	American Airlines	Passenger Property Loss	Checked Baggage	197.02	Jewelry - Fine	Settled	98.51	Settle
89916	2006081511012	2006-08-14 00:00:00	2006-07-24 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	30.0	Scissors, Shears (other than electric)	Settled	15.0	Settle
90032	2006082111325	2006-08-16 00:00:00	2006-08-02 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	243.98	Clothing - Shoes, belts, accessories, etc.*Electrical and Gas Appliances Minor - $200 or less (humidifiers, tv's, etc)	Settled	122.0	Settle
91491	2006092012920	2006-09-12 00:00:00	2006-09-07 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Alaska Airlines	Passenger Property Loss	Checked Baggage	219.99	Cameras - Digital	Denied	0.0	Deny
92218	2006100213504	2006-09-27 00:00:00	2006-05-13 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	UAL	Passenger Property Loss	Checked Baggage	350.0	Jewelry - Fine	Denied	0.0	Deny
93820	2006110915408	2006-10-30 00:00:00	2006-10-02 00:00:00	EUG	Eugene Airport/Mahlon Sweet Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	23.94	Clothing - Shoes, belts, accessories, etc.*Locks	Approved	23.94	Approve in Full
