id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
2803	0224108L	2003-02-24 00:00:00	2003-01-13 00:00:00	F	Foreign airport	America West	Passenger Property Loss	Checked Baggage	282.0	Electronics	Denied	0.0	Deny
3507	2004083061624	2003-03-11 00:00:00	2003-02-14 00:00:00	F	Foreign airport	UAL	Passenger Property Loss	Checked Baggage	232.52	Other	Denied	0.0	Deny
3846	0318111L	2003-03-18 00:00:00	2003-02-15 00:00:00	F	Foreign airport		Passenger Property Loss	Checked Baggage	65.0	Other	Denied	0.0	Deny
4372	0331021L	2003-03-31 00:00:00	2003-03-17 00:00:00	F	Foreign airport	Alitalia	Passenger Property Loss	Checked Baggage	961.13	Clothing & Accessories	Denied	0.0	Deny
6576	0515026L	2003-05-15 00:00:00	2003-03-15 00:00:00	F	Foreign airport	Continental Airlines	Passenger Property Loss	Checked Baggage	239.99	Electronics	Denied	0.0	Deny
7843	0605026L	2003-06-05 00:00:00	2003-02-08 00:00:00	F	Foreign airport	American Airlines	Passenger Property Loss	Checked Baggage	978.28	Watches & Jewelry	Denied	891.06	Deny
9030	0620025M	2003-06-20 00:00:00	2003-03-19 00:00:00	F	Foreign airport	Alaska Airlines	Passenger Property Loss	Checkpoint	1319.0	Electronics	Denied	1319.0	Deny
10932	0715172M	2003-07-15 00:00:00	2003-07-04 00:00:00	F	Foreign airport	UAL	Passenger Property Loss	Checked Baggage	3450.0	Electronics	Denied	0.0	Deny
11053	0716044M	2003-07-16 00:00:00	2003-06-30 00:00:00	F	Foreign airport	American Airlines	Passenger Property Loss	Checked Baggage	1334.0	Other	Denied	0.0	Deny
11464	0722009M	2003-07-22 00:00:00	2003-06-16 00:00:00	F	Foreign airport	UAL	Passenger Property Loss	Checked Baggage	160.0	Electronics	Denied	0.0	Deny
11917	0729045M	2003-07-29 00:00:00	2003-06-26 00:00:00	F	Foreign airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	750.0	Electronics	Denied	750.0	Deny
11937	0729147M	2003-07-29 00:00:00	2003-07-10 00:00:00	F	Foreign airport		Passenger Property Loss	Checkpoint	220.96	Clothing & Accessories	Denied	0.0	Deny
12213	0731083M	2003-07-31 00:00:00	2003-07-05 00:00:00	F	Foreign airport	USAir	Passenger Property Loss	Checkpoint	50.0	Other	Denied	0.0	Deny
12352	0801097M	2003-08-01 00:00:00	2003-07-12 00:00:00	F	Foreign airport	Aero Mexico	Passenger Property Loss	Checked Baggage	1909.33	Electronics	Denied	0.0	Deny
12531	0805034M	2003-08-05 00:00:00	2003-03-16 00:00:00	F	Foreign airport	UAL	Passenger Property Loss	Checked Baggage	741.0	Other	Denied	0.0	Deny
12644	0806074M	2003-08-06 00:00:00	2003-06-16 00:00:00	F	Foreign airport	UAL	Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Denied	200.0	Deny
12693	0806053M	2003-08-06 00:00:00	2003-05-17 00:00:00	F	Foreign airport		Passenger Property Loss	Checked Baggage	500.0	Electronics	Settled	250.0	Settle
13116	0813029M	2003-08-13 00:00:00	2003-07-20 00:00:00	F	Foreign airport		Passenger Property Loss	Checked Baggage	180.0	Clothing & Accessories	Denied	0.0	Deny
14380	0826154M	2003-08-26 00:00:00	2003-08-16 00:00:00	F	Foreign airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	877.84	Other	Denied	0.0	Deny
16553	0925189M	2003-09-25 00:00:00	2003-08-08 00:00:00	F	Foreign airport		Passenger Property Loss	Checked Baggage	338.9	Electronics	Denied	0.0	Deny
16602	0925391M	2003-09-25 00:00:00	2003-07-31 00:00:00	F	Foreign airport	Mexicana	Passenger Property Loss	Checked Baggage	1000.0	Other	Denied	0.0	Deny
17102	1002160M	2003-10-02 00:00:00	2003-05-10 00:00:00	F	Foreign airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	299.99	Electronics	Denied	0.0	Deny
18776	1022349M	2003-10-22 00:00:00	2003-10-11 00:00:00	F	Foreign airport	Air Jamaica	Passenger Property Loss	Checked Baggage	1598.0	Electronics	Denied	0.0	Deny
19219	1030502M	2003-10-30 00:00:00	2003-08-15 00:00:00	F	Foreign airport	Air Canada	Passenger Property Loss	Checked Baggage	813.0	Other	Denied	813.0	Deny
19912	1107483M	2003-11-07 00:00:00	2003-08-17 00:00:00	F	Foreign airport	USA 3000 (U5)	Passenger Property Loss	Checked Baggage	2360.0	Watches & Jewelry	Denied	0.0	Deny
20321	1117168M	2003-11-17 00:00:00	2003-10-29 00:00:00	F	Foreign airport		Passenger Property Loss	Checked Baggage	1840.0	Electronics	Denied	0.0	Deny
20368	1117369M	2003-11-17 00:00:00	2003-10-29 00:00:00	F	Foreign airport	Air Jamaica	Passenger Property Loss	Checked Baggage	925.0	Watches & Jewelry	Denied	0.0	Deny
20390	1117493M	2003-11-17 00:00:00		F	Foreign airport	Aero Mexico	Passenger Property Loss	Checked Baggage	745.0	Clothing & Accessories	Denied	0.0	Deny
21321	1205230M	2003-12-03 00:00:00	2003-11-19 00:00:00	F	Foreign airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	89.0	Electronics	Denied		Deny
22226	1208024M	2003-12-08 00:00:00	2003-11-28 00:00:00	F	Foreign airport		Passenger Property Loss	Checked Baggage	160.0	Electronics	Denied	0.0	Deny
23333	1222114M	2003-12-22 00:00:00	2003-12-06 00:00:00	F	Foreign airport		Passenger Property Loss	Checked Baggage	200.0	Electronics	Denied	0.0	Deny
23829	0105363M	2004-01-05 00:00:00	2003-09-20 00:00:00	F	Foreign airport		Passenger Property Loss	Other	100.0	Cosmetics	Denied	0.0	Deny
23864	0105544M	2004-01-05 00:00:00	2003-10-02 00:00:00	F	Foreign airport		Passenger Property Loss	Checked Baggage	250.0	Electronics	Denied	250.0	Deny
27177	0205111M	2004-02-05 00:00:00	2003-10-13 00:00:00	F	Foreign airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	1854.69	Other	Denied	1854.69	Deny
27452	0210053M	2004-02-10 00:00:00	2004-01-29 00:00:00	F	Foreign airport	Alaska Airlines	Passenger Property Loss	Other	211.38	Watches & Jewelry	Denied	0.0	Deny
27464	0210100M	2004-02-10 00:00:00	2003-12-17 00:00:00	F	Foreign airport	American Airlines	Passenger Property Loss	Checked Baggage	192.25	Electronics	Denied	0.0	Deny
27465	0210101M	2004-02-10 00:00:00	2004-01-06 00:00:00	F	Foreign airport		Passenger Property Loss	Checked Baggage	7600.0	Watches & Jewelry	Denied	0.0	Deny
28194	0219473M	2004-02-19 00:00:00	2004-01-30 00:00:00	F	Foreign airport	American Airlines	Passenger Property Loss	Checked Baggage	4775.0	Watches & Jewelry	Denied	0.0	Deny
28206	0219577M	2004-02-19 00:00:00	2003-10-31 00:00:00	F	Foreign airport	Singapore Airlines	Passenger Property Loss	Checked Baggage	1941.0	Other	Denied	1941.0	Deny
28459	0223196M	2004-02-23 00:00:00	2003-09-06 00:00:00	F	Foreign airport	America West	Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Approved	100.0	Approve in Full
