id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
8785	0617093L	2003-06-17 00:00:00	2003-06-06 00:00:00	FAI	Fairbanks International		Passenger Property Loss	Checked Baggage	67.0	Other	Settled	33.5	Settle
12826	0808007M	2003-08-08 00:00:00	2003-07-14 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	729.0	Cameras - Digital	Settled	364.5	Settle
17381	1006089M	2003-10-06 00:00:00	2003-09-14 00:00:00	FAI	Fairbanks International	Northwest Airlines	Passenger Property Loss	Checked Baggage	55.0	Other	Denied	0.0	Deny
18384	1021305M	2003-10-21 00:00:00	2003-08-12 00:00:00	FAI	Fairbanks International	Northwest Airlines	Passenger Property Loss	Checked Baggage	230.0	Jewelry - Fine	Denied	0.0	Deny
19688	1107158M	2003-11-07 00:00:00	2003-10-03 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	24.0	Locks	Approved	24.0	Approve in Full
36334	2004070858756	2004-05-27 00:00:00	2004-01-24 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	815.0	Other	Denied	0.0	Deny
38677	2004071058975	2004-06-25 00:00:00	2004-05-22 00:00:00	FAI	Fairbanks International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	380.15	Cameras - Digital	Approved	380.15	Approve in Full
40518	2004081061051	2004-07-20 00:00:00	2004-07-10 00:00:00	FAI	Fairbanks International		Passenger Property Loss	Checked Baggage	450.0	Other	Approved	450.0	Approve in Full
40663	2004072760138	2004-07-20 00:00:00	2004-05-15 00:00:00	FAI	Fairbanks International		Passenger Property Loss	Checked Baggage	450.0	Other	Settled	225.0	Settle
42938	2004092964240	2004-08-19 00:00:00	2004-08-08 00:00:00	FAI	Fairbanks International	AirTran Airlines	Passenger Property Loss	Checked Baggage	1986.49	DVD/CD Players	Settled	279.8	Settle
43016	2004091663048	2004-08-24 00:00:00	2004-07-24 00:00:00	FAI	Fairbanks International	Northwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Clothing - Shoes, belts, accessories, etc.	Approved	25.0	Approve in Full
44568	2004102765762	2004-09-10 00:00:00	2004-08-16 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	440.0	Currency	Denied	0.0	Deny
44711	2004092263370	2004-09-14 00:00:00	2004-08-15 00:00:00	FAI	Fairbanks International	Northwest Airlines	Passenger Property Loss	Checked Baggage	9.71	Other	Approved	9.71	Approve in Full
45660	2004120168139	2004-09-23 00:00:00	2004-08-13 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	45.0	Other	Approved	45.0	Approve in Full
45860	2004110866680	2004-09-23 00:00:00	2004-09-03 00:00:00	FAI	Fairbanks International	British Airways	Passenger Property Loss	Checked Baggage	138.0	Other	Settled	69.0	Settle
46581	2004111767282	2004-10-05 00:00:00	2004-09-16 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	20.0	Locks	Approved	20.0	Approve in Full
49588	2004122069692	2004-11-09 00:00:00	2004-08-28 00:00:00	FAI	Fairbanks International	UAL	Passenger Property Loss	Checkpoint	500.0	Jewelry - Fine	Denied	0.0	Deny
50529	2004122971493	2004-11-23 00:00:00	2004-10-30 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	54.0	Other	Approved	54.0	Approve in Full
51351	2004122270322	2004-12-07 00:00:00	2004-11-19 00:00:00	FAI	Fairbanks International		Passenger Property Loss	Checked Baggage	79.0	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
54640	2005013175048	2005-01-14 00:00:00	2004-12-21 00:00:00	FAI	Fairbanks International	American Airlines	Passenger Property Loss	Checked Baggage	75.0	Other	Settled	50.0	Settle
56656	2005031077553	2005-02-07 00:00:00	2004-12-22 00:00:00	FAI	Fairbanks International		Passenger Property Loss	Checked Baggage	314.98	Clothing - Shoes, belts, accessories, etc.	Settled	113.49	Settle
57064	2005031277945	2005-02-11 00:00:00	2004-12-18 00:00:00	FAI	Fairbanks International		Passenger Property Loss	Checked Baggage	60.0	DVD/CD Players	Approved	60.0	Approve in Full
58449	2005032379409	2005-03-07 00:00:00	2005-02-18 00:00:00	FAI	Fairbanks International		Passenger Property Loss	Checked Baggage	14.95	Other	Approved	14.95	Approve in Full
59862	2005033180876	2005-03-23 00:00:00	2005-02-09 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	59.73	Other	Approved	59.73	Approve in Full
61261	2005041182098	2005-04-07 00:00:00	2005-03-30 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checkpoint	499.0	Cameras - Digital	Settled	123.0	Settle
63013	2005050484024	2005-05-02 00:00:00	2005-03-30 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	22.0	Other	Denied	0.0	Deny
63063	2005050484080	2005-05-03 00:00:00	2005-04-14 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	99.49	Other	Approved	99.49	Approve in Full
63500	2005051184452	2005-05-10 00:00:00	2005-04-07 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	22.9	Other	Approved	22.9	Approve in Full
64010	2005051884960	2005-05-16 00:00:00	2005-05-09 00:00:00	FAI	Fairbanks International	Alaska Airlines	Passenger Property Loss	Checked Baggage	625.45	Medicines	Settled	224.74	Settle
