id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
9036	0620027M	2003-06-20 00:00:00	2003-05-22 00:00:00	FAT	Fresno Yosemite International	Delta Air Lines	Passenger Property Loss	Checkpoint	100.0	Cameras - Digital	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
17743	1009254M	2003-10-09 00:00:00	2003-08-25 00:00:00	FAT	Fresno Yosemite International		Passenger Property Loss	Checkpoint	100.0	Cell Phones	Denied	0.0	Deny
20102	1117088M	2003-11-17 00:00:00	2003-10-07 00:00:00	FAT	Fresno Yosemite International	UAL	Passenger Property Loss	Checked Baggage	84.18	Other	Approved	84.18	Approve in Full
22352	1208257M	2003-12-08 00:00:00	2003-10-14 00:00:00	FAT	Fresno Yosemite International	America West	Passenger Property Loss	Checkpoint		Jewelry - Fine	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
30101	2004060254313	2004-03-11 00:00:00	2004-02-20 00:00:00	FAT	Fresno Yosemite International	American Airlines	Passenger Property Loss	Checked Baggage	93.68	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
32362	2004072760140	2004-04-14 00:00:00	2004-03-23 00:00:00	FAT	Fresno Yosemite International	Alaska Airlines	Passenger Property Loss	Checked Baggage	75.0	Other	Approved	75.0	Approve in Full
32451	2004052853732	2004-04-15 00:00:00	2004-02-25 00:00:00	FAT	Fresno Yosemite International		Passenger Property Loss	Checked Baggage	120.0	Other	Approved	120.0	Approve in Full
35908	2004061856248	2004-05-27 00:00:00	2004-05-02 00:00:00	FAT	Fresno Yosemite International	UAL	Passenger Property Loss	Checked Baggage	195.0	Other	Approved	195.0	Approve in Full
41694	2004090362170	2004-08-05 00:00:00	2004-06-09 00:00:00	FAT	Fresno Yosemite International	Alaska Airlines	Passenger Property Loss	Checked Baggage	53.83	Locks	Approved	53.83	Approve in Full
42235	2004112367709	2004-08-10 00:00:00	2004-04-28 00:00:00	FAT	Fresno Yosemite International		Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
44909	2004103165977	2004-09-15 00:00:00	2004-08-03 00:00:00	FAT	Fresno Yosemite International		Passenger Property Loss	Checkpoint	407.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
45385	2004110666539	2004-09-20 00:00:00	2004-07-29 00:00:00	FAT	Fresno Yosemite International	UAL	Passenger Property Loss	Checked Baggage	668.81	Cameras - Digital	Approved	668.81	Approve in Full
47001	2004112267624	2004-10-08 00:00:00	2004-08-15 00:00:00	FAT	Fresno Yosemite International	America West	Passenger Property Loss	Checked Baggage	440.0	Clothing - Shoes, belts, accessories, etc.	Denied		Deny
47083	2004112367687	2004-10-12 00:00:00	2004-09-17 00:00:00	FAT	Fresno Yosemite International		Passenger Property Loss	Checked Baggage	10.0	Locks	Approved	10.0	Approve in Full
48867	2004122069598	2004-11-02 00:00:00	2004-10-21 00:00:00	FAT	Fresno Yosemite International		Passenger Property Loss	Checked Baggage	227.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied		Deny
49380	2004122270487	2004-11-05 00:00:00	2004-10-07 00:00:00	FAT	Fresno Yosemite International	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Other	Settled	149.0	Settle
