id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
753	21855	2002-12-17 00:00:00	2002-12-02 00:00:00	FLL	Ft. Lauderdale-Hollywood International	USAir	Passenger Property Loss	Checkpoint	250.0	Other	Approved	250.0	Approve in Full
782	21495	2002-12-18 00:00:00	2002-11-23 00:00:00	FLL	Ft. Lauderdale-Hollywood International	American Airlines	Passenger Property Loss	Checkpoint	60.0	Electronics	Approved	60.0	Approve in Full
1048	0616807L	2002-12-31 00:00:00	2002-11-07 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Delta Air Lines	Passenger Property Loss	Checkpoint	130.0	Clothing & Accessories	Denied	0.0	Deny
1178	0715518M	2003-01-08 00:00:00	2002-11-10 00:00:00	FLL	Ft. Lauderdale-Hollywood International	UAL	Passenger Property Loss	Checkpoint	125.0	Other	Approved	125.0	Approve in Full
1190	20816	2003-01-08 00:00:00	2002-11-10 00:00:00	FLL	Ft. Lauderdale-Hollywood International	UAL	Passenger Property Loss	Other	107.17	Watches & Jewelry	Canceled		
1330	0617525L	2003-01-14 00:00:00	2002-12-31 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checkpoint	8.0	Other	Approved	8.0	Approve in Full
1626	0616770L	2003-01-22 00:00:00	2002-12-23 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checkpoint	381.47	Clothing & Accessories	Approved	381.0	Approve in Full
1766	0617616L	2003-01-22 00:00:00	2003-01-07 00:00:00	FLL	Ft. Lauderdale-Hollywood International	USAir	Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry	Settled	75.0	Settle
1788	0123010L	2003-01-23 00:00:00	2002-11-01 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checkpoint		Other	Canceled	0.0	
1861	0127068L	2003-01-27 00:00:00	2003-01-13 00:00:00	FLL	Ft. Lauderdale-Hollywood International	American Airlines	Passenger Property Loss	Checked Baggage	150.0	Other	Approved	150.0	Approve in Full
1921	0128050L	2003-01-28 00:00:00	2003-01-06 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1425.0	Watches & Jewelry	Approved	1425.0	Approve in Full
1988	0129018L	2003-01-29 00:00:00	2003-01-05 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checkpoint	255.0	Watches & Jewelry	Canceled		
2020	0129065L	2003-01-29 00:00:00	2003-01-14 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Jet Blue	Passenger Property Loss	Checked Baggage	320.0	Cosmetics	Denied	0.0	Deny
2073	0130004L	2003-01-30 00:00:00	2003-01-19 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Settled	25.0	Settle
2157	0203024L	2003-02-03 00:00:00	2003-01-27 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checkpoint	500.0	Other	Denied	0.0	Deny
2212	0204053L	2003-02-04 00:00:00	2003-01-19 00:00:00	FLL	Ft. Lauderdale-Hollywood International	UAL	Passenger Property Loss	Checked Baggage	75.0	Cosmetics	Approved	75.0	Approve in Full
2245	0204021L	2003-02-04 00:00:00	2003-01-02 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checked Baggage	350.0	Clothing & Accessories	Settled	175.0	Settle
2280	0205026L	2003-02-05 00:00:00	2002-12-27 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Delta Air Lines	Passenger Property Loss	Checked Baggage	254.39	Clothing & Accessories	Canceled	0.0	
2326	0206019L	2003-02-06 00:00:00	2002-12-12 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Spirit Airlines	Passenger Property Loss	Checked Baggage	7368.0	Watches & Jewelry	Denied	0.0	Deny
2370	0210026L	2003-02-10 00:00:00	2002-11-19 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checkpoint	90.0	Clothing & Accessories	Closed as a contractor claim		
2521	0212005L	2003-02-12 00:00:00	2003-01-22 00:00:00	FLL	Ft. Lauderdale-Hollywood International	American Airlines	Passenger Property Loss	Other	740.94	Clothing & Accessories	Approved	741.0	Approve in Full
2607	0213006L	2003-02-13 00:00:00	2003-01-16 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Spirit Airlines	Passenger Property Loss	Checked Baggage	100.0	Other	Settled	50.0	Settle
2679	0221040L	2003-02-21 00:00:00	2003-01-31 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Northwest Airlines	Passenger Property Loss	Checked Baggage	14.95	Other	Approved	14.95	Approve in Full
2688	0221043L	2003-02-21 00:00:00	2003-01-23 00:00:00	FLL	Ft. Lauderdale-Hollywood International	USAir	Passenger Property Loss	Checked Baggage	1500.0	Other	Canceled	0.0	
2836	0225031L	2003-02-25 00:00:00	2003-01-24 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checked Baggage	25.0	Clothing & Accessories	Approved	25.0	Approve in Full
3411	0311145L	2003-03-11 00:00:00	2003-02-22 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Delta Air Lines	Passenger Property Loss	Checked Baggage	100.0	Other	Approved	100.0	Approve in Full
3634	0313041L	2003-03-13 00:00:00	2003-02-02 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checkpoint	400.0	Clothing & Accessories	Settled	250.0	Settle
3691	0314033L	2003-03-14 00:00:00	2003-02-12 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Spirit Airlines	Passenger Property Loss	Checked Baggage	119.15	Clothing & Accessories	Settled	83.41	Settle
3731	0317026L	2003-03-17 00:00:00	2003-01-18 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checked Baggage	1200.0	Electronics	Denied	0.0	Deny
3907	0318118L	2003-03-18 00:00:00	2003-02-10 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checked Baggage	2906.25	Other	Settled	1453.13	Settle
3984	0320005L	2003-03-20 00:00:00	2003-02-16 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Delta Air Lines	Passenger Property Loss	Checked Baggage	265.0	Watches & Jewelry	Settled	132.5	Settle
4110	1023802M	2003-03-25 00:00:00	2003-03-01 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checkpoint		Clothing & Accessories	Canceled		
4279	0326009L	2003-03-26 00:00:00	2003-02-03 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Settled	25.0	Settle
4387	0331020L	2003-03-31 00:00:00	2003-02-18 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Delta Air Lines	Passenger Property Loss	Checked Baggage	904.88	Other	Settled	306.88	Settle
4411	0401093L	2003-04-01 00:00:00	2003-01-26 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Delta Air Lines	Passenger Property Loss	Checked Baggage	510.0	Clothing & Accessories	Approved	510.0	Approve in Full
4534	0402055L	2003-04-02 00:00:00	2003-02-23 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Spirit Airlines	Passenger Property Loss	Checked Baggage	89.0	Clothing & Accessories	Approved	89.0	Approve in Full
4537	0402079L	2003-04-02 00:00:00	2003-02-24 00:00:00	FLL	Ft. Lauderdale-Hollywood International	AirTran Airlines	Passenger Property Loss	Checked Baggage	82.0	Clothing & Accessories	Approved	82.0	Approve in Full
4554	0402012L	2003-04-02 00:00:00	2003-03-24 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Delta Air Lines	Passenger Property Loss	Checked Baggage	125.0	Other	Denied	0.0	Deny
4765	0408030L	2003-04-08 00:00:00	2003-03-18 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Jet Blue	Passenger Property Loss	Checked Baggage	8325.0	Watches & Jewelry	Denied	8325.0	Deny
4901	0409002L	2003-04-09 00:00:00	2003-03-25 00:00:00	FLL	Ft. Lauderdale-Hollywood International	American Airlines	Passenger Property Loss	Checked Baggage	750.0	Electronics	Settled	375.0	Settle
4911	0409043L	2003-04-09 00:00:00	2003-03-18 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Jet Blue	Passenger Property Loss	Checked Baggage	2159.56	Electronics	Settled	1079.78	Settle
5086	0415021L	2003-04-15 00:00:00	2003-03-20 00:00:00	FLL	Ft. Lauderdale-Hollywood International	Delta Air Lines	Passenger Property Loss	Checked Baggage	79.99	Other	Settled	40.0	Settle
5158	0416025L	2003-04-16 00:00:00	2003-03-24 00:00:00	FLL	Ft. Lauderdale-Hollywood International		Passenger Property Loss	Checked Baggage	110.0	Other	Denied	0.0	Deny
