id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1404	25058	2003-01-14 00:00:00	2002-10-18 00:00:00	FNT	Bishop International, Flint	AirTran Airlines	Passenger Property Loss	Checked Baggage	250.0	Other	Denied	0.0	Deny
2718	0702562M	2003-02-21 00:00:00	2002-12-03 00:00:00	FNT	Bishop International, Flint	Delta Air Lines	Passenger Property Loss	Checked Baggage	100.0	Cell Phones	Settled	50.0	Settle
15376	0908079M	2003-09-08 00:00:00	2003-07-23 00:00:00	FNT	Bishop International, Flint		Passenger Property Loss	Checked Baggage	192.0	Eyeglasses - (including contact lenses)	Settled	96.0	Settle
21652	1205218M	2003-12-05 00:00:00	2003-11-21 00:00:00	FNT	Bishop International, Flint	Northwest Airlines	Passenger Property Loss	Checked Baggage	2890.0	Jewelry - Fine	Denied	0.0	Deny
23792	0105173M	2004-01-05 00:00:00	2003-12-21 00:00:00	FNT	Bishop International, Flint		Passenger Property Loss	Checked Baggage	350.0	Other	Denied	0.0	Deny
28839	0226301M	2004-02-26 00:00:00	2004-02-07 00:00:00	FNT	Bishop International, Flint	Northwest Airlines	Passenger Property Loss	Checked Baggage	539.97	Other	Canceled	0.0	
32971	2004060354604	2004-04-21 00:00:00	2004-03-24 00:00:00	FNT	Bishop International, Flint	Delta Air Lines	Passenger Property Loss	Checked Baggage	37.78	Other	Approved	37.78	Approve in Full
34980	2004061455660	2004-05-10 00:00:00	2004-04-28 00:00:00	FNT	Bishop International, Flint		Passenger Property Loss	Checked Baggage	818.96	Jewelry - Fine	Denied	0.0	Deny
35121	2004061055360	2004-05-13 00:00:00	2004-04-30 00:00:00	FNT	Bishop International, Flint		Passenger Property Loss	Checked Baggage	306.16	Jewelry - Fine	Approved	306.16	Approve in Full
36661	2004062357023	2004-06-02 00:00:00	2004-05-13 00:00:00	FNT	Bishop International, Flint	Delta Air Lines	Passenger Property Loss	Checkpoint	30.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	30.0	Approve in Full
