id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
3482	0311101L	2003-03-11 00:00:00	2003-02-26 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	UAL	Passenger Property Loss	Checked Baggage	170.0	Locks	Denied	0.0	Deny
35493	2004061455586	2004-05-19 00:00:00	2004-03-18 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	British Midland Airways Ltd	Passenger Property Loss	Checked Baggage	40.0	Other	Approved	40.0	Approve in Full
35732	2004061756084	2004-05-19 00:00:00	2004-04-15 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	3299.34	Jewelry - Fine	Settled	242.25	Settle
38943	2004071459330	2004-06-29 00:00:00	2004-06-10 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	65.0	Other	Denied	0.0	Deny
42579	2004092263455	2004-08-13 00:00:00	2004-08-07 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	UAL	Passenger Property Loss	Checked Baggage	36.43	Locks	Approved	36.43	Approve in Full
42628	2004092163292	2004-08-13 00:00:00	2004-06-02 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	American Eagle	Passenger Property Loss	Checked Baggage	150.1	Other	Settled	75.05	Settle
43843	2004110466346	2004-08-31 00:00:00	2004-07-09 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	US Express	Passenger Property Loss	Checkpoint	550.0	Other	Settled	475.22	Settle
50236	2004122871389	2004-11-18 00:00:00	2004-09-20 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	AirTran Airlines	Passenger Property Loss	Checked Baggage	2100.0	Jewelry - Fine	Denied	0.0	Deny
52337	2005010572924	2004-12-17 00:00:00	2004-12-05 00:00:00	FWA	Ft. Wayne Municipal- Baer Field		Passenger Property Loss	Checked Baggage	264.0	Other	Denied		Deny
62531	2005042783496	2005-04-26 00:00:00	2005-04-13 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	20.83	Locks	Approved	20.83	Approve in Full
64026	2005051985050	2005-05-17 00:00:00	2005-04-22 00:00:00	FWA	Ft. Wayne Municipal- Baer Field		Passenger Property Loss	Checked Baggage	35.0	Cell Phones	Approved	35.0	Approve in Full
64668	2005053185562	2005-05-24 00:00:00	2005-03-04 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	ATA Aerocondor	Passenger Property Loss	Checked Baggage	59.0	Other	Denied	0.0	Deny
72487	2005093093520	2005-09-21 00:00:00	2005-08-26 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Hooters Air (PACE)	Passenger Property Loss	Checked Baggage	165.0	Clothing - Shoes, belts, accessories, etc.	Approved	165.0	Approve in Full
77140	2005122898538	2005-12-14 00:00:00	2005-11-21 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	US Express	Passenger Property Loss	Checked Baggage	2969.97	Computer - Laptop	Settled	742.49	Settle
81054	2006022702200	2006-02-23 00:00:00	2006-01-27 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Continental Airlines	Passenger Property Loss	Checked Baggage	27.0	Clothing - Shoes, belts, accessories, etc.	Approved	27.0	Approve in Full
84658	2006051106046	2006-05-02 00:00:00	2006-04-26 00:00:00	FWA	Ft. Wayne Municipal- Baer Field		Passenger Property Loss	Checked Baggage	79.0	Kitchen Utensils -Pots, Pans, Knives (heavy aluminum, cast iron, etc.)	Approved	79.0	Approve in Full
92862	2006101213945	2006-10-11 00:00:00	2006-09-28 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	118.18	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
94589	2006111615739	2006-11-13 00:00:00	2006-08-21 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	UAL	Passenger Property Loss	Checked Baggage	157.99	Clothing - Shoes, belts, accessories, etc.	Settled	78.99	Settle
95627	2006121116890	2006-12-04 00:00:00	2006-11-26 00:00:00	FWA	Ft. Wayne Municipal- Baer Field		Passenger Property Loss	Checked Baggage	72.08	Clothing - Shoes, belts, accessories, etc.	Settled	36.04	Settle
97934	2007012419371	2007-01-11 00:00:00	2006-11-21 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.6	Clothing - Shoes, belts, accessories, etc.	Approved	10.6	Approve in Full
98691	2007012919670	2007-01-24 00:00:00	2006-10-21 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	5.99	Locks	Approved	5.99	Approve in Full
98778	2007013019825	2007-01-25 00:00:00	2006-12-08 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	318.0	Jewelry - Costume*Luggage (all types including footlockers)	Approved	318.0	Approve in Full
101726	2007032622972	2007-03-22 00:00:00	2007-03-16 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	American Airlines	Passenger Property Loss	Checked Baggage	3180.0	Game Equipment (poker chips, checker sets, chess etc.)*Other*Toys (game systems, cartridges, radio controlled cars, etc.)	Denied	0.0	Deny
101803	2007032723064	2007-03-23 00:00:00	2007-02-01 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	UAL	Passenger Property Loss	Checked Baggage	568.8	Other	Denied	0.0	Deny
101910	2007033023251	2007-03-27 00:00:00	2007-02-23 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	American Airlines	Passenger Property Loss	Checked Baggage	25.99	Locks	Approved	25.99	Approve in Full
109817	2007082830955	2007-08-27 00:00:00	2007-08-02 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	459.98	GPS - Global Positioning System	Settled	229.99	Settle
112450	2007102533921	2007-10-19 00:00:00	2007-08-31 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	UAL	Passenger Property Loss	Checked Baggage	205.0	Cell Phones*Eyeglasses - (including contact lenses)	Denied	0.0	Deny
114563	2007120536056	2007-11-30 00:00:00	2007-11-13 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	3850.0	Books - Bibles & Bound classics*Clothing - Shoes, belts, accessories, etc.*Locks	In litigation		Deny
114857	2007121036266	2007-12-07 00:00:00	2007-11-27 00:00:00	FWA	Ft. Wayne Municipal- Baer Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	67.82	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
