id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
692	0616693L	2002-12-16 00:00:00	2002-10-20 00:00:00	GEG	Spokane International		Passenger Property Loss	Checkpoint	30.0	Other	Approved	30.0	Approve in Full
1933	0128053L	2003-01-28 00:00:00	2003-01-07 00:00:00	GEG	Spokane International	Northwest Airlines	Passenger Property Loss	Checked Baggage	57.0	Clothing & Accessories	Canceled		
2534	0212048L	2003-02-12 00:00:00	2003-12-23 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	90.95	Clothing & Accessories	Approved	90.95	Approve in Full
3054	0227005L	2003-02-27 00:00:00	2003-02-13 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	325.0	Other	Settled	165.0	Settle
3248	0305067L	2003-03-05 00:00:00	2003-02-10 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	38.0	Watches & Jewelry	Approved	38.0	Approve in Full
3293	0305053L	2003-03-05 00:00:00	2003-02-21 00:00:00	GEG	Spokane International	America West	Passenger Property Loss	Checked Baggage	756.0	Electronics,Clothing & Accessories,Clothing & Accessories	Settled	378.0	Settle
3843	0318106L	2003-03-18 00:00:00	2003-02-01 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	102.6	Other	Denied	0.0	Deny
3874	0318020L	2003-03-18 00:00:00	2003-02-26 00:00:00	GEG	Spokane International	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Other	Settled	150.0	Settle
4001	0321017L	2003-03-21 00:00:00	2003-02-25 00:00:00	GEG	Spokane International	Southwest Airlines	Passenger Property Loss	Checked Baggage	40.0	Other	Approved	40.0	Approve in Full
4208	0325144L	2003-03-25 00:00:00	2003-03-08 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	4500.0	Electronics	Settled	730.0	Settle
4343	0328005L	2003-03-28 00:00:00	2003-03-08 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	40.0	Cosmetics	Settled	20.0	Settle
4816	0408035L	2003-04-08 00:00:00	2003-01-31 00:00:00	GEG	Spokane International	America West	Passenger Property Loss	Checked Baggage	420.73	Other	Settled	210.5	Settle
4828	0408088L	2003-04-08 00:00:00	2003-03-17 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	75.0	Watches & Jewelry	Settled	37.5	Settle
4847	0714542M	2003-04-08 00:00:00	2003-01-09 00:00:00	GEG	Spokane International	Southwest Airlines	Passenger Property Loss	Checked Baggage	3677.46	Electronics	Settled	1838.73	Settle
5030	0415028L	2003-04-15 00:00:00	2003-03-18 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	108.24	Other	Approved	108.24	Approve in Full
5080	0415000L	2003-04-15 00:00:00	2003-03-20 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	51.59	Other	Settled	22.8	Settle
5338	0421048L	2003-04-21 00:00:00	2003-03-18 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
6197	0506111L	2003-05-06 00:00:00	2003-01-01 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	53.0	Other	Settled	26.5	Settle
7183	0529077L	2003-05-29 00:00:00	2003-05-11 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	20.0	Other	Approved	20.0	Approve in Full
7862	0605011L	2003-06-05 00:00:00	2003-05-12 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	132.0	Clothing & Accessories	Settled	66.0	Settle
8041	0609028L	2003-06-09 00:00:00	2003-04-16 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	25.0	Watches & Jewelry	Settled	8.0	Settle
8122	0610113L	2003-06-10 00:00:00	2003-05-20 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	140.0	Clothing & Accessories	Approved	140.0	Approve in Full
8312	0610227L	2003-06-10 00:00:00	2003-04-26 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	110.0	Other	Settled	55.0	Settle
8517	0616119L	2003-06-16 00:00:00	2003-05-30 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	50.0	Outdoors Supplies	Approved	50.0	Approve in Full
8612	0616050L	2003-06-16 00:00:00	2003-04-19 00:00:00	GEG	Spokane International	UAL	Passenger Property Loss	Checked Baggage	55.0	Clothing & Accessories	Settled	27.5	Settle
8988	0619008L	2003-06-19 00:00:00	2003-05-17 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	600.0	Watches & Jewelry	Settled	300.0	Settle
9553	0626045M	2003-06-26 00:00:00	2003-05-07 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	1238.64	Electronics	Settled	236.66	Settle
9652	0701008M	2003-07-01 00:00:00	2003-05-15 00:00:00	GEG	Spokane International		Passenger Property Loss	Checkpoint	10.02	Cosmetics	Approved	10.0	Approve in Full
9948	0702042M	2003-07-02 00:00:00	2003-06-21 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	400.0	Clothing & Accessories	Settled	100.0	Settle
10159	0707054M	2003-07-07 00:00:00	2003-06-17 00:00:00	GEG	Spokane International	Delta Air Lines	Passenger Property Loss	Checked Baggage	85.0	Other	Settled	63.75	Settle
10799	0715059M	2003-07-15 00:00:00	2003-07-07 00:00:00	GEG	Spokane International	Northwest Airlines	Passenger Property Loss	Checked Baggage	47.0	Other	Approved	47.0	Approve in Full
11105	0717099M	2003-07-17 00:00:00	2003-07-01 00:00:00	GEG	Spokane International	Delta Air Lines	Passenger Property Loss	Checked Baggage	45.0	Other	Approved	45.0	Approve in Full
11374	0721037M	2003-07-21 00:00:00	2003-06-27 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checkpoint	209.0	Clothing & Accessories	Settled	197.99	Settle
11499	0722053M	2003-07-22 00:00:00	2003-06-23 00:00:00	GEG	Spokane International	Delta Air Lines	Passenger Property Loss	Checked Baggage	900.0	Electronics	Settled	236.39	Settle
11693	0725005M	2003-07-25 00:00:00	2003-07-01 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	41.0	Cosmetics	Approved	41.0	Approve in Full
11871	0729172M	2003-07-29 00:00:00	2003-07-09 00:00:00	GEG	Spokane International	Northwest Airlines	Passenger Property Loss	Checked Baggage	175.0	Electronics	Approved	175.0	Approve in Full
12184	0731144M	2003-07-31 00:00:00	2003-05-26 00:00:00	GEG	Spokane International	UAL	Passenger Property Loss	Checked Baggage	162.0	Clothing & Accessories	Approved	162.0	Approve in Full
12452	0804005M	2003-08-04 00:00:00	2003-04-03 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	229.96	Electronics	Settled	114.98	Settle
13101	0813151M	2003-08-13 00:00:00	2003-07-18 00:00:00	GEG	Spokane International	UAL	Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Canceled		
13173	0813055M	2003-08-13 00:00:00	2003-07-31 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	35.0	Other	Settled	17.5	Settle
13232	0814049M	2003-08-14 00:00:00	2003-07-01 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	25.7	Clothing & Accessories	Approved	25.7	Approve in Full
13263	0814172M	2003-08-14 00:00:00	2003-07-27 00:00:00	GEG	Spokane International	UAL	Passenger Property Loss	Checked Baggage	14.95	Cosmetics	Approved	14.95	Approve in Full
13362	0814019M	2003-08-14 00:00:00	2003-07-27 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	171.21	Watches & Jewelry	Settled	85.6	Settle
13655	0818009M	2003-08-18 00:00:00	2003-01-11 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Settled	100.0	Settle
13889	0821080M	2003-08-21 00:00:00	2003-07-16 00:00:00	GEG	Spokane International	Delta Air Lines	Passenger Property Loss	Checked Baggage	43.1	Other	Approved	43.1	Approve in Full
14060	0822037M	2003-08-22 00:00:00	2003-07-01 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
14327	0826203M	2003-08-26 00:00:00	2003-08-02 00:00:00	GEG	Spokane International	Southwest Airlines	Passenger Property Loss	Checked Baggage	422.65	Other	Canceled		
14363	0826107M	2003-08-26 00:00:00	2003-08-10 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	170.0	Electronics	Denied	0.0	Deny
14366	0826116M	2003-08-26 00:00:00	2003-07-30 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	260.0	Watches & Jewelry	Denied	0.0	Deny
14393	0826191M	2003-08-26 00:00:00	2003-08-15 00:00:00	GEG	Spokane International	UAL	Passenger Property Loss	Checked Baggage	35.0	Other	Denied	0.0	Deny
15183	0905159M	2003-09-05 00:00:00	2003-07-04 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	5000.0	Watches & Jewelry	Denied	0.0	Deny
15585	0909086M	2003-09-09 00:00:00	2003-08-21 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Settled	100.0	Settle
16091	1215800M	2003-09-17 00:00:00	2003-02-06 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	300.0	Other	Canceled		
16394	0925252M	2003-09-25 00:00:00	2003-08-29 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	118.0	Clothing & Accessories	Approved	118.0	Approve in Full
16426	0925366M	2003-09-25 00:00:00	2003-08-21 00:00:00	GEG	Spokane International	America West	Passenger Property Loss	Checked Baggage	770.0	Other	Approved	770.0	Approve in Full
16718	0925177M	2003-09-25 00:00:00	2003-09-07 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	200.0	Other	Settled	55.0	Settle
17314	1006079M	2003-10-06 00:00:00	2003-09-20 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	27.11	Cosmetics	Approved	27.11	Approve in Full
17337	1006172M	2003-10-06 00:00:00		GEG	Spokane International		Passenger Property Loss	Other	150.0	Other	Approved	150.0	Approve in Full
17701	1009110M	2003-10-09 00:00:00	2003-09-02 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	300.0	Clothing & Accessories	Denied	0.0	Deny
19111	1029700M	2003-10-29 00:00:00	2003-02-06 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	300.0	Other	Settled	150.0	Settle
19424	1106036M	2003-11-06 00:00:00	2003-10-14 00:00:00	GEG	Spokane International	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.0	Other	Approved	10.0	Approve in Full
20180	1117382M	2003-11-17 00:00:00	2003-09-18 00:00:00	GEG	Spokane International		Passenger Property Loss	Checkpoint	167.0	Watches & Jewelry	Approved	167.0	Approve in Full
22578	1217145M	2003-12-17 00:00:00	2003-12-03 00:00:00	GEG	Spokane International	Continental Airlines	Passenger Property Loss	Checked Baggage	443.12	Watches & Jewelry	Approved	443.42	Approve in Full
22814	1217212M	2003-12-17 00:00:00	2003-11-20 00:00:00	GEG	Spokane International	Southwest Airlines	Passenger Property Loss	Checked Baggage	1000.0	Other	Denied	0.0	Deny
23042	1217249M	2003-12-17 00:00:00	2003-11-04 00:00:00	GEG	Spokane International	Southwest Airlines	Passenger Property Loss	Checked Baggage	461.27	Cosmetics	Settled	234.0	Settle
24172	0107263M	2004-01-07 00:00:00	2003-12-18 00:00:00	GEG	Spokane International	UAL	Passenger Property Loss	Checked Baggage	120.0	Other	Approved	120.0	Approve in Full
24540	0107419M	2004-01-07 00:00:00	2003-07-21 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	79.5	Clothing & Accessories	Settled	39.75	Settle
27983	2004052453182	2004-02-15 00:00:00	2004-02-20 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	34.0	Watches & Jewelry	Canceled	0.0	
28047	0219458M	2004-02-19 00:00:00	2003-12-29 00:00:00	GEG	Spokane International	Northwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Clothing & Accessories	Approved	25.0	Approve in Full
28095	0219665M	2004-02-19 00:00:00	2003-12-19 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
30574	2004051351598	2004-03-18 00:00:00	2003-02-22 00:00:00	GEG	Spokane International	USAir	Passenger Property Loss	Checked Baggage	35.0	Other	Approved	35.0	Approve in Full
31147	2004051351856	2004-03-24 00:00:00	2004-02-15 00:00:00	GEG	Spokane International		Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Approved	60.0	Approve in Full
31616	2004051351759	2004-03-30 00:00:00	2004-03-12 00:00:00	GEG	Spokane International	Alaska Airlines	Passenger Property Loss	Checked Baggage	72.49	Clothing & Accessories	Denied	0.0	Deny
31766	2004051452194	2004-04-01 00:00:00	2004-02-29 00:00:00	GEG	Spokane International	Southwest Airlines	Passenger Property Loss	Checked Baggage	53.0	Other	Approved	53.0	Approve in Full
31906	2004051752404	2004-04-01 00:00:00	2004-03-20 00:00:00	GEG	Spokane International		Passenger Property Loss	Checkpoint	50.0	Other	Denied	0.0	Deny
32376	2004052152967	2004-04-15 00:00:00	2004-03-18 00:00:00	GEG	Spokane International	UAL	Passenger Property Loss	Checked Baggage	358.49	Clothing & Accessories	Approved	358.49	Approve in Full
