id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
84508	2006050505704	2006-04-28 00:00:00	2006-03-18 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage	31.46	Electronics	Canceled	0.0	
93682	2006110615174	2006-10-26 00:00:00	2006-10-19 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Other	Approved	150.0	Approve in Full
97837	2007011818963	2007-01-10 00:00:00	2006-12-29 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage	47.5	Cosmetics	Canceled	0.0	
98420	2007012519532	2007-01-19 00:00:00	2006-12-27 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Northwest Airlines	Passenger Property Loss	Checked Baggage	29.0	Household Decor	Denied	0.0	Deny
99357	2007020920585	2007-02-05 00:00:00	2007-01-08 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Horizon Air	Passenger Property Loss	Checked Baggage	352.97	Electronics,Electronics	Denied	0.0	Deny
107168	2007071628441	2007-07-12 00:00:00	2007-07-08 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage	60.0	Tools & Machines	Approved	60.0	Approve in Full
127772	2008090849595	2008-09-03 00:00:00	2008-08-17 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage	119.0	Electronics	Denied	0.0	Deny
128950	2008100250704	2008-10-01 00:00:00	2008-06-06 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Alaska Airlines	Passenger Property Loss	Checked Baggage	1000.0	Weapons & Knives	Denied	0.0	Deny
142155	2009092964143	2009-09-28 00:00:00	2009-09-18 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Allegiant Air	Passenger Property Loss	Checked Baggage	70.32	Electronics,Other	Denied	0.0	Deny
142515	2009102164582	2009-10-08 00:00:00	2009-09-17 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage	950.0	Clothing & Accessories	Denied	0.0	Deny
145537	2010020468284	2010-02-01 00:00:00	2010-01-27 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Skywest Airlines Australia	Passenger Property Loss	Checked Baggage		Clothing & Accessories,Cosmetics,Other,Games & Toys		0.0	Deny
151082	2010080574463	2010-07-27 00:00:00	2010-07-10 06:30:00	GPI	Glacier Park Int., Kalispell, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories		0.0	Deny
152099	2010083175486	2010-08-24 00:00:00	2010-08-14 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage		Outdoors Supplies			
152534	2010091475972	2010-09-07 00:00:00	2010-08-19 06:00:00	GPI	Glacier Park Int., Kalispell, MT	UAL	Passenger Property Loss	Checked Baggage		Cosmetics		0.0	Deny
154448	2010111777888	2010-11-05 00:00:00	2010-09-05 05:00:00	GPI	Glacier Park Int., Kalispell, MT	Alaska Airlines	Passenger Property Loss	Checkpoint		Other		0.0	Deny
182305	2013081906028	2013-07-15 00:00:00	2013-06-08 09:30:00	GPI	Glacier Park Int., Kalispell, MT	American Airlines	Passenger Property Loss	Checkpoint		Watches & Jewelry		224.99	Settle
191364	2014071615201	2014-07-01 00:00:00	2014-06-17 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories		393.0	Approve in Full
194068	2014102317962	2014-10-14 00:00:00	2014-07-22 00:00:00	GPI	Glacier Park Int., Kalispell, MT	UAL	Passenger Property Loss	Checked Baggage		Clothing & Accessories			
194383	2014111018283	2014-11-03 00:00:00	2014-08-20 00:00:00	GPI	Glacier Park Int., Kalispell, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories			
