id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
32330	0226276M	2004-04-07 00:00:00	2003-12-13 00:00:00	GRK	Kileen - Ft. Hood Regional		Passenger Property Loss	Checkpoint	499.0	Cell Phones	Denied	0.0	Deny
51927	2005010372358	2004-12-14 00:00:00	2004-10-20 00:00:00	GRK	Kileen - Ft. Hood Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	71.42	Clothing - Shoes, belts, accessories, etc.	Approved	71.42	Approve in Full
59737	2005033080604	2005-03-22 00:00:00	2005-02-25 00:00:00	GRK	Kileen - Ft. Hood Regional	American Airlines	Passenger Property Loss	Checked Baggage	142.86	Other	Canceled	0.0	
59857	2005033180857	2005-03-23 00:00:00	2005-03-14 00:00:00	GRK	Kileen - Ft. Hood Regional	American Eagle	Passenger Property Loss	Checked Baggage	150.0	Other	Approved	150.0	Approve in Full
61391	2005041282307	2005-04-12 00:00:00	2004-03-25 00:00:00	GRK	Kileen - Ft. Hood Regional	American Eagle	Passenger Property Loss	Checked Baggage	79.99	Other	Approved	79.99	Approve in Full
70560	2005100493892	2005-08-23 00:00:00	2005-05-28 00:00:00	GRK	Kileen - Ft. Hood Regional	American Airlines	Passenger Property Loss	Checked Baggage	54.0	Other	Approved	54.0	Approve in Full
71028	2005090692093	2005-08-30 00:00:00	2005-07-27 00:00:00	GRK	Kileen - Ft. Hood Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	306.0	Other	Approved	306.0	Approve in Full
84856	2006051105901	2006-05-05 00:00:00	2006-04-27 00:00:00	GRK	Kileen - Ft. Hood Regional	Continental Airlines	Passenger Property Loss	Checkpoint	13.5	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
103094	2007042024278	2007-04-19 00:00:00	2007-04-15 00:00:00	GRK	Kileen - Ft. Hood Regional		Passenger Property Loss	Checked Baggage	2145.0	Other	Denied	0.0	Deny
107760	2007072729193	2007-07-23 00:00:00	2007-06-19 00:00:00	GRK	Kileen - Ft. Hood Regional	American Airlines	Passenger Property Loss	Checked Baggage	149.88	Cameras - Digital	Denied	0.0	Deny
108379	2007080629711	2007-08-02 00:00:00	2007-07-13 00:00:00	GRK	Kileen - Ft. Hood Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	81.19	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
108476	2007080829812	2007-08-03 00:00:00	2007-07-29 00:00:00	GRK	Kileen - Ft. Hood Regional	American Airlines	Passenger Property Loss	Checked Baggage	1416.59	Cell Phones*Computer - Laptop*DVD/CD Players	Denied	0.0	Deny
108487	2007090431277	2007-08-03 00:00:00	2007-07-29 00:00:00	GRK	Kileen - Ft. Hood Regional	American Airlines	Passenger Property Loss	Checked Baggage	7.64	Locks	Denied	0.0	Deny
114011	2007112135322	2007-11-20 00:00:00	2007-11-14 00:00:00	GRK	Kileen - Ft. Hood Regional	Commercial Airways	Passenger Property Loss	Checked Baggage	1035.83	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*Cell Phones*Other	Denied	0.0	Deny
