id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
15045	0904028M	2003-09-04 00:00:00	2003-07-21 00:00:00	GRR	Gerald R. Ford International Airport	Delta (Song)	Passenger Property Loss	Checked Baggage	135.0	Clothing - Shoes, belts, accessories, etc.	Settled	67.5	Settle
18362	1021249M	2003-10-21 00:00:00	2003-09-24 00:00:00	GRR	Gerald R. Ford International Airport		Passenger Property Loss	Checked Baggage	800.0	Jewelry - Fine	Denied	0.0	Deny
25937	0130182M	2004-01-30 00:00:00	2004-01-01 00:00:00	GRR	Gerald R. Ford International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	90.65	Clothing - Shoes, belts, accessories, etc.	Approved	90.65	Approve in Full
26392	0202237M	2004-02-02 00:00:00	2004-01-01 00:00:00	GRR	Gerald R. Ford International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	73.45	Other	Denied	0.0	Deny
29065	0226226M	2004-02-26 00:00:00	2004-01-23 00:00:00	GRR	Gerald R. Ford International Airport	American Eagle	Passenger Property Loss	Checked Baggage	375.0	Cameras - Digital	Settled	278.0	Settle
39481	2004072760036	2004-07-09 00:00:00	2004-07-05 00:00:00	GRR	Gerald R. Ford International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
40328	2004081060986	2004-07-15 00:00:00	2004-06-05 00:00:00	GRR	Gerald R. Ford International Airport	USAir	Passenger Property Loss	Checked Baggage	1000.0	Currency	Settled	500.0	Settle
42214	2004102965801	2004-08-10 00:00:00	2004-07-25 00:00:00	GRR	Gerald R. Ford International Airport		Passenger Property Loss	Checked Baggage	152.0	Eyeglasses - (including contact lenses)	Approved	152.0	Approve in Full
44640	2004112667828	2004-09-12 00:00:00	2004-08-11 00:00:00	GRR	Gerald R. Ford International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	270.0	Cameras - Digital	Denied	0.0	Deny
44839	2004103065844	2004-09-15 00:00:00	2004-08-18 00:00:00	GRR	Gerald R. Ford International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.58	Other	Approved	10.58	Approve in Full
45356	2004101965245	2004-09-20 00:00:00	2004-08-18 00:00:00	GRR	Gerald R. Ford International Airport	American Airlines	Passenger Property Loss	Checked Baggage	40.12	Other	Approved	40.12	Approve in Full
51980	2005010472688	2004-12-14 00:00:00	2004-11-16 00:00:00	GRR	Gerald R. Ford International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	10.0	Other	Approved	10.0	Approve in Full
53390	2005012474141	2005-01-04 00:00:00	2004-11-22 00:00:00	GRR	Gerald R. Ford International Airport	USAir	Passenger Property Loss	Checked Baggage	54.0	Medicines	Approved	54.0	Approve in Full
54650	2005013175110	2005-01-14 00:00:00	2004-12-01 00:00:00	GRR	Gerald R. Ford International Airport	USAir	Passenger Property Loss	Checked Baggage	436.5	Other	Settled	426.62	Settle
54955	2005020375453	2005-01-19 00:00:00	2005-01-07 00:00:00	GRR	Gerald R. Ford International Airport	UAL	Passenger Property Loss	Checked Baggage	1500.0	Computer - Laptop	Denied	0.0	Deny
55048	2005020375475	2005-01-19 00:00:00	2005-01-01 00:00:00	GRR	Gerald R. Ford International Airport		Passenger Property Loss	Checked Baggage	100.0	Other	Settled	50.0	Settle
55631	2005022276545	2005-01-26 00:00:00	2005-01-03 00:00:00	GRR	Gerald R. Ford International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	55.0	Other	Denied	0.0	Deny
55691	2005022276529	2005-01-26 00:00:00	2005-01-04 00:00:00	GRR	Gerald R. Ford International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	112.0	Other	Settled	65.12	Settle
56333	2005030877157	2005-02-03 00:00:00	2005-11-15 00:00:00	GRR	Gerald R. Ford International Airport		Passenger Property Loss	Checked Baggage	78.75	Other	Approved	78.75	Approve in Full
56509	2005031077580	2005-02-04 00:00:00	2004-06-19 00:00:00	GRR	Gerald R. Ford International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.0	Luggage (all types including footlockers)	Denied	0.0	Deny
56903	2005031077547	2005-02-09 00:00:00	2005-01-17 00:00:00	GRR	Gerald R. Ford International Airport	UAL	Passenger Property Loss	Checked Baggage	220.0	Cameras - Digital	Denied	0.0	Deny
58484	2005032379615	2005-03-07 00:00:00	2005-01-21 00:00:00	GRR	Gerald R. Ford International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	26.25	Other	Approved	26.25	Approve in Full
59445	2005032980276	2005-03-16 00:00:00	2005-03-07 00:00:00	GRR	Gerald R. Ford International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	2400.85	Computer - Laptop	Denied	0.0	Deny
59743	2005033080550	2005-03-22 00:00:00	2005-02-15 00:00:00	GRR	Gerald R. Ford International Airport	Midwest Express Airlines	Passenger Property Loss	Checked Baggage	487.75	Jewelry - Fine	Denied		Deny
61709	2005041482592	2005-04-14 00:00:00	2005-03-12 00:00:00	GRR	Gerald R. Ford International Airport		Passenger Property Loss	Checked Baggage	21.2	Locks	Approved	21.2	Approve in Full
63158	2005050484048	2005-05-04 00:00:00	2005-03-05 00:00:00	GRR	Gerald R. Ford International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Jewelry - Fine	Approved	300.0	Approve in Full
63236	2005050684213	2005-05-04 00:00:00	2005-04-06 00:00:00	GRR	Gerald R. Ford International Airport	UAL	Passenger Property Loss	Checked Baggage	3000.0	Jewelry - Fine	Denied	0.0	Deny
