id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
5893	0430011L	2003-04-30 00:00:00	2003-04-09 00:00:00	GSO	Piedmont Triad International Airport		Passenger Property Loss	Checked Baggage	92.0	Locks	Settled	87.0	Settle
15888	0915083M	2003-09-15 00:00:00	2003-09-15 00:00:00	GSO	Piedmont Triad International Airport	USAir	Passenger Property Loss	Checked Baggage	300.0	Other	Denied	0.0	Deny
17157	1002138M	2003-10-02 00:00:00	2003-08-22 00:00:00	GSO	Piedmont Triad International Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	500.0	Cell Phones	Settled	259.0	Settle
17176	1002191M	2003-10-02 00:00:00	2003-09-15 00:00:00	GSO	Piedmont Triad International Airport		Passenger Theft	Checkpoint	1500.0	Stereo Items & Accessories	Settled	1139.71	Settle
21009	1121113M	2003-11-21 00:00:00	2003-11-02 00:00:00	GSO	Piedmont Triad International Airport		Passenger Property Loss	Checkpoint	347.75	Jewelry - Fine	Denied	0.0	Deny
21738	1205493M	2003-12-05 00:00:00	2003-11-01 00:00:00	GSO	Piedmont Triad International Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	374.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
29147	0226576M	2004-02-26 00:00:00	2004-01-26 00:00:00	GSO	Piedmont Triad International Airport		Passenger Property Loss	Checkpoint	200.0	Cameras - Digital	Settled	140.0	Settle
31149	2004051351897	2004-03-24 00:00:00	2003-12-28 00:00:00	GSO	Piedmont Triad International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	648.0	Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Jewelry - Fine	Approved	648.0	Approve in Full
33128	2004060154050	2004-04-21 00:00:00	2004-01-13 00:00:00	GSO	Piedmont Triad International Airport		Passenger Property Loss	Checkpoint	125.0	Other	Denied	125.0	Deny
34501	2004060454781	2004-05-04 00:00:00	2003-12-01 00:00:00	GSO	Piedmont Triad International Airport		Passenger Property Loss	Checked Baggage	1105.0	Other	Settled	550.0	Settle
