id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
3447	0311178L	2003-03-11 00:00:00	2003-02-10 00:00:00	GSP	Greenville-Spartanburg	Delta Air Lines	Passenger Property Loss	Checked Baggage	3000.0	Electronics	Canceled		
9048	0623011M	2003-06-23 00:00:00	2003-05-21 00:00:00	GSP	Greenville-Spartanburg	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Approved	500.0	Approve in Full
9575	0627042M	2003-06-27 00:00:00	2003-05-29 00:00:00	GSP	Greenville-Spartanburg		Passenger Property Loss	Checked Baggage	60.0	Other	Denied	0.0	Deny
11912	0729026M	2003-07-29 00:00:00	2003-05-26 00:00:00	GSP	Greenville-Spartanburg	Delta Air Lines	Passenger Property Loss	Checked Baggage	37.4	Other	Denied	0.0	Deny
17468	1006115M	2003-10-06 00:00:00	2003-09-08 00:00:00	GSP	Greenville-Spartanburg	USAir	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Settled	62.5	Settle
19080	1028002M	2003-10-28 00:00:00	2003-07-10 00:00:00	GSP	Greenville-Spartanburg	Northwest Airlines	Passenger Property Loss	Checked Baggage	499.0	Electronics	Settled	415.01	Settle
20455	1117025M	2003-11-17 00:00:00	2003-10-10 00:00:00	GSP	Greenville-Spartanburg	American Airlines	Passenger Property Loss	Checked Baggage	96.0	Other	Settled	76.8	Settle
25649	0126205M	2004-01-29 00:00:00	2004-01-11 00:00:00	GSP	Greenville-Spartanburg	Continental Airlines	Passenger Property Loss	Checkpoint	65.0	Clothing & Accessories	Approved	65.0	Approve in Full
25729	0129206M	2004-01-29 00:00:00	2004-01-11 00:00:00	GSP	Greenville-Spartanburg	Continental Airlines	Passenger Property Loss	Checkpoint	65.0	Clothing & Accessories	Canceled	0.0	
29042	0226116M	2004-02-26 00:00:00	2003-08-17 00:00:00	GSP	Greenville-Spartanburg	USAir	Passenger Property Loss	Checked Baggage	199.43	Clothing & Accessories	Settled	100.0	Settle
29446	0305418M	2004-03-05 00:00:00	2004-02-23 00:00:00	GSP	Greenville-Spartanburg	Delta Air Lines	Passenger Property Loss	Checked Baggage	7800.0	Watches & Jewelry	Denied	0.0	Deny
31561	2004053153907	2004-03-30 00:00:00	2004-02-26 00:00:00	GSP	Greenville-Spartanburg	Northwest Airlines	Passenger Property Loss	Checked Baggage	150.0	Clothing & Accessories	Approved	150.0	Approve in Full
32229	2004051852849	2004-04-06 00:00:00	2004-03-29 00:00:00	GSP	Greenville-Spartanburg	Continental Airlines	Passenger Property Loss	Checked Baggage	18850.0	Watches & Jewelry	Denied	0.0	Deny
32278	2004051752590	2004-04-06 00:00:00	2004-03-22 00:00:00	GSP	Greenville-Spartanburg	Continental Airlines	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Settled	125.0	Settle
35592	2004061756083	2004-05-19 00:00:00	2004-03-28 00:00:00	GSP	Greenville-Spartanburg	Continental Express Inc	Passenger Property Loss	Checked Baggage	18850.0	Watches & Jewelry	Canceled	0.0	
35906	2004061856228	2004-05-27 00:00:00	2004-04-19 00:00:00	GSP	Greenville-Spartanburg	American Airlines	Passenger Property Loss	Checked Baggage	60.0	Other	Approved	60.0	Approve in Full
36763	2004062357080	2004-06-03 00:00:00	2004-05-05 00:00:00	GSP	Greenville-Spartanburg	Delta Air Lines	Passenger Property Loss	Checked Baggage	40.17	Clothing & Accessories	Approved	40.17	Approve in Full
37641	2004070158132	2004-06-10 00:00:00	2004-04-27 00:00:00	GSP	Greenville-Spartanburg	US Express	Passenger Property Loss	Checked Baggage	200.0	Other	Approved	200.0	Approve in Full
37643	2004070158137	2004-06-10 00:00:00	2004-04-29 00:00:00	GSP	Greenville-Spartanburg	Delta Air Lines	Passenger Property Loss	Checked Baggage	85.0	Clothing & Accessories	Approved	85.0	Approve in Full
38775	2004071359188	2004-06-28 00:00:00	2004-06-10 00:00:00	GSP	Greenville-Spartanburg	Delta Air Lines	Passenger Property Loss	Checked Baggage	1000.0	Watches & Jewelry	Denied	0.0	Deny
39086	0702506M	2004-07-02 00:00:00	2003-01-08 00:00:00	GSP	Greenville-Spartanburg	Delta Air Lines	Passenger Property Loss	Checked Baggage	32.85	Other	Settled	16.5	Settle
