id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
13158	0813005M	2003-08-13 00:00:00	2003-07-29 00:00:00	GTF	Great Falls International	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Electronics	Settled	250.0	Settle
21469	1205392M	2003-12-05 00:00:00	2003-09-04 00:00:00	GTF	Great Falls International		Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Approved	300.0	Approve in Full
23552	0105066M	2004-01-05 00:00:00	2003-12-01 00:00:00	GTF	Great Falls International	Northwest Airlines	Passenger Property Loss	Checked Baggage	35.0	Other	Approved	35.0	Approve in Full
28767	0226310M	2004-02-26 00:00:00	2003-09-27 00:00:00	GTF	Great Falls International		Passenger Property Loss	Checked Baggage	54.41	Other	Approved	54.41	Approve in Full
31730	2004051151101	2004-04-01 00:00:00	2004-03-11 00:00:00	GTF	Great Falls International	Northwest Airlines	Passenger Property Loss	Checked Baggage	12.5	Other	Approved	12.5	Approve in Full
38328	2004071259025	2004-06-21 00:00:00	2004-05-28 00:00:00	GTF	Great Falls International	Alaska Airlines	Passenger Property Loss	Checked Baggage	839.54	Electronics	Denied	0.0	Deny
40732	2004091062569	2004-07-21 00:00:00	2004-07-20 00:00:00	GTF	Great Falls International	Northwest Airlines	Passenger Property Loss	Checked Baggage	8.95	Other	Approved	8.95	Approve in Full
43138	2004100464347	2004-08-24 00:00:00	2004-08-06 00:00:00	GTF	Great Falls International	Skywest Airlines Inc USA	Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Canceled	60.0	
43370	2004102065304	2004-08-25 00:00:00	2004-07-08 00:00:00	GTF	Great Falls International		Passenger Property Loss	Checked Baggage	650.0	Other	Settled	370.13	Settle
45626	2004110566487	2004-09-23 00:00:00	2004-08-30 00:00:00	GTF	Great Falls International	Northwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Approved	25.0	Approve in Full
48086	2004110466395	2004-10-25 00:00:00	2004-10-10 00:00:00	GTF	Great Falls International	Horizon Air	Passenger Property Loss	Checked Baggage	90.85	Other	Approved	90.85	Approve in Full
