id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
30389	2005032879996	2004-03-14 00:00:00	2005-02-26 00:00:00	GUC	Gunnison - Crested Butte Regional Airport		Passenger Property Loss	Checked Baggage	60.0	Clothing - Shoes, belts, accessories, etc.	Approved	60.0	Approve in Full
82834	2006040404000	2006-03-24 00:00:00	2006-03-09 00:00:00	GUC	Gunnison - Crested Butte Regional Airport	UAL	Passenger Property Loss	Checked Baggage	70.0	Other	Settled	49.0	Settle
82872	2006040404044	2006-03-27 00:00:00	2006-03-19 00:00:00	GUC	Gunnison - Crested Butte Regional Airport	American Airlines	Passenger Property Loss	Checkpoint	200.0	Other	Denied	0.0	Deny
100663	2007030821989	2007-03-02 00:00:00	2007-02-10 00:00:00	GUC	Gunnison - Crested Butte Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage	7.5	Locks	Approved	7.5	Approve in Full
104680	2007052325901	2007-05-22 00:00:00	2007-03-25 00:00:00	GUC	Gunnison - Crested Butte Regional Airport		Passenger Property Loss	Checked Baggage	250.0	Sporting Equipment & Supplies (footballs, parachutes, etc.)	Denied	0.0	Deny
111586	2007100332964	2007-10-02 00:00:00	2007-09-19 00:00:00	GUC	Gunnison - Crested Butte Regional Airport	UAL	Passenger Property Loss	Checked Baggage	175.0	Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Luggage (all types including footlockers)	Denied	0.0	Deny
121021	2008041642609	2008-04-08 00:00:00	2008-04-01 00:00:00	GUC	Gunnison - Crested Butte Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage	500.0	Other*Toys (game systems, cartridges, radio controlled cars, etc.)	Denied	0.0	Deny
122895	2008052244671	2008-05-18 00:00:00	2008-05-08 00:00:00	GUC	Gunnison - Crested Butte Regional Airport	UAL	Passenger Property Loss	Checked Baggage	209.95	Cameras - Digital*Jewelry - Fine	Denied	0.0	Deny
123906	2008061845815	2008-06-09 00:00:00	2008-03-28 00:00:00	GUC	Gunnison - Crested Butte Regional Airport	UAL	Passenger Property Loss	Checked Baggage	89.95	Watches - Inexpensive $100 or less	Approved	89.95	Approve in Full
136085	2009042357915	2009-04-09 00:00:00	2009-04-05 00:00:00	GUC	Gunnison - Crested Butte Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage	966.0	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)	Denied	0.0	Deny
140332	2009080562305	2009-08-05 00:00:00	2009-07-30 00:00:00	GUC	Gunnison - Crested Butte Regional Airport		Passenger Property Loss	Checked Baggage	30.0	Sporting Equipment & Supplies (footballs, parachutes, etc.)	Approved	30.0	Approve in Full
141056	2009083163135	2009-08-26 00:00:00	2009-08-15 00:00:00	GUC	Gunnison - Crested Butte Regional Airport	UAL	Passenger Property Loss	Checked Baggage	30.0	Clothing - Shoes, belts, accessories, etc.	Approved	30.0	Approve in Full
145189	2010011267474	2010-01-11 00:00:00	2010-01-03 12:20:00	GUC	Gunnison - Crested Butte Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Cameras*Cameras			
175238	2012112898917	2012-10-18 00:00:00	2012-09-15 12:30:00	GUC	Gunnison - Crested Butte Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Other		175.0	Settle
192308	2014082316166	2014-08-06 00:00:00	2014-07-28 00:00:00	GUC	Gunnison - Crested Butte Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Hunting & Fishing Items			
