id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
28537	0223147M	2004-02-23 00:00:00	2003-01-26 00:00:00	HDN	Yampa Valley Regional	UAL	Passenger Property Loss	Checked Baggage	873.58	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
36872	2004070858843	2004-06-03 00:00:00	2004-02-23 00:00:00	HDN	Yampa Valley Regional		Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
67678	2005071188622	2005-07-08 00:00:00	2002-07-01 00:00:00	HDN	Yampa Valley Regional		Passenger Property Loss	Checked Baggage	300.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
78307	2006011399569	2006-01-09 00:00:00	2006-01-07 00:00:00	HDN	Yampa Valley Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	31.2	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	31.2	Approve in Full
78680	2006012099912	2006-01-12 00:00:00	2005-12-31 00:00:00	HDN	Yampa Valley Regional		Passenger Property Loss	Checked Baggage	25.16	Supplies	Medicines	Approved	25.16	Approve in Full
79394	2006013100654	2006-01-24 00:00:00	2006-01-06 00:00:00	HDN	Yampa Valley Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	10.65	Tools & Machines	Locks	Approved	10.65	Approve in Full
79691	2006020200830	2006-01-27 00:00:00	2006-01-16 00:00:00	HDN	Yampa Valley Regional	UAL	Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
81779	2006030902882	2006-03-07 00:00:00	2005-12-30 00:00:00	HDN	Yampa Valley Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	249.0	Other	Other	Denied	0.0	Deny
83083	2006041004274	2006-03-30 00:00:00	2006-02-24 00:00:00	HDN	Yampa Valley Regional	UAL	Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	100.0	Approve in Full
84689	2006051105956	2006-05-02 00:00:00	2006-03-25 00:00:00	HDN	Yampa Valley Regional	American Airlines	Passenger Property Loss	Checked Baggage	169.59	Electronics	Stereo Items & Accessories	Denied	0.0	Deny
88552	2006071909728	2006-07-18 00:00:00	2006-06-25 00:00:00	HDN	Yampa Valley Regional	UAL	Passenger Property Loss	Checked Baggage	11.25	Tools & Machines	Locks	Approved	11.25	Approve in Full
96027	2006121817361	2006-12-11 00:00:00	2006-11-17 00:00:00	HDN	Yampa Valley Regional	UAL	Passenger Property Loss	Checked Baggage	386.85	Electronics	Cameras - Digital	Settled	109.5	Settle
96765	2006122918199	2006-12-27 00:00:00	2006-12-06 00:00:00	HDN	Yampa Valley Regional	UAL	Passenger Property Loss	Checked Baggage	129.47	Supplies	Medicines	Approved	129.47	Approve in Full
97303	2007010418308	2007-01-03 00:00:00	2006-12-23 00:00:00	HDN	Yampa Valley Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	80.99	Tools & Machines	Barber Supplies - Scissors, shears, elecric razors, etc.	Settled	40.5	Settle
98330	2007012419399	2007-01-18 00:00:00	2006-12-30 00:00:00	HDN	Yampa Valley Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	31.79	Other	Other	Canceled	0.0	
98636	2007013019843	2007-01-23 00:00:00	2006-12-31 00:00:00	HDN	Yampa Valley Regional	American Airlines	Passenger Property Loss	Checked Baggage	2600.0	Electronics,Electronics	Computer - Laptop*PDA - Personal Data Assistants	Denied	0.0	Deny
99185	2007020520219	2007-02-01 00:00:00	2007-01-21 00:00:00	HDN	Yampa Valley Regional	American Airlines	Passenger Property Loss	Checked Baggage	21.3	Tools & Machines	Locks	Approved	21.3	Approve in Full
99683	2007021220696	2007-02-09 00:00:00	2007-01-27 00:00:00	HDN	Yampa Valley Regional	American Airlines	Passenger Property Loss	Checked Baggage	211.99	Outdoors Supplies	Sporting Equipment & Supplies (footballs, parachutes, etc.)	Settled	190.79	Settle
99804	2007021621023	2007-02-13 00:00:00	2007-01-27 00:00:00	HDN	Yampa Valley Regional	American Airlines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Locks	Approved	10.0	Approve in Full
99880	2007021621010	2007-02-13 00:00:00	2006-12-28 00:00:00	HDN	Yampa Valley Regional	UAL	Passenger Property Loss	Checked Baggage	108.84	Household Decor,Household Items,Other	Candles - Decorative and other*Kitchen Utensils -Pots, Pans, Knives (heavy aluminum, cast iron, etc.)*Other	Denied	0.0	Deny
100097	2007022121260	2007-02-20 00:00:00	2007-01-30 00:00:00	HDN	Yampa Valley Regional	American Airlines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Locks	Approved	10.0	Approve in Full
