id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
50678	2004122971732	2004-11-23 00:00:00	2004-09-16 00:00:00	HLN	Helena Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	100.0	Clothing - Shoes, belts, accessories, etc.	Settled	50.0	Settle
56286	2005030777105	2005-02-01 00:00:00	2005-01-09 00:00:00	HLN	Helena Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	400.0	Cameras - Digital	Settled	138.0	Settle
60697	2005040681693	2005-04-04 00:00:00	2004-12-19 00:00:00	HLN	Helena Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.73	Clothing - Shoes, belts, accessories, etc.	Approved	10.73	Approve in Full
63432	2005051084413	2005-05-09 00:00:00	2005-03-31 00:00:00	HLN	Helena Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	255.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
63731	2005051684710	2005-05-12 00:00:00	2005-03-22 00:00:00	HLN	Helena Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
64749	2005053185573	2005-05-24 00:00:00	2005-05-18 00:00:00	HLN	Helena Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Jewelry - Fine	Settled	150.0	Settle
71750	2005091992777	2005-09-09 00:00:00	2005-08-28 00:00:00	HLN	Helena Regional		Passenger Property Loss	Checked Baggage	1330.0	Cameras - Digital*Clothing - Shoes, belts, accessories, etc.	Settled	233.99	Settle
82122	2006031703296	2006-03-14 00:00:00	2005-12-10 00:00:00	HLN	Helena Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	134.75	Currency	Approved	134.75	Approve in Full
88710	2006072409976	2006-07-20 00:00:00	2006-05-06 00:00:00	HLN	Helena Regional	Skywest Airlines Inc USA	Passenger Property Loss	Checked Baggage	2400.0	Jewelry - Fine	Denied	0.0	Deny
91239	2006091812636	2006-09-07 00:00:00	2006-09-03 00:00:00	HLN	Helena Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Jewelry - Fine	Denied	0.0	Deny
102920	2007041824198	2007-04-16 00:00:00	2005-10-26 00:00:00	HLN	Helena Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	68.8	Barber Supplies - Scissors, shears, elecric razors, etc.	Denied	0.0	Deny
105391	2007061126700	2007-06-06 00:00:00	2007-04-30 00:00:00	HLN	Helena Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.0	Locks	Approved	10.0	Approve in Full
107343	2007071928612	2007-07-16 00:00:00	2007-06-01 00:00:00	HLN	Helena Regional		Passenger Property Loss	Checked Baggage	43.09	Cameras - Digital	Denied	0.0	Deny
