id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1089	24458	2003-01-02 00:00:00	2002-12-19 00:00:00	HOU	William P. Hobby	Southwest Airlines	Passenger Property Loss	Other	250.0	Cameras - Digital	Canceled		
1102	0715512M	2003-01-02 00:00:00	2002-12-19 00:00:00	HOU	William P. Hobby	Southwest Airlines	Passenger Property Loss	Checkpoint	250.0	Jewelry - Fine	Settled	183.75	Settle
1570	0703515M	2003-01-21 00:00:00	2003-01-02 00:00:00	HOU	William P. Hobby	Southwest Airlines	Passenger Property Loss	Checked Baggage	1999.0	Jewelry - Fine	Denied	0.0	Deny
2342	0206037L	2003-02-06 00:00:00	2003-01-01 00:00:00	HOU	William P. Hobby	Delta Air Lines	Passenger Property Loss	Checked Baggage	515.0	Clothing - Shoes, belts, accessories, etc.	Settled	257.5	Settle
3783	0318044L	2003-03-18 00:00:00	2003-01-29 00:00:00	HOU	William P. Hobby		Passenger Property Loss	Other	85.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	85.0	Approve in Full
3943	0319004L	2003-03-19 00:00:00	2003-02-16 00:00:00	HOU	William P. Hobby	Southwest Airlines	Passenger Property Loss	Checked Baggage	497.49	Clothing - Shoes, belts, accessories, etc.	Settled	250.0	Settle
4082	0325091L	2003-03-25 00:00:00	2003-03-02 00:00:00	HOU	William P. Hobby	Continental Airlines	Passenger Property Loss	Checkpoint	100.0	Jewelry - Fine	Approved	100.0	Approve in Full
4718	0408059L	2003-04-08 00:00:00	2003-03-18 00:00:00	HOU	William P. Hobby	Southwest Airlines	Passenger Property Loss	Checked Baggage	507.58	Cameras - Digital	Approved	507.98	Approve in Full
4903	0409015L	2003-04-09 00:00:00	2003-03-16 00:00:00	HOU	William P. Hobby		Passenger Property Loss	Checked Baggage	352.0	Other	Settled	166.0	Settle
5317	0417074L	2003-04-17 00:00:00	2003-04-04 00:00:00	HOU	William P. Hobby		Passenger Property Loss	Checkpoint	125.78	Other	Settled	101.5	Settle
5319	0418000L	2003-04-18 00:00:00	2003-03-20 00:00:00	HOU	William P. Hobby	Southwest Airlines	Passenger Property Loss	Checked Baggage	120.0	Clothing - Shoes, belts, accessories, etc.	Approved	120.0	Approve in Full
5329	0421028L	2003-04-21 00:00:00	2003-03-11 00:00:00	HOU	William P. Hobby		Passenger Property Loss	Checkpoint	51.0	Clothing - Shoes, belts, accessories, etc.	Approved	51.0	Approve in Full
5429	0422040L	2003-04-22 00:00:00	2003-04-03 00:00:00	HOU	William P. Hobby	Southwest Airlines	Passenger Property Loss	Checked Baggage	36.8	Jewelry - Fine	Approved	36.8	Approve in Full
6000	0505051L	2003-05-05 00:00:00	2003-04-08 00:00:00	HOU	William P. Hobby	Southwest Airlines	Passenger Property Loss	Checked Baggage	305.51	Other	Canceled	0.0	
6560	0515009L	2003-05-15 00:00:00	2003-02-17 00:00:00	HOU	William P. Hobby		Passenger Property Loss	Checkpoint	55.0	Currency	Approved	55.0	Approve in Full
6589	0515019L	2003-05-15 00:00:00	2003-04-13 00:00:00	HOU	William P. Hobby	AirTran Airlines	Passenger Property Loss	Checked Baggage	186.0	Clothing - Shoes, belts, accessories, etc.	Settled	93.0	Settle
7267	0529055L	2003-05-29 00:00:00	2003-05-21 00:00:00	HOU	William P. Hobby	Southwest Airlines	Passenger Property Loss	Checked Baggage	46.47	Other	Settled	23.24	Settle
7562	0603117L	2003-06-03 00:00:00	2002-05-11 00:00:00	HOU	William P. Hobby	Southwest Airlines	Passenger Property Loss	Checkpoint	100.0	Currency	Closed as a contractor claim		
8823	0618026L	2003-06-18 00:00:00	2002-12-21 00:00:00	HOU	William P. Hobby		Passenger Property Loss	Checkpoint	78.86	Cell Phones	Approved	78.86	Approve in Full
9285	0625072M	2003-06-25 00:00:00	2003-06-13 00:00:00	HOU	William P. Hobby		Passenger Property Loss	Checked Baggage	71.54	Other	Approved	71.54	Approve in Full
