id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
2259	0205005L	2003-02-05 00:00:00	2003-01-26 00:00:00	HPN	Westchester County, White Plains		Passenger Property Loss	Checkpoint	10.0	Other	Approved		Approve in Full
5855	0430045L	2003-04-30 00:00:00	2003-03-30 00:00:00	HPN	Westchester County, White Plains	Delta Air Lines	Passenger Property Loss	Checkpoint	200.0	Watches & Jewelry	Approved	200.0	Approve in Full
8857	0618069L	2003-06-18 00:00:00	2003-05-12 00:00:00	HPN	Westchester County, White Plains		Passenger Property Loss	Checkpoint	3800.0	Containers	Canceled		
10438	0709054M	2003-07-09 00:00:00	2003-06-06 00:00:00	HPN	Westchester County, White Plains		Passenger Property Loss	Checkpoint	30.0	Other	Denied	0.0	Deny
16255	0923082M	2003-09-23 00:00:00	2003-08-14 00:00:00	HPN	Westchester County, White Plains		Passenger Property Loss	Checked Baggage	135.0	Other	Denied	0.0	Deny
23540	2005012173908	2004-01-04 00:00:00	2004-12-22 00:00:00	HPN	Westchester County, White Plains		Passenger Property Loss	Checked Baggage	175.0	Other	Settled	78.75	Settle
39672	2004073060268	2004-07-09 00:00:00	2004-06-21 00:00:00	HPN	Westchester County, White Plains	Delta Air Lines	Passenger Property Loss	Checked Baggage	1775.0	Watches & Jewelry	Denied	0.0	Deny
45373	2004103065933	2004-09-20 00:00:00	2004-07-28 00:00:00	HPN	Westchester County, White Plains	USAir	Passenger Property Loss	Checked Baggage	175.0	Watches & Jewelry	Approved	175.0	Approve in Full
48620	2004122169765	2004-10-28 00:00:00	2004-10-15 00:00:00	HPN	Westchester County, White Plains	USAir	Passenger Property Loss	Checkpoint	200.0	Watches & Jewelry	Canceled		
54786	2005020175152	2005-01-18 00:00:00	2005-01-09 00:00:00	HPN	Westchester County, White Plains	Northwest Airlines	Passenger Property Loss	Checked Baggage	735.0	Cosmetics	Settled	320.59	Settle
62087	2005042183002	2005-04-19 00:00:00	2004-12-21 00:00:00	HPN	Westchester County, White Plains	Northwest Airlines	Passenger Property Loss	Checked Baggage	825.0	Cosmetics	Denied	0.0	Deny
62739	2005050283864	2005-04-28 00:00:00	2004-12-16 00:00:00	HPN	Westchester County, White Plains	Delta Air Lines	Passenger Property Loss	Checked Baggage	187.95	Watches & Jewelry	Approved	187.95	Approve in Full
69041	2005080490070	2005-07-28 00:00:00	2005-07-16 00:00:00	HPN	Westchester County, White Plains	Independence Air	Passenger Property Loss	Checked Baggage	408.1	Watches & Jewelry	Denied	0.0	Deny
69356	2005081290440	2005-08-02 00:00:00	2005-07-08 00:00:00	HPN	Westchester County, White Plains	American Airlines	Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Denied	0.0	Deny
70150	2005082491323	2005-08-16 00:00:00	2005-07-20 00:00:00	HPN	Westchester County, White Plains		Passenger Property Loss	Checkpoint	195.0	Other	Approved	195.0	Approve in Full
70416	2005082591445	2005-08-18 00:00:00	2005-07-15 00:00:00	HPN	Westchester County, White Plains	Air Canada	Passenger Property Loss	Checked Baggage	380.03	Other	Settled	105.39	Settle
71353	2005091492477	2005-09-06 00:00:00	2005-08-22 00:00:00	HPN	Westchester County, White Plains	USAir	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Approved	10.0	Approve in Full
71604	2005091592566	2005-09-08 00:00:00	2005-08-26 00:00:00	HPN	Westchester County, White Plains	Continental Airlines	Passenger Property Loss	Checked Baggage	75.0	Clothing & Accessories	Settled	37.5	Settle
82770	2006040403979	2006-03-24 00:00:00	2006-03-17 00:00:00	HPN	Westchester County, White Plains		Passenger Property Loss	Checkpoint	99.0	Other	Approved	99.0	Approve in Full
85935	2006060107151	2006-05-30 00:00:00	2006-04-04 00:00:00	HPN	Westchester County, White Plains	USAir	Passenger Property Loss	Checked Baggage	9.93	Tools & Machines	Denied	0.0	Deny
87502	2006070709086	2006-06-28 00:00:00	2006-06-13 00:00:00	HPN	Westchester County, White Plains	American Airlines	Passenger Property Loss	Checked Baggage	182.35	Watches & Jewelry,Other	Denied	0.0	Deny
88344	2006071709614	2006-07-13 00:00:00	2006-07-05 00:00:00	HPN	Westchester County, White Plains	Delta Air Lines	Passenger Property Loss	Checked Baggage	99.0	Other	Denied	0.0	Deny
89979	2006081711225	2006-08-15 00:00:00	2006-08-10 00:00:00	HPN	Westchester County, White Plains		Passenger Property Loss	Checkpoint	250.0	Electronics	Settled	183.65	Settle
90112	2006082311392	2006-08-18 00:00:00	2006-08-03 00:00:00	HPN	Westchester County, White Plains	Air Tran Airlines(do not use)	Passenger Property Loss	Checkpoint	15.46	Electronics	Approved	15.46	Approve in Full
92184	2006092913472	2006-09-26 00:00:00	2006-09-05 00:00:00	HPN	Westchester County, White Plains	UAL	Passenger Property Loss	Checked Baggage	38.0	Tools & Machines	Settled	33.39	Settle
92344	2006100513645	2006-09-29 00:00:00	2006-09-24 00:00:00	HPN	Westchester County, White Plains	Northwest Airlines	Passenger Property Loss	Checked Baggage	149.95	Tools & Machines	Denied	0.0	Deny
93708	2006110615167	2006-10-26 00:00:00	2006-10-20 00:00:00	HPN	Westchester County, White Plains	American Airlines	Passenger Property Loss	Checkpoint	35.0	Clothing & Accessories	Denied	0.0	Deny
94684	2006112115969	2006-11-15 00:00:00	2006-08-03 00:00:00	HPN	Westchester County, White Plains	USAir	Passenger Property Loss	Other	2942.32	Electronics	Denied	0.0	Deny
101736	2007032622985	2007-03-22 00:00:00	2007-03-07 00:00:00	HPN	Westchester County, White Plains	AirTran Airlines	Passenger Property Loss	Checked Baggage	246.95	Electronics	Denied	0.0	Deny
103477	2007050124736	2007-04-26 00:00:00	2007-03-11 00:00:00	HPN	Westchester County, White Plains	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	130.0	Cosmetics	Settled	32.5	Settle
106532	2007070227701	2007-06-28 00:00:00	2007-06-24 00:00:00	HPN	Westchester County, White Plains		Passenger Property Loss	Checked Baggage	750.0	Watches & Jewelry	Settled	375.0	Settle
109876	2007083031157	2007-08-29 00:00:00	2007-08-10 00:00:00	HPN	Westchester County, White Plains	Jet Blue	Passenger Property Loss	Checked Baggage	70.0	Clothing & Accessories	Denied	0.0	Deny
110694	2007091832172	2007-09-13 00:00:00	2007-08-28 00:00:00	HPN	Westchester County, White Plains	Jet Blue	Passenger Property Loss	Checkpoint	264.99	Electronics	Denied	0.0	Deny
