id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
1226	24173	2003-01-09 00:00:00	2002-12-14 00:00:00	IAH	Houston - George Bush Intercontinental Airport	Continental Airlines	Passenger Property Loss	Checkpoint	175.0	Watches & Jewelry	Jewelry - Fine	Approved	175.0	Approve in Full
1432	0115002L	2003-01-15 00:00:00	2002-11-18 00:00:00	IAH	Houston - George Bush Intercontinental Airport	Continental Airlines	Passenger Property Loss	Other	600.0	Watches & Jewelry	Jewelry - Fine	Canceled		
2249	0204034L	2003-02-04 00:00:00	2002-11-26 00:00:00	IAH	Houston - George Bush Intercontinental Airport		Passenger Property Loss	Checkpoint	150.0	Electronics	Cameras - Digital	Settled	75.0	Settle
2602	0213005L	2003-02-13 00:00:00	2003-01-12 00:00:00	IAH	Houston - George Bush Intercontinental Airport		Passenger Property Loss	Checked Baggage	300.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled		
2761	0224103L	2003-02-24 00:00:00	2003-01-31 00:00:00	IAH	Houston - George Bush Intercontinental Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	15.0	Other	Other	Approved	15.0	Approve in Full
3340	0307009L	2003-03-07 00:00:00	2003-02-03 00:00:00	IAH	Houston - George Bush Intercontinental Airport	American Airlines	Passenger Property Loss	Checked Baggage	80.0	Other	Other	Approved	80.0	Approve in Full
3465	0311050L	2003-03-11 00:00:00	2002-12-23 00:00:00	IAH	Houston - George Bush Intercontinental Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	48.71	Other	Other	Denied	0.0	Deny
3517	0311013L	2003-03-11 00:00:00	2003-01-22 00:00:00	IAH	Houston - George Bush Intercontinental Airport		Passenger Property Loss	Checkpoint	100.0	Electronics	Cell Phones	Settled	80.0	Settle
3535	0311070L	2003-03-11 00:00:00	2003-02-15 00:00:00	IAH	Houston - George Bush Intercontinental Airport	Frontier Airlines	Passenger Property Loss	Checked Baggage	145.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	72.5	Settle
3803	0318120L	2003-03-18 00:00:00	2003-02-20 00:00:00	IAH	Houston - George Bush Intercontinental Airport	Air Canada	Passenger Property Loss	Checked Baggage	63.65	Other	Other	Approved	63.65	Approve in Full
3887	0318054L	2003-03-18 00:00:00	2003-03-02 00:00:00	IAH	Houston - George Bush Intercontinental Airport	Continental Airlines	Passenger Theft	Checkpoint	2000.0	Electronics	Computer - Laptop	Settled	1012.98	Settle
3894	0318070L	2003-03-18 00:00:00	2003-02-09 00:00:00	IAH	Houston - George Bush Intercontinental Airport		Passenger Property Loss	Checked Baggage	32.42	Other	Other	Settled	16.21	Settle
