id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
27443	0210019M	2004-02-10 00:00:00	2003-12-29 00:00:00	IFP	Laughlin/Bullhead International Airport		Passenger Property Loss	Checked Baggage	88.82	Other	Other	Denied	0.0	Deny
44149	2004103065877	2004-09-09 00:00:00	2004-08-24 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	61.48	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	61.48	Approve in Full
60922	2005040681651	2005-04-05 00:00:00	2005-03-13 00:00:00	IFP	Laughlin/Bullhead International Airport		Passenger Property Loss	Checkpoint	587.23	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	325.0	Settle
62503	2005042683386	2005-04-25 00:00:00	2005-04-17 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Jewelry - Fine	Settled	150.0	Settle
66346	2005062787419	2005-06-16 00:00:00	2005-05-16 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	607.28	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
73701	2005101894735	2005-10-12 00:00:00	2005-09-23 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	65.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	32.5	Settle
74703	2005110895802	2005-10-31 00:00:00	2005-10-10 00:00:00	IFP	Laughlin/Bullhead International Airport		Passenger Property Loss	Checked Baggage	33.0	Other	Other	Denied	0.0	Deny
83208	2006041904721	2006-04-01 00:00:00	2006-03-12 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	73.42	Other	Other	Approved	73.42	Approve in Full
97523	2007011018535	2007-01-05 00:00:00	2006-12-08 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	99.0	Watches & Jewelry	Jewelry - Fine	Settled	49.5	Settle
97955	2007011919032	2007-01-11 00:00:00	2007-01-01 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Locks	Denied	0.0	Deny
99695	2007021320849	2007-02-12 00:00:00	2007-01-21 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checkpoint	20.77	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	20.77	Approve in Full
103936	2007051025233	2007-05-08 00:00:00	2007-04-26 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	155.17	Electronics	Cameras - Digital	Canceled	0.0	
104625	2007052925945	2007-05-21 00:00:00	2007-03-07 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checkpoint	6366.5	Watches & Jewelry,Watches & Jewelry	Jewelry - Costume*Jewelry - Fine	Denied	0.0	Deny
106314	2007062827589	2007-06-25 00:00:00	2007-06-23 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	425.74	Supplies	Medicines	Denied	0.0	Deny
112393	2007102433824	2007-10-18 00:00:00	2007-10-11 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories,Other	Clothing - Shoes, belts, accessories, etc.*Other	Denied	0.0	Deny
112401	2007102433852	2007-10-18 00:00:00	2007-08-07 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	46.65	Watches & Jewelry	Jewelry - Costume	Denied	0.0	Deny
118563	2008022640134	2008-02-20 00:00:00	2008-02-11 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	21.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
119565	2008031941262	2008-03-12 00:00:00	2008-03-03 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	50.0	Watches & Jewelry	Watches - Inexpensive $100 or less	Approved	50.0	Approve in Full
120239	2008040441884	2008-03-25 00:00:00	2008-03-07 00:00:00	IFP	Laughlin/Bullhead International Airport		Passenger Property Loss	Checked Baggage	25.0	Other	Other	Denied	0.0	Deny
121728	2008042343269	2008-04-22 00:00:00	2008-04-02 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checkpoint	1500.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
124887	2008070746604	2008-07-01 00:00:00	2008-05-24 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	445.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
125337	2008072447282	2008-07-10 00:00:00	2008-05-24 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
125340	2008072447298	2008-07-10 00:00:00	2007-11-24 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	278.0	Electronics	Cameras - Digital	Denied	0.0	Deny
125451	2008071847128	2008-07-14 00:00:00	2008-07-09 00:00:00	IFP	Laughlin/Bullhead International Airport		Passenger Property Loss	Checked Baggage	50.0	Other	Currency	Denied	0.0	Deny
126463	2008072547429	2008-08-05 00:00:00	2007-02-06 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	90.0	Watches & Jewelry	Jewelry - Costume	Denied	0.0	Deny
127634	2008090449454	2008-09-02 00:00:00	2008-07-30 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	92.4	Watches & Jewelry,Other,Games & Toys	Jewelry - Costume*Other*Toys (game systems, cartridges, radio controlled cars, etc.)	Approved	92.4	Approve in Full
131504	2008121253364	2008-12-08 00:00:00	2008-12-01 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	300.0	Other	Currency	Settled	150.0	Settle
132817	2009011554608	2009-01-12 00:00:00	2009-01-02 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	199.0	Electronics	GPS - Global Positioning System	Settled	100.0	Settle
134276	2009031756385	2009-02-20 00:00:00	2009-01-31 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checkpoint	200.0	Other	Currency	Denied	0.0	Deny
135089	2009042257839	2009-03-13 00:00:00	2009-02-19 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	150.0	Other	Currency	Denied	0.0	Deny
136254	2009041557528	2009-04-15 00:00:00	2009-03-12 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	249.49	Supplies	Medicines	Denied	0.0	Deny
136327	2009050458333	2009-04-17 00:00:00	2009-04-10 00:00:00	IFP	Laughlin/Bullhead International Airport	Frontier Airlines	Passenger Property Loss	Checked Baggage	7.51	Tools & Machines	Locks	Denied	0.0	Deny
136641	2009051458611	2009-04-27 00:00:00	2009-04-02 00:00:00	IFP	Laughlin/Bullhead International Airport		Passenger Property Loss	Checked Baggage	50.0	Office Supplies	Desk and Writing Equipment - pen and pencil sets, fountain pens, etc.	Denied	0.0	Deny
138564	2009062360503	2009-06-19 00:00:00	2009-06-10 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checkpoint	111.99	Containers	Luggage (all types including footlockers)	Approved	111.99	Approve in Full
140255	2009080562294	2009-08-03 00:00:00	2009-07-08 00:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	21.99	Food & Drink	Alcoholic beverages	Denied	0.0	Deny
169875	2012050293500	2012-04-09 00:00:00	2012-03-29 00:00:00	IFP	Laughlin/Bullhead International Airport		Passenger Property Loss	Checked Baggage		Other,Household Decor	Currency*Home Decor		0.0	Deny
170972	2012051694061	2012-05-16 00:00:00	2012-05-16 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Containers,Other,Cosmetics	Baggage/Cases/Purses*Other*Travel Accessories		0.0	Deny
171957	2012072495654	2012-06-20 00:00:00	2012-06-06 17:45:00	IFP	Laughlin/Bullhead International Airport		Passenger Property Loss	Checkpoint		Other	Currency		0.0	Deny
174496	2012110698389	2012-09-19 00:00:00	2012-09-08 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Containers	Baggage/Cases/Purses		0.0	Deny
175876	2013010899596	2012-11-13 00:00:00	2012-10-27 00:00:00	IFP	Laughlin/Bullhead International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		0.0	Deny
181247	2013062804919	2013-06-05 00:00:00	2013-05-01 15:00:00	IFP	Laughlin/Bullhead International Airport	Sun Country Airlines Inc	Passenger Property Loss	Checkpoint		Other	Other		13.0	Approve in Full
198927	2015102226201	2015-10-02 00:00:00	2015-08-29 00:00:00	IFP	Laughlin/Bullhead International Airport	UAL	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		28.44	Approve in Full
