id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1124	0105170M	2003-01-05 00:00:00	2003-12-12 00:00:00	ILM	Wilmington International	USAir	Passenger Property Loss	Checkpoint	250.0	Watches & Jewelry	Denied	0.0	Deny
33984	2004051752385	2004-05-03 00:00:00	2004-04-07 00:00:00	ILM	Wilmington International	USAir	Passenger Property Loss	Checked Baggage	1000.0	Other	Settled	200.0	Settle
47519	2004110166111	2004-10-18 00:00:00	2004-09-05 00:00:00	ILM	Wilmington International	UAL	Passenger Property Loss	Checked Baggage	45.58	Cosmetics	Approved	45.58	Approve in Full
50036	2004122270606	2004-11-15 00:00:00	2004-07-26 00:00:00	ILM	Wilmington International		Passenger Property Loss	Checked Baggage	75.0	Other	Settled	37.5	Settle
53091	2005011973763	2004-12-28 00:00:00	2004-11-22 00:00:00	ILM	Wilmington International	Delta Air Lines	Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Denied	0.0	Deny
53809	2005012674404	2005-01-07 00:00:00	2004-11-15 00:00:00	ILM	Wilmington International		Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Denied	0.0	Deny
62322	2005042583339	2005-04-22 00:00:00	2005-04-15 00:00:00	ILM	Wilmington International	USAir	Passenger Property Loss	Checked Baggage	127.0	Other	Canceled	0.0	
63543	2005051184489	2005-05-10 00:00:00	2005-04-25 00:00:00	ILM	Wilmington International	USAir	Passenger Property Loss	Checked Baggage	4879.05	Watches & Jewelry	Denied	0.0	Deny
63826	2005051684716	2005-05-13 00:00:00	2005-04-20 00:00:00	ILM	Wilmington International	USAir	Passenger Property Loss	Checked Baggage	22.5	Other	Approved	22.5	Approve in Full
68940	2005080289987	2005-07-26 00:00:00	2005-07-21 00:00:00	ILM	Wilmington International	USAir	Passenger Property Loss	Checked Baggage	269.99	Electronics	Settled	81.34	Settle
71994	2005092092946	2005-09-14 00:00:00	2005-08-09 00:00:00	ILM	Wilmington International	USAir	Passenger Property Loss	Checked Baggage		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
72178	2005092693272	2005-09-19 00:00:00	2005-08-25 00:00:00	ILM	Wilmington International		Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Approved	50.0	Approve in Full
