id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
7425	0603011L	2003-06-03 00:00:00	2003-03-07 00:00:00	ISP	Long Island McArthur, Islip		Passenger Property Loss	Checkpoint	201.75	Jewelry - Fine	Approved	201.75	Approve in Full
8681	0617135L	2003-06-17 00:00:00	2003-05-27 00:00:00	ISP	Long Island McArthur, Islip	Southwest Airlines	Passenger Property Loss	Checkpoint	2545.0	Clothing - Shoes, belts, accessories, etc.	Approved	2545.0	Approve in Full
15025	0904067M	2003-09-04 00:00:00	2003-07-17 00:00:00	ISP	Long Island McArthur, Islip		Passenger Property Loss	Checked Baggage	25.0	Locks	Denied	0.0	Deny
18324	1021124M	2003-10-21 00:00:00	2003-07-23 00:00:00	ISP	Long Island McArthur, Islip	Southwest Airlines	Passenger Property Loss	Checked Baggage	2000.0	Other	Denied	0.0	Deny
30054	2004050750724	2004-03-11 00:00:00	2004-01-10 00:00:00	ISP	Long Island McArthur, Islip		Passenger Property Loss	Checked Baggage	60.0	Locks	Denied	0.0	Deny
31132	2004051351665	2004-03-24 00:00:00	2004-03-05 00:00:00	ISP	Long Island McArthur, Islip	Southwest Airlines	Passenger Property Loss	Checked Baggage	26.0	Clothing - Shoes, belts, accessories, etc.	Approved	26.0	Approve in Full
31468	2004051351927	2004-03-26 00:00:00	2003-08-19 00:00:00	ISP	Long Island McArthur, Islip	Southwest Airlines	Passenger Property Loss	Checked Baggage	600.0	Cameras - Digital	Canceled	0.0	
32386	2004052153034	2004-04-15 00:00:00	2004-01-19 00:00:00	ISP	Long Island McArthur, Islip	Southwest Airlines	Passenger Property Loss	Checked Baggage	59.53	Clothing - Shoes, belts, accessories, etc.	Approved	59.53	Approve in Full
33748	2004051251233	2004-05-03 00:00:00	2004-03-20 00:00:00	ISP	Long Island McArthur, Islip		Passenger Property Loss	Checked Baggage	230.0	Other	Approved	230.0	Approve in Full
34033	2004060354583	2004-05-03 00:00:00	2003-07-23 00:00:00	ISP	Long Island McArthur, Islip		Passenger Property Loss	Checkpoint	450.0	Clothing - Shoes, belts, accessories, etc.	Settled	250.0	Settle
34381	2004060754950	2004-05-04 00:00:00	2004-03-19 00:00:00	ISP	Long Island McArthur, Islip	Delta Air Lines	Passenger Property Loss	Checkpoint	50.0	Other	Denied	50.0	Deny
38360	2004070858741	2004-06-21 00:00:00	2004-06-11 00:00:00	ISP	Long Island McArthur, Islip		Passenger Property Loss	Checked Baggage	100.0	Clothing - Shoes, belts, accessories, etc.	Settled	50.0	Settle
42998	2004092964193	2004-08-23 00:00:00	2004-08-08 00:00:00	ISP	Long Island McArthur, Islip	Southwest Airlines	Passenger Property Loss	Checkpoint	199.99	Cell Phones	Denied	0.0	Deny
