id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
29791	2004042350040	2004-03-10 00:00:00	2004-02-19 00:00:00	ITO	Hilo International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	2000.0	Other	Denied	0.0	Deny
34339	2004060254314	2004-05-04 00:00:00	2004-04-11 00:00:00	ITO	Hilo International		Passenger Property Loss	Checked Baggage	15.0	Tools & Machines	Denied	0.0	Deny
34564	2004060754989	2004-05-05 00:00:00	2003-01-29 00:00:00	ITO	Hilo International	USAir	Passenger Property Loss	Checked Baggage	241.7	Electronics	Approved	241.7	Approve in Full
34870	2004061455679	2004-05-10 00:00:00	2004-04-14 00:00:00	ITO	Hilo International	Aloha Airlines	Passenger Property Loss	Checked Baggage	12.49	Other	Approved	12.49	Approve in Full
35734	2004061756103	2004-05-19 00:00:00	2004-02-22 00:00:00	ITO	Hilo International	Aloha Airlines	Passenger Property Loss	Checked Baggage	189.0	Other	Settled	70.89	Settle
44689	2004092964188	2004-09-13 00:00:00	2004-07-31 00:00:00	ITO	Hilo International	Hawaiian Airlines	Passenger Theft	Checked Baggage	79.99	Electronics	Denied		Deny
45041	2004092263555	2004-09-16 00:00:00	2004-08-19 00:00:00	ITO	Hilo International		Passenger Property Loss	Checked Baggage	380.0	Other	Denied	0.0	Deny
55817	2005022276619	2005-01-27 00:00:00	2005-01-08 00:00:00	ITO	Hilo International	Continental Airlines	Passenger Property Loss	Checked Baggage	150.0	Other	Settled	50.0	Settle
59065	2005033180647	2005-03-09 00:00:00	2004-12-04 00:00:00	ITO	Hilo International		Passenger Property Loss	Checked Baggage	200.0	Other	Denied		Deny
60086	2005032579858	2005-03-24 00:00:00	2005-02-25 00:00:00	ITO	Hilo International	Aloha Airlines	Passenger Property Loss	Checked Baggage	13.55	Other	Approved	13.55	Approve in Full
62989	2005050383918	2005-05-02 00:00:00	2005-04-17 00:00:00	ITO	Hilo International		Passenger Property Loss	Checkpoint	35.0	Other	Denied	0.0	Deny
65826	2005062186715	2005-06-09 00:00:00	2005-05-16 00:00:00	ITO	Hilo International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	59.94	Other	Denied	0.0	Deny
68676	2005072289464	2005-07-22 00:00:00	2005-06-28 00:00:00	ITO	Hilo International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
70293	2005082391254	2005-08-16 00:00:00	2005-07-29 00:00:00	ITO	Hilo International	Aloha Airlines	Passenger Property Loss	Checked Baggage	138.76	Electronics	Settled	69.38	Settle
71676	2005092092877	2005-09-09 00:00:00	2005-08-13 00:00:00	ITO	Hilo International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	314.95	Clothing & Accessories	Approved	314.95	Approve in Full
72518	2005093093574	2005-09-21 00:00:00	2005-08-27 00:00:00	ITO	Hilo International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	894.19	Clothing & Accessories,Watches & Jewelry,Other	Denied	0.0	Deny
