id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
119590	2008031841227	2008-03-12 00:00:00	2008-02-29 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	502.0	Cosmetics	Denied	0.0	Deny
120796	2008040241741	2008-04-04 00:00:00	2007-12-16 00:00:00	IWA	Mesa-Gateway Airport		Passenger Property Loss	Checked Baggage	1525.0	Watches & Jewelry,Watches & Jewelry	Denied	0.0	Deny
122911	2008052344784	2008-05-19 00:00:00	2008-05-01 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	53.96	Clothing & Accessories	Approved	53.96	Approve in Full
124452	2008062746296	2008-06-23 00:00:00	2008-06-16 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	75.0	Weapons & Knives	Approved	75.0	Approve in Full
130055	2008110551863	2008-10-30 00:00:00	2008-10-17 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	320.0	Cosmetics,Electronics	Denied	0.0	Deny
132462	2009011254340	2009-01-05 00:00:00	2008-12-04 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Denied	0.0	Deny
132727	2009011554598	2009-01-09 00:00:00	2008-12-21 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	47.0	Cosmetics	Settled	23.5	Settle
134469	2009031856439	2009-02-27 00:00:00	2009-02-20 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	17.0	Tools & Machines	Approved	17.0	Approve in Full
139197	2009071761407	2009-07-07 00:00:00	2009-06-20 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checkpoint	32.0	Other	Denied	0.0	Deny
140098	2009080362131	2009-07-29 00:00:00	2009-05-14 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	1332.0	Electronics	Denied	0.0	Deny
147642	2010041970953	2010-04-12 00:00:00	2010-02-06 10:55:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Cosmetics		9.36	Approve in Full
147740	2010030268939	2010-04-15 00:00:00	2010-01-28 12:15:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Containers,Cosmetics		129.99	Approve in Full
148738	2010052172010	2010-05-17 00:00:00	2010-04-09 13:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checkpoint		Electronics		0.0	Deny
151368	2010081374754	2010-08-04 00:00:00	2010-07-04 14:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Electronics		202.76	Settle
154031	2010110277544	2010-10-21 00:00:00	2010-09-26 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Electronics,Clothing & Accessories		0.0	Deny
155188	2010120978643	2010-11-30 00:00:00	2010-11-21 08:30:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checkpoint		Other,Other			
155589	2010122278981	2010-12-14 00:00:00	2010-04-26 06:40:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Watches & Jewelry		0.0	Deny
159278	2011041582730	2011-04-13 00:00:00	2011-04-07 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Other		45.0	Approve in Full
159597	2011050283100	2011-04-25 00:00:00	2011-03-25 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Watches & Jewelry		0.0	Deny
163712	2011100687625	2011-09-06 00:00:00	2011-08-04 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Electronics		0.0	Deny
169519	2012041993038	2012-03-26 00:00:00	2012-02-24 00:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Containers,Clothing & Accessories		118.52	Settle
175855	2012111398626	2012-11-13 00:00:00	2012-09-28 07:00:00	IWA	Mesa-Gateway Airport	Allegiant Air	Passenger Property Loss	Checkpoint		Scientific Intruments		39.4	Approve in Full
